POS,Player,Mat,Inns,Ov,Wkts,Runs,BBI,Avg,Econ,SR,4w,5w,year
45,Jagadeesha SuchithSRH,5,5,18,7,140,2-Dec,20,7.77,15.42,0,0,2022
46,Marco JansenSRH,8,8,32,7,274,25/3,39.14,8.56,27.42,0,0,2022
47,Alzarri JosephGT,9,9,30,7,264,34/2,37.71,8.8,25.71,0,0,2022
48,Pat CumminsKKR,5,5,19.5,7,212,22/3,30.28,10.68,17,0,0,2022
49,Glenn MaxwellRCB,13,10,24,6,165,22/2,27.5,6.87,24,0,0,2022
50,Axar PatelDC,13,13,43,6,321,2-Oct,53.5,7.46,43,0,0,2022
51,Sai KishoreGT,5,5,16,6,121,2-Jul,20.16,7.56,16,0,0,2022
52,Rishi DhawanPBKS,6,6,19,6,156,36/2,26,8.21,19,0,0,2022
53,Varun ChakaravarthyKKR,11,11,39,6,332,22/1,55.33,8.51,39,0,0,2022
54,Washington SundarSRH,9,8,28,6,239,21/2,39.83,8.53,28,0,0,2022
55,Liam LivingstonePBKS,14,12,23,6,202,27/3,33.66,8.78,23,0,0,2022
56,Ramandeep SinghMI,5,3,6,6,54,20/3,9,9,6,0,0,2022
57,Jaydev UnadkatMI,5,5,20,6,190,32/2,31.66,9.5,20,0,0,2022
58,Dwaine PretoriusCSK,6,6,21,6,210,30/2,35,10,21,0,0,2022
59,Tymal MillsMI,5,5,17,6,190,35/3,31.66,11.17,17,0,0,2022
60,Odean SmithPBKS,6,6,15,6,178,30/4,29.66,11.86,15,1,0,2022
61,Ravindra JadejaCSK,10,10,33,5,248,39/3,49.6,7.51,39.6,0,0,2022
62,Kumar Kartikeya SinghMI,4,4,13,5,102,22/2,20.4,7.84,15.6,0,0,2022
63,Krishnappa GowthamLSG,4,4,12,5,99,30/2,19.8,8.25,14.4,0,0,2022
64,Basil ThampiMI,5,5,16,5,152,35/3,30.4,9.5,19.2,0,0,2022
65,Shivam MaviKKR,6,6,22,5,227,33/1,45.4,10.31,26.4,0,0,2022
66,Akash DeepRCB,5,5,18.5,5,205,45/3,41,10.88,22.6,0,0,2022
67,Mitchell SantnerCSK,6,6,19,4,130,15/1,32.5,6.84,28.5,0,0,2022
68,Simarjeet SinghCSK,6,6,18,4,138,27/2,34.5,7.66,27,0,0,2022
69,Lalit YadavDC,12,8,18,4,150,2-Nov,37.5,8.33,27,0,0,2022
70,Mitchell MarshDC,8,4,12,4,102,25/2,25.5,8.5,18,0,0,2022
71,Kieron PollardMI,11,6,14,4,125,2-Aug,31.25,8.92,21,0,0,2022
72,Harpreet BrarPBKS,5,5,16,4,146,26/3,36.5,9.12,24,0,0,2022
73,Shahbaz AhmedRCB,16,14,35,4,336,26/2,84,9.6,52.5,0,0,2022
74,Marcus StoinisLSG,11,5,7,4,79,23/3,19.75,11.28,10.5,0,0,2022
75,Pradeep SangwanGT,3,3,9,3,65,19/2,21.66,7.22,18,0,0,2022
76,Chetan SakariyaDC,3,3,11,3,84,23/2,28,7.63,22,0,0,2022
77,Nathan EllisPBKS,2,2,6,3,55,40/3,18.33,9.16,12,0,0,2022
78,Vaibhav AroraPBKS,5,5,17.5,3,164,21/2,54.66,9.19,35.66,0,0,2022
79,Romario ShepherdSRH,3,3,9,3,98,42/2,32.66,10.88,18,0,0,2022
80,Navdeep SainiRR,2,2,6,3,72,36/2,24,12,12,0,0,2022
81,Ayush BadoniLSG,13,2,2,2,11,1-May,5.5,5.5,6,0,0,2022
82,Prashant SolankiCSK,2,2,6,2,38,20/2,19,6.33,18,0,0,2022
83,Matheesha PathiranaCSK,2,2,6.5,2,52,24/2,26,7.6,20.5,0,0,2022
84,Sandeep SharmaPBKS,5,5,20,2,153,18/1,76.5,7.65,60,0,0,2022
85,Hrithik ShokeenMI,5,5,15,2,127,47/2,63.5,8.46,45,0,0,2022
86,Fazalhaq FarooqiSRH,3,3,12,2,110,32/2,55,9.16,36,0,0,2022
87,Andrew TyeLSG,3,3,11,2,107,40/2,53.5,9.72,33,0,0,2022
88,Varun AaronGT,2,2,5,2,52,45/2,26,10.4,15,0,0,2022
89,Chris JordanCSK,4,4,12.5,2,135,23/2,67.5,10.51,38.5,0,0,2022
90,Darshan NalkandeGT,2,2,5.1,2,59,37/2,29.5,11.41,15.5,0,0,2022
91,David WilleyRCB,4,4,11,1,72,29/1,72,6.54,66,0,0,2022
92,Anukul RoyKKR,2,2,7,1,55,28/1,55,7.85,42,0,0,2022
93,Mayank MarkandeMI,2,2,7,1,57,26/1,57,8.14,42,0,0,2022
94,Tushar DeshpandeCSK,2,2,7,1,63,40/1,63,9,42,0,0,2022
95,Kartik TyagiSRH,2,2,8,1,79,42/1,79,9.87,48,0,0,2022
96,Harshit RanaKKR,2,2,5,1,51,24/1,51,10.2,30,0,0,2022
97,Aiden MarkramSRH,14,4,6,1,64,1-Aug,64,10.66,36,0,0,2022
98,Deepak HoodaLSG,15,2,4,1,43,31/1,43,10.75,24,0,0,2022
99,Shreyas GopalSRH,1,1,3,1,34,34/1,34,11.33,18,0,0,2022
100,Fabian AllenMI,1,1,4,1,46,46/1,46,11.5,24,0,0,2022
101,Sean AbbottSRH,1,1,4,1,47,47/1,47,11.75,24,0,0,2022
102,Riyan ParagRR,17,4,4,1,59,1-Dec,59,14.75,24,0,0,2022
103,Dewald BrevisMI,7,1,0.3,1,8,1-Aug,8,16,3,0,0,2022
1,Harshal PatelRCB,15,15,56,32,459,27-May,14.34,8.14,10.56,1,1,2021
2,Avesh KhanDC,16,16,61,24,450,13-Mar,18.75,7.37,15.25,0,0,2021
3,Jasprit BumrahMI,14,14,55,21,410,14-Apr,19.52,7.45,15.71,0,0,2021
4,Shardul ThakurCSK,16,16,60,21,527,19-Mar,25.09,8.8,17.09,0,0,2021
5,Mohammad ShamiPBKS,14,14,52,19,395,15-Mar,20.78,7.5,16.63,0,0,2021
6,Rashid KhanSRH,14,14,56,18,375,19-Mar,20.83,6.69,18.66,0,0,2021
7,Arshdeep SinghPBKS,12,12,41,18,342,May-32,19,8.27,13.77,0,1,2021
8,Varun ChakaravarthyKKR,17,17,68,18,448,20-May,24.88,6.58,22.66,0,0,2021
9,Yuzvendra ChahalRCB,15,15,53,18,374,25-Apr,20.77,7.05,17.66,0,0,2021
10,Jason HolderSRH,8,8,32,16,247,Apr-52,15.43,7.75,11.93,1,0,2021
11,Sunil NarineKKR,14,14,56,16,361,19-May,22.56,6.44,21,1,0,2021
12,Chris MorrisRR,11,11,41,15,376,23-Apr,25.06,9.17,16.4,1,0,2021
13,Axar PatelDC,12,12,46,15,306,21-Apr,20.4,6.65,18.4,0,0,2021
14,Kagiso RabadaDC,15,15,56,15,456,21-Apr,30.4,8.14,22.4,0,0,2021
15,Chetan SakariyaRR,14,14,52,14,426,31-Mar,30.42,8.19,22.28,0,0,2021
16,Deepak ChaharCSK,15,15,54,14,451,13-Apr,32.21,8.35,23.14,2,0,2021
17,Dwayne BravoCSK,11,11,33,14,263,22-Apr,18.78,7.81,14.42,0,0,2021
18,Mustafizur RahmanRR,14,14,52,14,436,16-Mar,31.14,8.41,22.21,0,0,2021
19,Ravindra JadejaCSK,16,16,49,13,346,16-May,26.61,7.06,22.61,0,0,2021
20,Lockie FergusonKKR,8,8,30,13,224,15-Mar,17.23,7.46,13.84,0,0,2021
21,Trent BoultMI,14,14,51,13,406,18-Apr,31.23,7.9,23.69,0,0,2021
22,Rahul ChaharMI,11,11,43,13,318,27-Apr,24.46,7.39,19.84,1,0,2021
23,Ravi BishnoiPBKS,9,9,35,12,222,24-Mar,18.5,6.34,17.5,0,0,2021
24,Anrich NortjeDC,8,8,30,12,187,Mar-33,15.58,6.16,15.16,0,0,2021
25,Prasidh KrishnaKKR,10,10,38,12,351,30-Apr,29.25,9.11,19.25,0,0,2021
26,Shivam MaviKKR,9,9,32,11,233,21-Apr,21.18,7.24,17.54,1,0,2021
27,Josh HazlewoodCSK,9,9,35,11,293,24-Mar,26.63,8.37,19.09,0,0,2021
28,Mohammed SirajRCB,15,15,52,11,353,Apr-32,32.09,6.78,28.36,0,0,2021
29,Andre RussellKKR,10,8,19,11,188,15-May,17.09,9.89,10.36,0,1,2021
30,Pat CumminsKKR,7,7,27,9,237,Apr-34,26.33,8.83,17.88,0,0,2021
31,Sam CurranCSK,9,9,33,9,328,11-Apr,36.44,9.93,22,0,0,2021
32,Kyle JamiesonRCB,9,9,28,9,269,Mar-41,29.88,9.6,18.66,0,0,2021
33,Rahul TewatiaRR,14,13,37,8,340,18-Mar,42.5,9.18,27.75,0,0,2021
34,Siddarth KaulSRH,8,8,30,7,247,29-Apr,35.28,8.23,25.71,0,0,2021
35,Nathan Coulter-NileMI,5,5,20,7,127,14-Apr,18.14,6.35,17.14,1,0,2021
36,Ravichandran AshwinDC,13,13,44,7,331,Apr-34,47.28,7.41,38.28,0,0,2021
37,Shahbaz AhmedRCB,11,6,14,7,92,7-Mar,13.14,6.57,12,0,0,2021
38,Amit MishraDC,4,4,14,6,109,17-May,18.16,7.78,14,1,0,2021
39,Bhuvneshwar KumarSRH,11,11,42,6,335,19-May,55.83,7.97,42,0,0,2021
40,Moeen AliCSK,15,10,25,6,161,7-Mar,26.83,6.35,25.33,0,0,2021
41,Lungi Ngidi CSK,3,3,12,5,125,10-Apr,25,10.41,14.4,0,0,2021
42,Chris WoakesDC,3,3,11,5,82,Mar-36,16.4,7.45,13.2,0,0,2021
43,Krunal PandyaMI,13,12,33,5,265,14-Mar,53,7.98,39.8,0,0,2021
44,Jimmy NeeshamMI,3,3,9,5,66,12-Mar,13.2,7.33,10.8,0,0,2021
45,Harpreet BrarPBKS,7,7,23,5,139,19-Mar,27.8,6.04,27.6,0,0,2021
46,Kieron PollardMI,14,9,13,5,95,Apr-44,19,7.21,15.8,0,0,2021
47,Khaleel AhmedSRH,7,7,27,5,219,21-Mar,43.8,8.11,32.4,0,0,2021
48,Abhishek SharmaSRH,8,6,10,4,64,4-Feb,16,6.4,15,0,0,2021
49,Lalit YadavDC,7,5,14,4,101,13-Feb,25.25,7.21,21,0,0,2021
50,Jaydev UnadkatRR,6,6,22,4,168,25-May,42,7.63,33,0,0,2021
51,Tom CurranDC,3,3,11,4,104,29-Mar,26,9.17,17,0,0,2021
52,Chris JordanPBKS,4,4,12,4,96,11-Apr,24,8,18,0,0,2021
53,Kartik TyagiRR,4,4,14,4,124,Feb-29,31,8.85,21,0,0,2021
54,Moises HenriquesPBKS,5,5,10,4,45,12-Mar,11.25,4.5,15,0,0,2021
55,Dan ChristianRCB,9,9,16,4,155,10-Feb,38.75,9.3,25,0,0,2021
56,Riley MeredithPBKS,5,5,17,4,169,29-Jan,42.25,9.94,25.5,0,0,2021
57,Shakib Al HasanKKR,8,8,26,4,187,17-Mar,46.75,7.19,39,0,0,2021
58,Washington SundarRCB,6,6,16,3,118,16-Mar,39.33,7.37,32,0,0,2021
59,Venkatesh IyerKKR,10,4,8,3,69,Feb-29,23,8.11,17,0,0,2021
60,Sandeep SharmaSRH,7,7,23,3,203,20-Apr,67.66,8.63,47,0,0,2021
61,Adam MilneMI,4,4,14,3,131,21-Feb,43.66,9.35,28,0,0,2021
62,Tim SoutheeKKR,3,3,12,3,95,24-Mar,31.66,7.91,24,0,0,2021
63,Vijay ShankarSRH,7,5,11,3,100,19-Feb,33.33,9.09,22,0,0,2021
64,Jhye RichardsonPBKS,3,3,11,3,117,Feb-41,39,10.63,22,0,0,2021
65,Glenn MaxwellRCB,15,6,16,3,135,15-Feb,45,8.43,32,0,0,2021
66,George GartonRCB,5,5,15,3,135,27-Jan,45,9,30,0,0,2021
67,T NatarajanSRH,2,2,8,2,69,24-Feb,34.5,8.62,24,0,0,2021
68,Jayant YadavMI,5,5,17,2,130,23-Jan,65,7.64,51,0,0,2021
69,Imran TahirCSK,1,1,4,2,16,12-Apr,8,4,12,0,0,2021
70,Umran MalikSRH,3,3,12,2,96,21-Jan,48,8,36,0,0,2021
71,Marco JansenMI,2,2,6,2,45,28-Feb,22.5,7.5,18,0,0,2021
72,Marcus StoinisDC,10,8,11,2,117,15-Apr,58.5,10.47,33.5,0,0,2021
73,Mohammad NabiSRH,3,3,8,2,86,11-Apr,43,10.75,24,0,0,2021
74,Mujeeb Ur RahmanSRH,1,1,4,2,29,27-Mar,14.5,7.25,12,0,0,2021
75,Deepak HoodaPBKS,12,7,16,2,136,16-Feb,68,8.5,48,0,0,2021
76,Fabian AllenPBKS,4,3,11,1,90,22-Jan,90,8.18,66,0,0,2021
77,Glenn PhillipsRR,3,2,2,1,20,17-Jan,20,10,12,0,0,2021
78,Piyush ChawlaMI,1,1,4,1,38,17-Apr,38,9.5,24,0,0,2021
79,Ishan PorelPBKS,1,1,4,1,39,Jan-39,39,9.75,24,0,0,2021
80,Daniel SamsRCB,2,2,6,1,39,24-Jan,39,6.5,36,0,0,2021
81,Ishant SharmaDC,3,3,12,1,97,12-May,97,8.08,72,0,0,2021
82,Kane RichardsonRCB,1,1,3,1,29,13-Mar,29,9.66,18,0,0,2021
83,KM AsifCSK,1,1,2,1,18,Feb-43,18,8.3,13,0,0,2021
84,Shahbaz NadeemSRH,1,1,4,1,36,16-Mar,36,9,24,0,0,2021
85,Lukman MeriwalaDC,1,1,3,1,32,Jan-32,32,10.66,18,0,0,2021
86,Mahipal LomrorRR,4,4,7,1,47,22-Jan,47,6.71,42,0,0,2021
87,Riyan ParagRR,11,6,6,1,73,10-Jan,73,11.83,37,0,0,2021
88,Murugan AshwinPBKS,3,3,11,1,97,21-Mar,97,8.81,66,0,0,2021
89,Nathan EllisPBKS,3,3,12,1,98,20-Jan,98,8.16,72,0,0,2021
1,Kagiso RabadaDC,17,17,65,30,548,21-Apr,18.26,8.34,13.13,2,0,2020
2,Jasprit BumrahMI,15,15,60,27,404,14-Apr,14.96,6.73,13.33,2,0,2020
3,Trent BoultMI,15,15,57,25,457,18-Apr,18.28,7.97,13.76,1,0,2020
4,Anrich NortjeDC,16,16,61,22,512,Mar-33,23.27,8.39,16.63,0,0,2020
5,Yuzvendra ChahalRCB,15,15,57,21,405,25-Apr,19.28,7.08,16.33,0,0,2020
6,Mohammad ShamiPBKS,14,14,53,20,460,15-Mar,23,8.57,16.1,0,0,2020
7,Jofra ArcherRR,14,14,55,20,365,15-Mar,18.25,6.55,16.7,0,0,2020
8,Rashid KhanSRH,16,16,64,20,344,19-Mar,17.2,5.37,19.2,0,0,2020
9,Varun ChakaravarthyKKR,13,13,52,17,356,20-May,20.94,6.84,18.35,0,1,2020
10,T NatarajanSRH,16,16,63,16,504,24-Feb,31.5,8.02,23.56,0,0,2020
11,Rahul ChaharMI,15,15,53,15,433,27-Apr,28.86,8.16,21.2,0,0,2020
12,Jason HolderSRH,7,7,28,14,233,Apr-52,16.64,8.32,12,0,0,2020
13,Sandeep SharmaSRH,13,13,52,14,374,20-Apr,26.71,7.19,22.28,0,0,2020
14,Marcus StoinisDC,17,13,29,13,283,15-Apr,21.76,9.53,13.69,0,0,2020
15,Ravichandran AshwinDC,15,15,51,13,391,Apr-34,30.07,7.66,23.53,0,0,2020
16,Sam CurranCSK,14,13,42,13,344,11-Apr,26.46,8.19,19.38,0,0,2020
17,Pat CumminsKKR,14,14,52,12,409,Apr-34,34.08,7.86,26,1,0,2020
18,Ravi BishnoiPBKS,14,14,51,12,376,24-Mar,31.33,7.37,25.5,0,0,2020
19,Deepak ChaharCSK,14,14,52,12,396,13-Apr,33,7.61,26,0,0,2020
20,Mohammed SirajRCB,9,9,27,11,236,Apr-32,21.45,8.68,14.81,0,0,2020
21,James PattinsonMI,10,10,35,11,320,19-Feb,29.09,9.01,19.36,0,0,2020
22,Chris MorrisRCB,9,9,31,11,210,23-Apr,19.09,6.63,17.27,1,0,2020
23,Shreyas GopalRR,14,14,50,10,427,16-Apr,42.7,8.54,30,0,0,2020
24,Murugan AshwinPBKS,9,9,31,10,235,21-Mar,23.5,7.46,18.9,0,0,2020
25,Shardul ThakurCSK,9,9,32,10,275,19-Mar,27.5,8.5,19.4,0,0,2020
26,Rahul TewatiaRR,14,14,46,10,326,18-Mar,32.6,7.08,27.6,0,0,2020
27,Lungi Ngidi CSK,4,4,16,9,167,10-Apr,18.55,10.43,10.66,0,0,2020
28,Kartik TyagiRR,10,10,38,9,367,Feb-29,40.77,9.61,25.44,0,0,2020
29,Arshdeep SinghPBKS,8,8,25,9,218,May-32,24.22,8.77,16.55,0,0,2020
30,Axar PatelDC,15,15,51,9,327,21-Apr,36.33,6.41,34,0,0,2020
31,Shivam MaviKKR,8,8,26,9,212,21-Apr,23.55,8.15,17.33,0,0,2020
32,Chris JordanPBKS,9,9,31,9,304,11-Apr,33.77,9.65,21,0,0,2020
33,Khaleel AhmedSRH,7,7,25,8,242,21-Mar,30.25,9.42,19.25,0,0,2020
34,Isuru UdanaRCB,10,10,29,8,282,Feb-41,35.25,9.72,21.75,0,0,2020
35,Washington SundarRCB,15,15,50,8,298,16-Mar,37.25,5.96,37.5,0,0,2020
36,Piyush ChawlaCSK,7,7,21,6,191,17-Apr,31.83,9.09,21,0,0,2020
37,Navdeep SainiRCB,13,13,45,6,379,24-Feb,63.16,8.29,45.66,0,0,2020
38,Sheldon CottrellPBKS,6,6,20,6,176,17-Feb,29.33,8.8,20,0,0,2020
39,Lockie FergusonKKR,5,5,20,6,148,15-Mar,24.66,7.46,19.83,0,0,2020
40,Ravindra JadejaCSK,14,13,36,6,318,16-May,53,8.75,36.33,0,0,2020
41,Krunal PandyaMI,16,16,50,6,380,14-Mar,63.33,7.57,50.16,0,0,2020
42,Dwayne BravoCSK,6,6,21,6,180,22-Apr,30,8.57,21,0,0,2020
43,Andre RussellKKR,10,7,18,6,175,15-May,29.16,9.72,18,0,0,2020
44,Shahbaz NadeemSRH,7,7,22,5,178,16-Mar,35.6,8.09,26.4,0,0,2020
45,Nathan Coulter-NileMI,7,7,26,5,206,14-Apr,41.2,7.92,31.2,0,0,2020
46,Karn SharmaCSK,5,5,19,5,165,16-Apr,33,8.68,22.8,0,0,2020
47,Kamlesh NagarkotiKKR,10,9,26,5,231,13-Feb,46.2,8.88,31.2,0,0,2020
48,Sunil NarineKKR,10,10,38,5,302,19-May,60.4,7.94,45.6,0,0,2020
49,Vijay ShankarSRH,7,5,13,4,82,19-Feb,20.5,6.22,19.75,0,0,2020
50,Shivam DubeRCB,11,5,9,4,73,15-Feb,18.25,8.11,13.5,0,0,2020
51,Kieron PollardMI,16,11,21,4,190,Apr-44,47.5,9.04,31.5,0,0,2020
52,Prasidh KrishnaKKR,6,6,17,4,164,30-Apr,41,9.37,26.25,0,0,2020
53,Jaydev UnadkatRR,7,7,23,4,228,25-May,57,9.91,34.5,0,0,2020
54,Bhuvneshwar KumarSRH,4,4,14,3,99,19-May,33,6.98,28.33,0,0,2020
55,Glenn MaxwellPBKS,13,7,21,3,169,15-Feb,56.33,8.04,42,0,0,2020
56,Harshal PatelDC,5,5,15,3,134,27-May,44.66,8.93,30,0,0,2020
57,Tom CurranRR,5,5,18,3,208,29-Mar,69.33,11.44,36.33,0,0,2020
58,Tushar DeshpandeDC,5,5,17,3,192,Feb-37,64,11.29,34,0,0,2020
59,Amit MishraDC,3,3,10,3,72,17-May,24,7.2,20,0,0,2020
60,Ankit RajpootRR,6,6,17,2,199,14-May,99.5,11.7,51,0,0,2020
61,Siddarth KaulSRH,1,1,4,2,64,29-Apr,32,16,12,0,0,2020
62,Ben StokesRR,8,6,15,2,154,15-Mar,77,10.26,45,0,0,2020
63,Adam ZampaRCB,3,3,11,2,92,19-Jun,46,8.36,33,0,0,2020
64,Abhishek SharmaSRH,8,6,10,2,91,4-Feb,45.5,9.1,30,0,0,2020
65,Shahbaz AhmedRCB,2,2,6,2,44,7-Mar,22,7.33,18,0,0,2020
66,Jimmy NeeshamPBKS,5,5,15,2,148,12-Mar,74,9.86,45,0,0,2020
67,Mitchell SantnerCSK,2,2,7,2,53,13-Feb,26.5,7.57,21,0,0,2020
68,Dale SteynRCB,3,3,11,1,133,11-Mar,133,11.4,70,0,0,2020
69,Basil ThampiSRH,1,1,4,1,46,29-Mar,46,11.5,24,0,0,2020
70,Imran TahirCSK,3,3,11,1,76,12-Apr,76,6.9,66,0,0,2020
71,Jayant YadavMI,2,2,7,1,43,23-Jan,43,6.14,42,0,0,2020
72,Andrew TyeRR,1,1,4,1,50,17-May,50,12.5,24,0,0,2020
73,Josh HazlewoodCSK,3,3,10,1,64,24-Mar,64,6.4,60,0,0,2020
74,Mohit SharmaDC,1,1,4,1,45,14-Apr,45,11.25,24,0,0,2020
75,Krishnappa GowthamPBKS,2,2,8,1,84,12-Feb,84,10.5,48,0,0,2020
76,Moeen AliRCB,3,3,5,1,42,7-Mar,42,8.4,30,0,0,2020
77,Kuldeep YadavKKR,5,4,12,1,92,20-Apr,92,7.66,72,0,0,2020
78,Abdul SamadSRH,12,3,7,1,96,Jan-41,96,13.71,42,0,0,2020
1,Imran TahirCSK,17,17,64,26,431,12-Apr,16.57,6.69,14.84,2,0,2019
2,Kagiso RabadaDC,12,12,47,25,368,21-Apr,14.72,7.82,11.28,2,0,2019
3,Deepak ChaharCSK,17,17,64,22,482,13-Apr,21.9,7.47,17.59,0,0,2019
4,Shreyas GopalRR,14,14,48,20,347,16-Apr,17.35,7.22,14.4,0,0,2019
5,Mohammad ShamiPBKS,14,14,54,19,469,15-Mar,24.68,8.68,17.05,0,0,2019
6,Khaleel AhmedSRH,9,9,35,19,287,21-Mar,15.1,8.23,11,0,0,2019
7,Jasprit BumrahMI,16,16,61,19,409,14-Apr,21.52,6.63,19.47,0,0,2019
8,Yuzvendra ChahalRCB,14,14,49,18,386,25-Apr,21.44,7.82,16.44,1,0,2019
9,Rashid KhanSRH,15,15,60,17,377,19-Mar,22.17,6.28,21.17,0,0,2019
10,Lasith MalingaMI,12,12,45,16,438,13-May,27.37,9.76,16.81,2,0,2019
11,Harbhajan SinghCSK,11,11,44,16,312,18-May,19.5,7.09,16.5,0,0,2019
12,Ravichandran AshwinPBKS,14,14,55,15,400,Apr-34,26.66,7.27,22,0,0,2019
13,Ravindra JadejaCSK,16,16,54,15,343,16-May,22.86,6.35,21.6,0,0,2019
14,Hardik PandyaMI,16,16,42,14,390,20-Mar,27.85,9.17,18.21,0,0,2019
15,Chris MorrisDC,9,9,33,13,306,23-Apr,23.53,9.27,15.23,0,0,2019
16,Rahul ChaharMI,13,13,47,13,308,27-Apr,23.69,6.55,21.69,0,0,2019
17,Ishant SharmaDC,13,13,46,13,349,12-May,26.84,7.58,21.23,0,0,2019
18,Bhuvneshwar KumarSRH,15,15,59,13,461,19-May,35.46,7.81,27.23,0,0,2019
19,Krunal PandyaMI,16,16,46,12,335,14-Mar,27.91,7.28,23,0,0,2019
20,Sandeep SharmaSRH,11,11,42,12,352,20-Apr,29.33,8.25,21.33,0,0,2019
21,Dwayne BravoCSK,12,12,41,11,330,22-Apr,30,8.01,22.45,0,0,2019
22,Amit MishraDC,11,11,40,11,270,17-May,24.54,6.75,21.81,0,0,2019
23,Andre RussellKKR,14,12,30,11,287,15-May,26.09,9.51,16.45,0,0,2019
24,Navdeep SainiRCB,13,13,48,11,397,24-Feb,36.09,8.27,26.18,0,0,2019
25,Jofra ArcherRR,11,11,43,11,291,15-Mar,26.45,6.76,23.45,0,0,2019
26,Sam CurranPBKS,9,9,33,10,323,11-Apr,32.3,9.78,19.8,1,0,2019
27,Axar PatelDC,14,14,51,10,364,21-Apr,36.4,7.13,30.6,0,0,2019
28,Piyush ChawlaKKR,13,13,44,10,399,17-Apr,39.9,8.96,26.7,0,0,2019
29,Sunil NarineKKR,12,12,44,10,347,19-May,34.7,7.82,26.6,0,0,2019
30,Jaydev UnadkatRR,11,11,37,10,398,25-May,39.8,10.66,22.4,0,0,2019
31,Keemo PaulDC,8,8,27,9,237,17-Mar,26.33,8.72,18.11,0,0,2019
32,Shardul ThakurCSK,10,9,30,8,281,19-Mar,35.12,9.36,22.5,0,0,2019
33,Mohammad NabiSRH,8,8,29,8,194,11-Apr,24.25,6.65,21.87,1,0,2019
34,Umesh YadavRCB,11,11,38,8,371,24-Apr,46.37,9.8,28.37,0,0,2019
35,Sandeep LamichhaneDC,6,6,23,8,210,Mar-36,26.25,9.13,17.25,0,0,2019
36,Mohammed SirajRCB,9,9,28,7,269,Apr-32,38.42,9.55,24.14,0,0,2019
37,Harry GurneyKKR,8,8,27,7,238,25-Feb,34,8.81,23.14,0,0,2019
