POS,Player,Mat,Inns,Ov,Wkts,Runs,BBI,Avg,Econ,SR,4w,5w,year
2,Harbhajan SinghMI,15,14,53,17,377,18-May,22.17,7.04,18.88,0,0,2010
3,Anil KumbleRCB,16,16,63,17,407,5-May,23.94,6.42,22.35,1,0,2010
4,Amit MishraDC,14,14,53,17,363,17-May,21.35,6.84,18.7,0,0,2010
5,Vinay KumarRCB,14,14,46,16,396,Apr-40,24.75,8.57,17.31,1,0,2010
6,Zaheer KhanMI,14,14,48,15,376,17-Apr,25.06,7.77,19.33,0,0,2010
7,Dale SteynRCB,15,15,59,15,406,11-Mar,27.06,6.88,23.6,0,0,2010
8,Irfan PathanPBKS,14,14,46,15,426,24-Mar,28.4,9.19,18.53,0,0,2010
9,Kieron PollardMI,14,12,37,15,274,Apr-44,18.26,7.4,14.8,0,0,2010
10,Lasith MalingaMI,13,13,49,15,344,13-May,22.93,7.02,19.6,1,0,2010
11,Muttiah MuralitharanCSK,12,12,48,15,329,11-Mar,21.93,6.85,19.2,0,0,2010
12,Ryan HarrisDEC,8,8,30,14,233,Apr-34,16.64,7.59,13.14,0,0,2010
13,Ravichandran AshwinCSK,12,12,48,13,293,Apr-34,22.53,6.1,22.15,0,0,2010
14,RP SinghDEC,12,12,42,13,370,22-Apr,28.46,8.8,19.38,0,0,2010
15,Jacques KallisRCB,16,16,57,13,476,13-Mar,36.61,8.35,26.3,0,0,2010
16,Shadab JakatiCSK,11,11,38,13,291,22-Apr,22.38,7.65,17.53,0,0,2010
17,Piyush ChawlaPBKS,14,14,49,12,367,17-Apr,30.58,7.48,24.5,0,0,2010
18,Doug BollingerCSK,8,8,31,12,207,13-Apr,17.25,6.67,15.5,1,0,2010
19,Andrew SymondsDEC,16,16,53,12,372,21-Mar,31,7.01,26.5,0,0,2010
20,Siddharth TrivediRR,11,10,35,11,260,25-Apr,23.63,7.32,19.36,0,0,2010
21,Shane WarneRR,14,14,50,11,381,21-Apr,34.63,7.62,27.27,1,0,2010
22,Albie MorkelCSK,14,14,47,11,405,Apr-32,36.81,8.49,26,0,0,2010
23,Shaun TaitRR,8,8,31,10,264,13-Mar,26.4,8.47,18.7,0,0,2010
24,Praveen KumarRCB,12,12,45,10,380,18-Mar,38,8.44,27,0,0,2010
25,Murali KartikKKR,10,10,39,9,253,17-Mar,28.11,6.48,26,0,0,2010
26,Pradeep SangwanDC,8,8,31,9,258,18-Mar,28.66,8.32,20.66,0,0,2010
27,Ashok DindaKKR,7,7,23,9,152,18-Apr,16.88,6.56,15.44,0,0,2010
28,Shane BondKKR,8,8,31,9,224,24-Feb,24.88,7.22,20.66,0,0,2010
29,Chaminda VaasDEC,6,6,22,9,139,21-Mar,15.44,6.31,14.66,0,0,2010
30,Harmeet Singh BansalDEC,8,8,24,8,174,24-Mar,21.75,7.25,18,0,0,2010
31,MF MaharoofDC,7,7,24,8,206,Mar-34,25.75,8.58,18,0,0,2010
32,Angelo MathewsKKR,14,12,37,8,314,19-Apr,39.25,8.37,28.12,1,0,2010
33,Dilhara FernandoMI,5,5,19,7,138,18-Apr,19.71,7.26,16.28,0,0,2010
34,Ishant SharmaKKR,7,7,25,7,236,12-May,33.71,9.44,21.42,0,0,2010
35,Lakshmipathy BalajiCSK,7,7,23,7,207,24-May,29.57,8.87,20,0,0,2010
36,Dirk NannesDC,9,9,34,7,224,27-Mar,32,6.52,29.42,0,0,2010
37,Juan TheronPBKS,7,7,24,6,187,17-Feb,31.16,7.79,24,0,0,2010
38,Shane WatsonRR,6,6,22,6,184,29-Apr,30.66,8.36,22,0,0,2010
39,Umesh YadavDC,7,7,24,6,184,24-Apr,30.66,7.66,24,0,0,2010
40,Jaskaran SinghDEC,6,6,14,6,139,18-Feb,23.16,9.92,14,0,0,2010
41,Ashish NehraDC,4,4,14,6,96,10-Apr,16,6.85,14,0,0,2010
42,Shalabh SrivastavaPBKS,8,8,27,6,255,20-Feb,42.5,9.44,27,0,0,2010
43,Suresh RainaCSK,16,12,24,6,178,Feb-00,29.66,7.46,23.83,0,0,2010
44,Rahul SharmaDEC,6,6,20,5,167,13-Mar,33.4,8.08,24.8,0,0,2010
45,Ravi BoparaPBKS,10,5,13,5,127,31-Mar,25.4,9.76,15.6,0,0,2010
46,Thilan ThusharaCSK,4,4,14,5,101,16-Feb,20.2,6.96,17.4,0,0,2010
47,Aditya DoleRR,3,3,11,5,112,Feb-36,22.4,10.18,13.2,0,0,2010
48,Yusuf PathanRR,14,11,34,5,246,20-Mar,49.2,7.23,40.8,0,0,2010
49,Paul CollingwoodDC,8,6,15,5,101,19-Feb,20.2,6.8,17.8,0,0,2010
50,Yuvraj SinghPBKS,14,10,23,5,152,29-Apr,30.4,6.6,27.6,0,0,2010
51,Sumit NarwalRR,5,5,15,5,185,Mar-36,37,11.8,18.8,0,0,2010
52,Andrew McDonaldDC,4,4,14,5,138,25-Feb,27.6,9.85,16.8,0,0,2010
53,Charl LangeveldtKKR,3,3,11,5,88,15-Mar,17.6,8,13.2,0,0,2010
54,Ajit AgarkarKKR,7,7,22,4,203,25-Mar,50.75,9.22,33,0,0,2010
55,Chris GayleKKR,9,6,16,4,152,21-Mar,38,9.5,24,0,0,2010
56,Dimitri MascarenhasRR,2,2,8,4,65,25-May,16.25,8.12,12,0,0,2010
57,Dwayne BravoMI,10,10,26,4,228,22-Apr,57,8.71,39.25,0,0,2010
58,Sarabjit LaddaDC,5,5,15,4,143,Feb-44,35.75,9.53,22.5,0,0,2010
59,Ryan McLarenMI,10,10,34,4,270,28-Feb,67.5,7.94,51,0,0,2010
60,Jaydev UnadkatKKR,3,3,10,4,85,25-May,21.25,8.22,15.5,0,0,2010
61,Munaf PatelRR,4,4,13,3,118,21-May,39.33,9.07,26,0,0,2010
62,Virender SehwagDC,14,3,5,3,23,18-Feb,7.66,4.05,11.33,0,0,2010
63,Ali MurtazaMI,3,3,12,3,91,15-Mar,30.33,7.58,24,0,0,2010
64,Tillakaratne DilshanDC,6,4,8,3,70,30-Jan,23.33,8.57,16.33,0,0,2010
65,Bipul SharmaPBKS,5,4,10,3,94,13-Feb,31.33,9.4,20,0,0,2010
66,Shanthakumaran SreesanthPBKS,6,6,19,3,191,29-Mar,63.66,10.05,38,0,0,2010
67,JM KempCSK,5,5,7,3,54,12-Mar,18,7.36,14.66,0,0,2010
68,Ramesh PowarPBKS,7,7,23,3,160,11-Feb,53.33,6.95,46,0,0,2010
69,Rajat BhatiaDC,5,5,16,3,132,15-Apr,44,8.25,32,0,0,2010
70,Love AblishPBKS,2,2,4,3,36,17-Feb,12,9,8,0,0,2010
71,Laxmi Ratan ShuklaKKR,4,4,12,3,106,25-Mar,35.33,8.83,24,0,0,2010
72,Kamran KhanRR,3,3,6,3,53,18-Mar,17.66,8.83,12,0,0,2010
73,Kevin PietersenRCB,7,6,10,3,77,Feb-31,25.66,7.7,20,0,0,2010
74,Roelof van der MerweRCB,1,1,4,2,27,20-Mar,13.5,6.75,12,0,0,2010
75,Ajantha MendisKKR,2,2,8,2,66,19-Feb,33,8.25,24,0,0,2010
76,Mitchell MarshDEC,3,3,10,2,88,25-Apr,44,8.8,30,0,0,2010
77,Amit UniyalRR,2,2,6,2,66,Feb-41,33,11,18,0,0,2010
78,Pankaj SinghRCB,2,2,8,2,81,18-Feb,40.5,10.12,24,0,0,2010
79,Brad HodgeKKR,4,4,5,2,41,13-Apr,20.5,8.2,15,0,0,2010
80,Joginder SharmaCSK,3,3,8,2,89,27-Feb,44.5,11.12,24,0,0,2010
81,Rajagopal SathishMI,12,4,8,2,81,11-Jan,40.5,10.12,24,0,0,2010
82,Sanath JayasuriyaMI,4,4,9,2,68,14-Mar,34,7.55,27,0,0,2010
83,Rohit SharmaDEC,16,9,19,2,153,6-Apr,76.5,8.05,57,0,0,2010
84,Daniel VettoriDC,3,3,11,2,97,15-Mar,48.5,8.31,35,0,0,2010
85,Iqbal AbdullaKKR,3,3,8,1,61,24-Mar,61,7.17,51,0,0,2010
86,Abhimanyu MithunRCB,1,1,3,1,39,Feb-37,39,13,18,0,0,2010
87,Moises HenriquesDC,1,1,4,1,35,12-Mar,35,8.75,24,0,0,2010
88,Yusuf AbdullaPBKS,2,2,7,1,66,Apr-31,66,9.65,41,0,0,2010
89,Yo MaheshDC,1,1,3,1,23,Apr-36,23,7.66,18,0,0,2010
90,Manpreet GonyCSK,3,3,8,1,92,31-Mar,92,11.5,48,0,0,2010
91,Vikramjeet MalikPBKS,3,3,7,1,62,14-Feb,62,8.65,43,0,0,2010
92,Nayan DoshiRCB,1,1,4,1,17,15-Jan,17,4.25,24,0,0,2010
93,Dwayne SmithDEC,3,2,4,1,36,8-Apr,36,9.39,23,0,0,2010
94,Sudeep TyagiCSK,6,6,16,1,159,18-Feb,159,10.04,95,0,0,2010
95,JP DuminyMI,7,2,5,1,37,17-Apr,37,6.72,33,0,0,2010
96,KP AppannaRCB,2,2,7,1,51,19-Apr,51,7.28,42,0,0,2010
97,Dhawal KulkarniMI,1,1,4,1,40,14-Apr,40,10,24,0,0,2010
1,RP SinghDEC,16,16,59,23,417,22-Apr,18.13,6.98,15.56,1,0,2009
2,Anil KumbleRCB,16,16,59,21,347,5-May,16.52,5.86,16.9,1,1,2009
3,Pragyan OjhaDEC,15,15,53,18,348,11-Mar,19.33,6.5,17.83,0,0,2009
4,Lasith MalingaMI,13,13,49,18,312,13-May,17.33,6.3,16.5,0,0,2009
5,Irfan PathanPBKS,14,14,50,17,390,24-Mar,22.94,7.74,17.76,0,0,2009
6,Munaf PatelRR,11,11,35,16,241,21-May,15.06,6.91,13.06,0,0,2009
7,Shane WarneRR,13,13,50,14,365,21-Apr,26.07,7.3,21.42,0,0,2009
8,Muttiah MuralitharanCSK,13,13,50,14,261,11-Mar,18.64,5.22,21.42,0,0,2009
9,Amit MishraDC,11,11,42,14,294,17-May,21,6.97,18.07,0,0,2009
10,Yusuf AbdullaPBKS,9,9,28,14,241,Apr-31,17.21,8.6,12,2,0,2009
11,Lakshmipathy BalajiCSK,13,13,37,13,316,24-May,24.3,8.46,17.23,1,0,2009
12,Praveen KumarRCB,13,13,49,13,394,18-Mar,30.3,7.93,22.92,0,0,2009
13,Shadab JakatiCSK,9,8,29,13,217,22-Apr,16.69,7.48,13.38,2,0,2009
14,Albie MorkelCSK,12,12,40,13,324,Apr-32,24.92,8.1,18.46,0,0,2009
15,Harbhajan SinghMI,13,13,44,12,256,18-May,21.33,5.81,22,1,0,2009
16,Piyush ChawlaPBKS,14,14,45,12,308,17-Apr,25.66,6.86,22.41,0,0,2009
17,Rohit SharmaDEC,16,12,23,11,161,6-Apr,14.63,7,12.54,1,0,2009
18,Ishant SharmaKKR,11,11,43,11,297,12-May,27,6.9,23.45,0,0,2009
19,Dwayne BravoMI,11,11,33,11,259,22-Apr,23.54,7.8,18.09,0,0,2009
20,Roelof van der MerweRCB,10,10,34,9,248,20-Mar,27.55,7.29,22.66,0,0,2009
21,Vinay KumarRCB,11,11,32,9,271,Apr-40,30.11,8.38,21.55,0,0,2009
22,Amit SinghRR,5,5,17,9,95,19-Apr,10.55,5.42,11.66,1,0,2009
23,Suresh RainaCSK,14,10,27,7,164,Feb-00,23.42,5.92,23.71,0,0,2009
24,Sanath JayasuriyaMI,12,9,19,7,163,14-Mar,23.28,8.57,16.28,0,0,2009
25,Brad HodgeKKR,12,9,20,7,161,13-Apr,23,8.05,17.14,0,0,2009
26,Yusuf PathanRR,13,11,35,7,243,20-Mar,34.71,6.94,30,0,0,2009
27,Andrew SymondsDEC,8,8,24,7,160,21-Mar,22.85,6.66,20.57,0,0,2009
28,Ravindra JadejaRR,13,10,23,6,151,16-May,25.16,6.47,23.33,0,0,2009
29,Ryan HarrisDEC,8,8,31,6,230,Apr-34,38.33,7.41,31,0,0,2009
30,Zaheer KhanMI,6,6,21,6,142,17-Apr,23.66,6.76,21,0,0,2009
31,Shanthakumaran SreesanthPBKS,7,7,23,6,192,29-Mar,32,8.34,23,0,0,2009
32,Kamran KhanRR,5,5,17,6,124,18-Mar,20.66,7.01,17.66,0,0,2009
33,Ajit AgarkarKKR,11,11,31,6,284,25-Mar,47.33,9.16,31,0,0,2009
34,Yuvraj SinghPBKS,14,9,20,6,142,29-Apr,23.66,7.1,20,0,0,2009
35,Jacques KallisRCB,15,14,46,6,353,13-Mar,58.83,7.67,46,0,0,2009
36,Siddharth TrivediRR,7,7,20,6,152,25-Apr,25.33,7.6,20,0,0,2009
37,Dimitri MascarenhasRR,5,5,19,6,132,25-May,22,6.82,19.33,0,0,2009
38,Manpreet GonyCSK,7,7,17,5,172,31-Mar,34.4,10.11,20.4,0,0,2009
39,Ramesh PowarPBKS,9,8,21,5,132,11-Feb,26.4,6.28,25.2,0,0,2009
40,Dhawal KulkarniMI,8,8,26,5,206,14-Apr,41.2,7.92,31.2,0,0,2009
41,Brett LeePBKS,5,5,20,5,111,15-Mar,22.2,5.55,24,0,0,2009
42,Tirumalasetti SumanDEC,12,5,15,5,108,14-Feb,21.6,7.2,18,0,0,2009
43,Scott StyrisDEC,2,2,8,5,64,Mar-32,12.8,8,9.6,0,0,2009
44,Jacob OramCSK,11,7,15,5,133,Mar-32,26.6,8.58,18.6,0,0,2009
45,Sudeep TyagiCSK,8,8,19,5,136,18-Feb,27.2,7.15,22.8,0,0,2009
46,Shoaib AhmedDEC,7,7,17,5,152,20-Feb,30.4,8.94,20.4,0,0,2009
47,Dillon du PreezRCB,2,2,7,4,56,Mar-32,14,8,10.5,0,0,2009
48,Balachandra AkhilRCB,6,5,11,4,80,17-Feb,20,7.27,16.5,0,0,2009
49,Ashok DindaKKR,9,8,24,4,193,18-Apr,48.25,8.04,36,0,0,2009
50,Chaminda VaasDEC,2,2,8,4,71,21-Mar,17.75,8.87,12,0,0,2009
51,Venugopal RaoDEC,16,6,15,4,122,23-Feb,30.5,8.13,22.5,0,0,2009
52,Murali KartikKKR,10,10,34,4,201,17-Mar,50.25,5.91,51,0,0,2009
53,Abhishek NayarMI,13,4,12,4,84,13-Mar,21,7,18,0,0,2009
54,Kevin PietersenRCB,6,4,13,4,85,Feb-31,21.25,6.53,19.5,0,0,2009
55,JP DuminyMI,13,6,17,4,93,17-Apr,23.25,5.31,26.25,0,0,2009
56,Wilkin MotaPBKS,8,5,9,3,61,24-Jan,20.33,6.77,18,0,0,2009
57,Shane HarwoodRR,3,3,10,3,73,25-Feb,24.33,7.3,20,0,0,2009
58,Thilan ThusharaCSK,2,2,8,3,60,16-Feb,20,7.5,16,0,0,2009
59,Laxmi Ratan ShuklaKKR,9,5,14,3,100,25-Mar,33.33,7.14,28,0,0,2009
60,Ajantha MendisKKR,4,4,16,3,117,19-Feb,39,7.31,32,0,0,2009
61,Charl LangeveldtKKR,1,1,4,3,15,15-Mar,5,3.75,8,0,0,2009
62,Johan BothaRR,3,3,12,3,74,6-Mar,24.66,6.16,24,0,0,2009
63,Jesse RyderRCB,5,5,17,3,115,14-Feb,38.33,6.76,34,0,0,2009
64,Harmeet Singh BansalDEC,7,7,23,3,192,24-Mar,64,8.4,45.66,0,0,2009
65,Ravichandran AshwinCSK,2,1,4,2,13,Apr-34,6.5,3.25,12,0,0,2009
66,Andrew FlintoffCSK,3,3,11,2,105,11-Jan,52.5,9.54,33,0,0,2009
67,Anureet SinghKKR,3,2,5,2,47,23-Mar,23.5,9.4,15,0,0,2009
68,Chetanya NandaMI,3,3,8,2,57,4-Jan,28.5,7.12,24,0,0,2009
69,Vikramjeet MalikPBKS,5,5,12,2,98,14-Feb,49,8.16,36,0,0,2009
70,Dale SteynRCB,3,3,9,2,62,11-Mar,31,6.88,27,0,0,2009
71,Sourav GangulyKKR,13,6,12,2,97,21-Feb,48.5,8.08,36,0,0,2009
72,Joginder SharmaCSK,4,4,7,2,57,27-Feb,28.5,8.14,21,0,0,2009
73,KP AppannaRCB,5,5,12,2,87,19-Apr,43.5,7.25,36,0,0,2009
74,Moises HenriquesKKR,4,4,12,2,107,12-Mar,53.5,8.79,36.5,0,0,2009
75,Pankaj SinghRCB,3,3,7,2,65,18-Feb,32.5,9.28,21,0,0,2009
76,Dwayne SmithDEC,8,8,14,1,124,8-Apr,124,8.85,84,0,0,2009
77,Tyron HendersonRR,2,2,6,1,40,30-Jan,40,6.66,36,0,0,2009
78,Graham NapierMI,1,1,4,1,27,27-Jan,27,6.75,24,0,0,2009
79,Vikram SinghPBKS,5,4,9,1,82,29-Mar,82,9.11,54,0,0,2009
80,Chris GayleKKR,7,7,19,1,144,21-Mar,144,7.64,113,0,0,2009
81,Rohan RajeMI,4,4,7,1,72,16-Feb,72,10.53,41,0,0,2009
1,Sohail TanvirRR,11,11,41,22,266,14-Jun,12.09,6.46,11.22,1,1,2008
2,Shane WarneRR,15,15,52,19,404,21-Apr,21.26,7.76,16.42,0,0,2008
3,Shanthakumaran SreesanthPBKS,15,15,51,19,442,29-Mar,23.26,8.63,16.15,0,0,2008
4,Piyush ChawlaPBKS,15,15,47,17,389,17-Apr,22.88,8.3,16.52,0,0,2008
5,Albie MorkelCSK,13,13,48,17,399,Apr-32,23.47,8.31,16.94,1,0,2008
6,Shane WatsonRR,15,15,54,17,383,29-Apr,22.52,7.07,19.11,0,0,2008
7,Manpreet GonyCSK,16,16,60,17,443,31-Mar,26.05,7.38,21.17,0,0,2008
8,Yo MaheshDC,11,11,42,16,370,Apr-36,23.12,8.77,15.81,1,0,2008
9,Irfan PathanPBKS,14,14,53,15,350,24-Mar,23.33,6.6,21.2,0,0,2008
10,RP SinghDEC,14,14,51,15,442,22-Apr,29.46,8.61,20.53,0,0,2008
11,MF MaharoofDC,10,10,36,15,249,Mar-34,16.6,6.91,14.4,0,0,2008
12,Munaf PatelRR,15,15,55,14,420,21-May,30,7.63,23.57,0,0,2008
13,Zaheer KhanRCB,11,11,42,13,357,17-Apr,27.46,8.5,19.38,0,0,2008
14,Siddharth TrivediRR,15,15,48,13,399,25-Apr,30.69,8.31,22.15,0,0,2008
15,Ashish NehraMI,14,14,45,12,348,10-Apr,29,7.76,22.41,0,0,2008
16,Glenn McGrathDC,14,14,54,12,357,29-Apr,29.75,6.61,27,1,0,2008
17,Umar GulKKR,6,6,22,12,184,23-Apr,15.33,8.17,11.25,1,0,2008
18,Lakshmipathy BalajiCSK,9,9,33,11,286,24-May,26,8.66,18,0,1,2008
19,Shaun PollockMI,13,13,46,11,301,12-Mar,27.36,6.54,25.09,0,0,2008
20,Amit MishraDC,6,6,20,11,142,17-May,12.9,7.15,10.81,0,1,2008
21,Dwayne BravoMI,9,9,28,11,232,22-Apr,21.09,8.14,15.54,0,0,2008
22,Muttiah MuralitharanCSK,15,15,58,11,404,11-Mar,36.72,6.96,31.63,0,0,2008
23,Dhawal KulkarniMI,10,10,29,11,236,14-Apr,21.45,8,16.09,0,0,2008
24,Vikram SinghPBKS,13,13,48,11,420,29-Mar,38.18,8.75,26.18,0,0,2008
25,Pragyan OjhaDEC,13,12,37,11,284,11-Mar,25.81,7.67,20.18,0,0,2008
26,Praveen KumarRCB,13,13,44,11,366,18-Mar,33.27,8.19,24.36,0,0,2008
27,Dilhara FernandoMI,5,5,20,10,160,18-Apr,16,8,12,1,0,2008
28,Dale SteynRCB,10,10,38,10,252,11-Mar,25.2,6.63,22.8,0,0,2008
29,Shahid AfridiDEC,10,10,30,9,225,28-Mar,25,7.5,20,0,0,2008
30,Ajit AgarkarKKR,9,9,26,8,207,25-Mar,25.87,7.96,19.5,0,0,2008
31,Mohammad AsifDC,8,8,32,8,296,19-Feb,37,9.25,24,0,0,2008
32,Joginder SharmaCSK,8,7,24,8,239,27-Feb,29.87,9.68,18.5,0,0,2008
33,Ashok DindaKKR,13,12,38,8,258,18-Apr,32.25,6.78,28.5,0,0,2008
34,Yusuf PathanRR,16,13,28,8,230,20-Mar,28.75,8.16,21.12,0,0,2008
35,Ishant SharmaKKR,13,13,43,8,331,12-May,41.37,7.66,32.37,0,0,2008
36,James HopesPBKS,11,11,28,7,276,2-Feb,39.42,9.85,24,0,0,2008
37,Palani AmarnathCSK,6,6,22,7,236,Feb-29,33.71,10.72,18.85,0,0,2008
38,Anil KumbleRCB,10,10,38,7,304,5-May,43.42,7.93,32.85,0,0,2008
39,Makhaya NtiniCSK,9,9,35,7,242,21-Apr,34.57,6.91,30,1,0,2008
40,Laxmi Ratan ShuklaKKR,13,9,12,6,124,25-Mar,20.66,10.33,12,0,0,2008
41,Rajat BhatiaDC,9,9,22,6,183,15-Apr,30.5,8.31,22,0,0,2008
42,Sourav GangulyKKR,13,7,20,6,128,21-Feb,21.33,6.4,20,0,0,2008
43,Rohan RajeMI,6,6,16,5,137,16-Feb,27.4,8.38,19.6,0,0,2008
44,Harbhajan SinghMI,3,3,10,5,82,18-May,16.4,8.2,12,0,0,2008
45,Dwayne SmithMI,4,4,11,5,83,8-Apr,16.6,7.54,13.2,0,0,2008
46,Shoaib AkhtarKKR,3,3,7,5,54,11-Apr,10.8,7.71,8.4,1,0,2008
47,Chaminda VaasDEC,5,5,17,5,145,21-Mar,29,8.52,20.4,0,0,2008
48,Vinay KumarRCB,8,8,23,5,182,Apr-40,36.4,7.91,27.6,0,0,2008
49,Pradeep SangwanDC,7,7,24,5,215,18-Mar,43,8.95,28.8,0,0,2008
50,Brett LeePBKS,4,4,16,4,112,15-Mar,28,7,24,0,0,2008
51,Sanath JayasuriyaMI,14,8,21,4,159,14-Mar,39.75,7.57,31.5,0,0,2008
52,Sanjay BangarDEC,11,9,25,4,219,Feb-34,54.75,8.76,37.5,0,0,2008
53,Jacques KallisRCB,11,11,34,4,311,13-Mar,77.75,9.05,51.5,0,0,2008
54,Paidikalva VijaykumarDEC,9,9,25,4,199,17-Jan,49.75,7.85,38,0,0,2008
55,Scott StyrisDEC,8,8,27,3,199,Mar-32,66.33,7.37,54,0,0,2008
56,Virender SehwagDC,14,7,11,3,133,18-Feb,44.33,12.09,22,0,0,2008
57,Yuvraj SinghPBKS,15,6,9,3,83,29-Apr,27.66,9.22,18,0,0,2008
58,Murali KartikKKR,6,5,14,3,127,17-Mar,42.33,8.65,29.33,0,0,2008
59,Ramesh PowarPBKS,5,5,12,3,91,11-Feb,30.33,7.58,24,0,0,2008
60,Jacob OramCSK,4,4,16,3,149,Mar-32,49.66,9.31,32,0,0,2008
61,Gajendra SinghRR,4,4,14,3,141,Jan-33,47,10.07,28,0,0,2008
62,Dominic ThornelyMI,6,4,7,3,40,7-Feb,13.33,5.71,14,0,0,2008
63,David HusseyKKR,13,5,13,2,130,2-Feb,65,10,39,0,0,2008
64,Daniel VettoriDC,2,2,8,2,54,15-Mar,27,6.75,24,0,0,2008
65,Venugopal RaoDEC,11,7,14,2,137,23-Feb,68.5,9.78,42,0,0,2008
66,Dimitri MascarenhasRR,1,1,4,2,29,25-May,14.5,7.25,12,0,0,2008
67,Virat KohliRCB,13,4,7,2,61,25-Feb,30.5,7.95,23,0,0,2008
68,Doddapaneni KalyankrishnaDEC,3,3,8,2,87,30-Jan,43.5,10.87,24,0,0,2008
69,Siddharth ChitnisMI,3,2,6,2,60,Feb-40,30,10,18,0,0,2008
70,Shoaib MalikDC,7,5,8,2,85,6-Jan,42.5,10,25.5,0,0,2008
71,Balachandra AkhilRCB,7,6,17,2,134,17-Feb,67,7.73,52,0,0,2008
72,Musavir KhoteMI,4,2,5,2,51,Feb-29,25.5,10.2,15,0,0,2008
73,Nuwan ZoysaDEC,3,3,11,2,99,30-Jan,49.5,9,33,0,0,2008
74,Ashley NoffkeRCB,1,1,4,1,40,Jan-40,40,10,24,0,0,2008
75,Wilkin MotaPBKS,4,2,3,1,36,24-Jan,36,12,18,0,0,2008
76,Brett GeevesDC,2,2,8,1,91,Jan-50,91,11.37,48,0,0,2008
77,Andre NelMI,1,1,3,1,31,31-Jan,31,10.33,18,0,0,2008
78,Rohit SharmaDEC,13,1,4,1,25,6-Apr,25,6.25,24,0,0,2008
79,Ajantha MendisKKR,1,1,4,1,24,19-Feb,24,6,24,0,0,2008
80,Vidyut SivaramakrishnanCSK,9,1,2,1,22,22-Jan,22,11,12,0,0,2008
81,Suresh RainaCSK,16,2,3,1,30,Feb-00,30,9,20,0,0,2008
82,Sunil JoshiRCB,4,4,9,1,82,27-Jan,82,8.94,55,0,0,2008
83,Dinesh SalunkheRR,6,5,8,1,78,21-Jan,78,9.95,47,0,0,2008
84,Dwaraka Ravi TejaDEC,7,1,2,1,19,19-Jan,19,9.5,12,0,0,2008
85,Mohammad HafeezKKR,8,2,5,1,24,8-Jan,24,4.8,30,0,0,2008
86,Abhishek NayarMI,14,5,7,1,68,13-Mar,68,9.71,42,0,0,2008
87,PM Sarvesh KumarDEC,2,2,5,1,42,18-Jan,42,8.4,30,0,0,2008
