,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year
0,Mohammad Shami,17,17,65.0,522,28,18.64,8.03,13.92,2,0,2023
1,Mohit Sharma,14,14,44.1,361,27,13.37,8.17,9.81,2,1,2023
2,Rashid Khan,17,17,67.0,552,27,20.44,8.23,14.88,1,0,2023
3,Piyush Chawla,16,16,61.0,495,22,22.5,8.11,16.63,0,0,2023
4,Yuzvendra Chahal,14,14,52.5,432,21,20.57,8.17,15.09,3,0,2023
5,Tushar Deshpande,16,16,56.5,564,21,26.85,9.92,16.23,0,0,2023
6,Ravindra Jadeja,16,16,57.0,431,20,21.55,7.56,17.1,0,0,2023
7,Varun Chakaravarthy,14,14,52.4,429,20,21.45,8.14,15.8,1,0,2023
8,Mohammed Siraj,14,14,50.0,376,19,19.78,7.52,15.78,1,0,2023
9,Matheesha Pathirana,12,12,46.2,371,19,19.52,8.0,14.63,0,0,2023
10,Arshdeep Singh,14,14,50.5,493,17,29.0,9.69,17.94,1,0,2023
11,Ravi Bishnoi,15,14,50.3,391,16,24.43,7.74,18.93,0,0,2023
12,Noor Ahmad,13,13,47.1,369,16,23.06,7.82,17.68,0,0,2023
13,Bhuvneshwar Kumar,14,14,51.0,425,16,26.56,8.33,19.12,0,1,2023
14,Ravichandran Ashwin,13,13,49.0,368,14,26.28,7.51,21.0,0,0,2023
15,Akash Madhwal,8,8,25.3,219,14,15.64,8.58,10.92,1,1,2023
16,Jason Behrendorff,12,12,42.0,387,14,27.64,9.21,18.0,0,0,2023
17,Harshal Patel,13,13,47.0,454,14,32.42,9.65,20.14,0,0,2023
18,Trent Boult,10,10,38.0,312,13,24.0,8.21,17.53,0,0,2023
19,Deepak Chahar,10,10,34.0,297,13,22.84,8.73,15.69,0,0,2023
20,Nathan Ellis,10,10,38.0,339,13,26.07,8.92,17.53,1,0,2023
21,Yash Thakur,9,9,31.5,289,13,22.23,9.07,14.69,1,0,2023
22,Mayank Markande,10,10,38.0,300,12,25.0,7.89,19.0,1,0,2023
23,Mitchell Marsh,9,8,20.1,170,12,14.16,8.42,10.08,1,0,2023
24,Axar Patel,14,13,47.0,338,11,30.72,7.19,25.63,0,0,2023
25,Naveen-ul-Haq,8,7,28.0,219,11,19.9,7.82,15.27,1,0,2023
26,Sunil Narine,14,14,48.0,383,11,34.81,7.97,26.18,0,0,2023
27,Maheesh Theekshana,13,13,49.0,392,11,35.63,8.0,26.72,0,0,2023
28,Mark Wood,4,4,16.0,130,11,11.81,8.12,8.72,0,1,2023
29,Kuldeep Yadav,14,14,49.0,361,10,36.1,7.36,29.4,0,0,2023
30,Suyash Sharma,11,11,39.0,321,10,32.1,8.23,23.4,0,0,2023
31,Ishant Sharma,8,8,25.0,206,10,20.6,8.24,15.0,0,0,2023
32,Sandeep Sharma,12,12,46.0,396,10,39.6,8.6,27.6,0,0,2023
33,Anrich Nortje,10,10,40.0,364,10,36.4,9.1,24.0,0,0,2023
34,T Natarajan,12,12,45.0,410,10,41.0,9.11,27.0,0,0,2023
35,Marco Jansen,8,8,27.0,267,10,26.7,9.88,16.2,0,0,2023
36,Sam Curran,14,14,47.5,489,10,48.9,10.22,28.7,0,0,2023
37,Karn Sharma,7,7,21.3,223,10,22.3,10.37,12.9,0,0,2023
38,Krunal Pandya,15,12,42.0,313,9,34.77,7.45,28.0,0,0,2023
39,Moeen Ali,15,11,26.0,195,9,21.66,7.5,17.33,1,0,2023
40,Harpreet Brar,13,11,27.1,218,9,24.22,8.02,18.11,1,0,2023
41,Wanindu Hasaranga,8,8,29.0,258,9,28.66,8.89,19.33,0,0,2023
42,Khaleel Ahmed,9,9,33.0,301,9,33.44,9.12,22.0,0,0,2023
43,Wayne Parnell,7,7,25.1,236,9,26.22,9.37,16.77,0,0,2023
44,Vyshak Vijaykumar,7,7,24.0,253,9,28.11,10.54,16.0,0,0,2023
45,Rahul Chahar,14,14,49.4,385,8,48.12,7.75,37.25,0,0,2023
46,Adam Zampa,6,6,22.0,188,8,23.5,8.54,16.5,0,0,2023
47,Avesh Khan,9,9,29.0,283,8,35.37,9.75,21.75,0,0,2023
48,Amit Mishra,7,7,19.0,149,7,21.28,7.84,16.28,0,0,2023
49,Josh Little,10,10,34.0,294,7,42.0,8.64,29.14,0,0,2023
50,Alzarri Joseph,7,7,24.0,225,7,32.14,9.37,20.57,0,0,2023
51,Kagiso Rabada,6,6,23.0,232,7,33.14,10.08,19.71,0,0,2023
52,Shardul Thakur,11,9,21.0,220,7,31.42,10.47,18.0,0,0,2023
53,Mukesh Kumar,10,10,31.0,326,7,46.57,10.51,26.57,0,0,2023
54,Riley Meredith,5,5,19.4,207,7,29.57,10.52,16.85,0,0,2023
55,Andre Russell,14,9,15.1,172,7,24.57,11.34,13.0,0,0,2023
56,Michael Bracewell,5,5,11.0,95,6,15.83,8.63,11.0,0,0,2023
57,Cameron Green,16,16,38.0,361,6,60.16,9.5,38.0,0,0,2023
58,Harshit Rana,6,6,17.0,147,5,29.4,8.64,20.4,0,0,2023
59,Kumar Kartikeya Singh,8,8,26.0,227,5,45.4,8.73,31.2,0,0,2023
60,Vaibhav Arora,5,5,16.0,146,5,29.2,9.12,19.2,0,0,2023
61,Marcus Stoinis,15,5,10.5,100,5,20.0,9.23,13.0,0,0,2023
62,Akash Singh,6,6,19.0,188,5,37.6,9.89,22.8,0,0,2023
63,Umran Malik,8,8,20.0,217,5,43.4,10.85,24.0,0,0,2023
64,Arshad Khan,6,6,14.1,190,5,38.0,13.41,17.0,0,0,2023
65,Fazalhaq Farooqi,4,4,13.2,117,4,29.25,8.77,20.0,0,0,2023
66,Jason Holder,8,8,28.3,284,4,71.0,9.96,42.75,0,0,2023
67,Mitchell Santner,3,3,12.0,81,3,27.0,6.75,24.0,0,0,2023
68,David Willey,4,4,15.0,105,3,35.0,7.0,30.0,0,0,2023
69,Krishnappa Gowtham,7,6,16.0,118,3,39.33,7.37,32.0,0,0,2023
70,Anukul Roy,4,3,8.0,65,3,21.66,8.12,16.0,0,0,2023
71,Washington Sundar,7,7,17.4,146,3,48.66,8.26,35.33,0,0,2023
72,Josh Hazlewood,3,3,9.0,76,3,25.33,8.44,18.0,0,0,2023
73,Nitish Rana,14,6,8.5,75,3,25.0,8.49,17.66,0,0,2023
74,Yudhvir Singh,3,3,8.0,71,3,23.66,8.87,16.0,0,0,2023
75,Glenn Maxwell,14,7,10.2,94,3,31.33,9.09,20.66,0,0,2023
76,Hardik Pandya,16,11,25.0,228,3,76.0,9.12,50.0,0,0,2023
77,Arjun Tendulkar,4,4,9.5,92,3,30.66,9.35,19.66,0,0,2023
78,Hrithik Shokeen,8,8,19.0,187,3,62.33,9.84,38.0,0,0,2023
79,Asif K M,4,4,14.0,138,3,46.0,9.85,28.0,0,0,2023
80,Sikandar Raza,7,6,12.0,119,3,39.66,9.91,24.0,0,0,2023
81,Rajvardhan Hangargekar,2,2,6.0,60,3,20.0,10.0,12.0,0,0,2023
82,Mohsin Khan,5,4,10.0,107,3,35.66,10.7,20.0,0,0,2023
83,Chris Jordan,6,6,22.0,237,3,79.0,10.77,44.0,0,0,2023
84,Chetan Sakariya,2,2,8.0,89,3,29.66,11.12,16.0,0,0,2023
85,Navdeep Saini,2,2,6.0,74,3,24.66,12.33,12.0,0,0,2023
86,Adil Rashid,2,2,7.0,56,2,28.0,8.0,21.0,0,0,2023
87,Lalit Yadav,6,4,13.0,118,2,59.0,9.07,39.0,0,0,2023
88,Jofra Archer,5,5,20.0,190,2,95.0,9.5,60.0,0,0,2023
89,Kuldip Yadav,2,2,7.0,68,2,34.0,9.71,21.0,0,0,2023
90,Abhishek Sharma,11,5,12.0,124,2,62.0,10.33,36.0,0,0,2023
91,Yash Dayal,5,5,14.0,165,2,82.5,11.78,42.0,0,0,2023
92,Tim Southee,2,2,6.0,79,2,39.5,13.16,18.0,0,0,2023
93,Liam Livingstone,9,5,7.0,94,2,47.0,13.42,21.0,0,0,2023
94,Kulwant Khejroliya,2,2,4.2,64,2,32.0,14.76,13.0,0,0,2023
95,Praveen Dubey,1,1,3.0,19,1,19.0,6.33,18.0,0,0,2023
96,Glenn Phillips,5,2,3.0,20,1,20.0,6.66,18.0,0,0,2023
97,Reece Topley,1,1,2.0,14,1,14.0,7.0,12.0,0,0,2023
98,Tristan Stubbs,2,1,2.0,14,1,14.0,7.0,12.0,0,0,2023
99,Mayank Dagar,3,3,11.0,83,1,83.0,7.54,66.0,0,0,2023
100,Sisanda Magala,2,2,6.0,51,1,51.0,8.5,36.0,0,0,2023
101,Aiden Markram,13,6,8.1,70,1,70.0,8.57,49.0,0,0,2023
102,Rishi Dhawan,6,4,7.0,60,1,60.0,8.57,42.0,0,0,2023
103,Rovman Powell,3,1,2.0,18,1,18.0,9.0,12.0,0,0,2023
104,Umesh Yadav,8,8,19.0,189,1,189.0,9.94,114.0,0,0,2023
105,Akeal Hosein,1,1,4.0,40,1,40.0,10.0,24.0,0,0,2023
106,Darshan Nalkande,1,1,4.0,44,1,44.0,11.0,24.0,0,0,2023
107,Mustafizur Rahman,2,2,7.0,79,1,79.0,11.28,42.0,0,0,2023
108,Akash Deep,2,2,5.0,59,1,59.0,11.8,30.0,0,0,2023
109,Lockie Ferguson,3,3,7.4,96,1,96.0,12.52,46.0,0,0,2023
110,Duan Jansen,1,1,4.0,53,1,53.0,13.25,24.0,0,0,2023
111,Shahbaz Ahmed,10,5,7.0,95,1,95.0,13.57,42.0,0,0,2023
112,Kartik Tyagi,3,3,6.1,92,1,92.0,14.91,37.0,0,0,2023
113,Yuzvendra Chahal,17,17,68.0,527,27,19.51,7.75,15.11,1,1,2022
114,Wanindu Hasaranga,16,16,57.0,430,26,16.53,7.54,13.15,1,1,2022
115,Kagiso Rabada,13,13,48.0,406,23,17.65,8.45,12.52,2,0,2022
116,Umran Malik,14,14,49.1,444,22,20.18,9.03,13.4,1,1,2022
117,Kuldeep Yadav,14,14,49.4,419,21,19.95,8.43,14.19,2,0,2022
118,Mohammad Shami,16,16,61.0,488,20,24.4,8.0,18.3,0,0,2022
119,Josh Hazlewood,12,12,46.3,377,20,18.85,8.1,13.95,1,0,2022
120,Rashid Khan,16,16,63.5,421,19,22.15,6.59,20.15,1,0,2022
121,Harshal Patel,15,15,53.3,410,19,21.57,7.66,16.89,1,0,2022
122,Prasidh Krishna,17,17,66.3,551,19,29.0,8.28,21.0,0,0,2022
123,Avesh Khan,13,13,47.4,416,18,23.11,8.72,15.88,1,0,2022
124,T Natarajan,11,11,43.0,406,18,22.55,9.44,14.33,0,0,2022
125,Andre Russell,14,13,28.1,278,17,16.35,9.86,9.94,1,0,2022
126,Umesh Yadav,12,12,48.0,339,16,21.18,7.06,18.0,1,0,2022
127,Trent Boult,16,16,62.0,492,16,30.75,7.93,23.25,0,0,2022
128,Khaleel Ahmed,10,10,39.1,315,16,19.68,8.04,14.68,0,0,2022
129,Dwayne Bravo,10,10,34.2,299,16,18.68,8.7,12.87,0,0,2022
130,Mukesh Choudhary,13,13,45.3,424,16,26.5,9.31,17.06,1,0,2022
131,Jasprit Bumrah,14,14,53.2,383,15,25.53,7.18,21.33,0,1,2022
132,Shardul Thakur,14,14,48.2,473,15,31.53,9.78,19.33,1,0,2022
133,Mohsin Khan,9,9,33.0,197,14,14.07,5.96,14.14,1,0,2022
134,Rahul Chahar,13,13,46.4,360,14,25.71,7.71,20.0,0,0,2022
135,Tim Southee,9,9,35.0,275,14,19.64,7.85,15.0,0,0,2022
136,Jason Holder,12,12,41.3,391,14,27.92,9.42,17.78,0,0,2022
137,Ravi Bishnoi,14,14,54.0,456,13,35.07,8.44,24.92,0,0,2022
138,Daniel Sams,11,11,42.0,370,13,28.46,8.8,19.38,1,0,2022
139,Bhuvneshwar Kumar,14,14,52.1,383,12,31.91,7.34,26.08,0,0,2022
140,Maheesh Theekshana,9,9,35.0,261,12,21.75,7.45,17.5,1,0,2022
141,Ravichandran Ashwin,17,17,67.0,503,12,41.91,7.5,33.5,0,0,2022
142,Lockie Ferguson,13,13,47.4,427,12,35.58,8.95,23.83,1,0,2022
143,Obed McCoy,7,7,25.5,237,11,21.54,9.17,14.09,0,0,2022
144,Yash Dayal,9,9,32.0,296,11,26.9,9.25,17.45,0,0,2022
145,Krunal Pandya,14,12,38.0,265,10,26.5,6.97,22.8,0,0,2022
146,Arshdeep Singh,14,14,50.0,385,10,38.5,7.7,30.0,0,0,2022
147,Sunil Narine,14,14,56.0,312,9,34.66,5.57,37.33,0,0,2022
148,Murugan Ashwin,8,8,29.0,228,9,25.33,7.86,19.33,0,0,2022
149,Dushmantha Chameera,12,12,44.0,384,9,42.66,8.72,29.33,0,0,2022
150,Anrich Nortje,6,6,22.2,217,9,24.11,9.71,14.88,0,0,2022
151,Mohammed Siraj,15,15,51.0,514,9,57.11,10.07,34.0,0,0,2022
152,Moeen Ali,10,10,23.5,158,8,19.75,6.62,17.87,0,0,2022
153,Hardik Pandya,15,10,30.3,222,8,27.75,7.27,22.87,0,0,2022
154,Mustafizur Rahman,8,8,32.0,244,8,30.5,7.62,24.0,0,0,2022
155,Riley Meredith,8,8,28.0,236,8,29.5,8.42,21.0,0,0,2022
156,Kuldeep Sen,7,7,25.1,237,8,29.62,9.41,18.87,1,0,2022
157,Jagadeesha Suchith,5,5,18.0,140,7,20.0,7.77,15.42,0,0,2022
158,Marco Jansen,8,8,32.0,274,7,39.14,8.56,27.42,0,0,2022
159,Alzarri Joseph,9,9,30.0,264,7,37.71,8.8,25.71,0,0,2022
160,Pat Cummins,5,5,19.5,212,7,30.28,10.68,17.0,0,0,2022
161,Glenn Maxwell,13,10,24.0,165,6,27.5,6.87,24.0,0,0,2022
162,Axar Patel,13,13,43.0,321,6,53.5,7.46,43.0,0,0,2022
163,Sai Kishore,5,5,16.0,121,6,20.16,7.56,16.0,0,0,2022
164,Rishi Dhawan,6,6,19.0,156,6,26.0,8.21,19.0,0,0,2022
165,Varun Chakaravarthy,11,11,39.0,332,6,55.33,8.51,39.0,0,0,2022
166,Washington Sundar,9,8,28.0,239,6,39.83,8.53,28.0,0,0,2022
167,Liam Livingstone,14,12,23.0,202,6,33.66,8.78,23.0,0,0,2022
168,Ramandeep Singh,5,3,6.0,54,6,9.0,9.0,6.0,0,0,2022
169,Jaydev Unadkat,5,5,20.0,190,6,31.66,9.5,20.0,0,0,2022
170,Dwaine Pretorius,6,6,21.0,210,6,35.0,10.0,21.0,0,0,2022
171,Tymal Mills,5,5,17.0,190,6,31.66,11.17,17.0,0,0,2022
172,Odean Smith,6,6,15.0,178,6,29.66,11.86,15.0,1,0,2022
173,Ravindra Jadeja,10,10,33.0,248,5,49.6,7.51,39.6,0,0,2022
174,Kumar Kartikeya Singh,4,4,13.0,102,5,20.4,7.84,15.6,0,0,2022
175,Krishnappa Gowtham,4,4,12.0,99,5,19.8,8.25,14.4,0,0,2022
176,Basil Thampi,5,5,16.0,152,5,30.4,9.5,19.2,0,0,2022
177,Shivam Mavi,6,6,22.0,227,5,45.4,10.31,26.4,0,0,2022
178,Akash Deep,5,5,18.5,205,5,41.0,10.88,22.6,0,0,2022
179,Mitchell Santner,6,6,19.0,130,4,32.5,6.84,28.5,0,0,2022
180,Simarjeet Singh,6,6,18.0,138,4,34.5,7.66,27.0,0,0,2022
181,Lalit Yadav,12,8,18.0,150,4,37.5,8.33,27.0,0,0,2022
182,Mitchell Marsh,8,4,12.0,102,4,25.5,8.5,18.0,0,0,2022
183,Kieron Pollard,11,6,14.0,125,4,31.25,8.92,21.0,0,0,2022
184,Harpreet Brar,5,5,16.0,146,4,36.5,9.12,24.0,0,0,2022
185,Shahbaz Ahmed,16,14,35.0,336,4,84.0,9.6,52.5,0,0,2022
186,Marcus Stoinis,11,5,7.0,79,4,19.75,11.28,10.5,0,0,2022
187,Pradeep Sangwan,3,3,9.0,65,3,21.66,7.22,18.0,0,0,2022
188,Chetan Sakariya,3,3,11.0,84,3,28.0,7.63,22.0,0,0,2022
189,Nathan Ellis,2,2,6.0,55,3,18.33,9.16,12.0,0,0,2022
190,Vaibhav Arora,5,5,17.5,164,3,54.66,9.19,35.66,0,0,2022
191,Romario Shepherd,3,3,9.0,98,3,32.66,10.88,18.0,0,0,2022
192,Navdeep Saini,2,2,6.0,72,3,24.0,12.0,12.0,0,0,2022
193,Ayush Badoni,13,2,2.0,11,2,5.5,5.5,6.0,0,0,2022
194,Prashant Solanki,2,2,6.0,38,2,19.0,6.33,18.0,0,0,2022
195,Matheesha Pathirana,2,2,6.5,52,2,26.0,7.6,20.5,0,0,2022
196,Sandeep Sharma,5,5,20.0,153,2,76.5,7.65,60.0,0,0,2022
197,Hrithik Shokeen,5,5,15.0,127,2,63.5,8.46,45.0,0,0,2022
198,Fazalhaq Farooqi,3,3,12.0,110,2,55.0,9.16,36.0,0,0,2022
199,Andrew Tye,3,3,11.0,107,2,53.5,9.72,33.0,0,0,2022
200,Varun Aaron,2,2,5.0,52,2,26.0,10.4,15.0,0,0,2022
201,Chris Jordan,4,4,12.5,135,2,67.5,10.51,38.5,0,0,2022
202,Darshan Nalkande,2,2,5.1,59,2,29.5,11.41,15.5,0,0,2022
203,David Willey,4,4,11.0,72,1,72.0,6.54,66.0,0,0,2022
204,Anukul Roy,2,2,7.0,55,1,55.0,7.85,42.0,0,0,2022
205,Mayank Markande,2,2,7.0,57,1,57.0,8.14,42.0,0,0,2022
206,Tushar Deshpande,2,2,7.0,63,1,63.0,9.0,42.0,0,0,2022
207,Kartik Tyagi,2,2,8.0,79,1,79.0,9.87,48.0,0,0,2022
208,Harshit Rana,2,2,5.0,51,1,51.0,10.2,30.0,0,0,2022
209,Aiden Markram,14,4,6.0,64,1,64.0,10.66,36.0,0,0,2022
210,Deepak Hooda,15,2,4.0,43,1,43.0,10.75,24.0,0,0,2022
211,Shreyas Gopal,1,1,3.0,34,1,34.0,11.33,18.0,0,0,2022
212,Fabian Allen,1,1,4.0,46,1,46.0,11.5,24.0,0,0,2022
213,Sean Abbott,1,1,4.0,47,1,47.0,11.75,24.0,0,0,2022
214,Riyan Parag,17,4,4.0,59,1,59.0,14.75,24.0,0,0,2022
215,Dewald Brevis,7,1,0.3,8,1,8.0,16.0,3.0,0,0,2022
216,Harshal Patel,15,15,56.0,459,32,14.34,8.14,10.56,1,1,2021
217,Avesh Khan,16,16,61.0,450,24,18.75,7.37,15.25,0,0,2021
218,Jasprit Bumrah,14,14,55.0,410,21,19.52,7.45,15.71,0,0,2021
219,Shardul Thakur,16,16,60.0,527,21,25.09,8.8,17.09,0,0,2021
220,Mohammad Shami,14,14,52.0,395,19,20.78,7.5,16.63,0,0,2021
221,Rashid Khan,14,14,56.0,375,18,20.83,6.69,18.66,0,0,2021
222,Arshdeep Singh,12,12,41.0,342,18,19.0,8.27,13.77,0,1,2021
223,Varun Chakaravarthy,17,17,68.0,448,18,24.88,6.58,22.66,0,0,2021
224,Yuzvendra Chahal,15,15,53.0,374,18,20.77,7.05,17.66,0,0,2021
225,Jason Holder,8,8,32.0,247,16,15.43,7.75,11.93,1,0,2021
226,Sunil Narine,14,14,56.0,361,16,22.56,6.44,21.0,1,0,2021
227,Chris Morris,11,11,41.0,376,15,25.06,9.17,16.4,1,0,2021
228,Axar Patel,12,12,46.0,306,15,20.4,6.65,18.4,0,0,2021
229,Kagiso Rabada,15,15,56.0,456,15,30.4,8.14,22.4,0,0,2021
230,Chetan Sakariya,14,14,52.0,426,14,30.42,8.19,22.28,0,0,2021
231,Deepak Chahar,15,15,54.0,451,14,32.21,8.35,23.14,2,0,2021
232,Dwayne Bravo,11,11,33.0,263,14,18.78,7.81,14.42,0,0,2021
233,Mustafizur Rahman,14,14,52.0,436,14,31.14,8.41,22.21,0,0,2021
234,Ravindra Jadeja,16,16,49.0,346,13,26.61,7.06,22.61,0,0,2021
235,Lockie Ferguson,8,8,30.0,224,13,17.23,7.46,13.84,0,0,2021
236,Trent Boult,14,14,51.0,406,13,31.23,7.9,23.69,0,0,2021
237,Rahul Chahar,11,11,43.0,318,13,24.46,7.39,19.84,1,0,2021
238,Ravi Bishnoi,9,9,35.0,222,12,18.5,6.34,17.5,0,0,2021
239,Anrich Nortje,8,8,30.0,187,12,15.58,6.16,15.16,0,0,2021
240,Prasidh Krishna,10,10,38.0,351,12,29.25,9.11,19.25,0,0,2021
241,Shivam Mavi,9,9,32.0,233,11,21.18,7.24,17.54,1,0,2021
242,Josh Hazlewood,9,9,35.0,293,11,26.63,8.37,19.09,0,0,2021
243,Mohammed Siraj,15,15,52.0,353,11,32.09,6.78,28.36,0,0,2021
244,Andre Russell,10,8,19.0,188,11,17.09,9.89,10.36,0,1,2021
245,Pat Cummins,7,7,27.0,237,9,26.33,8.83,17.88,0,0,2021
246,Sam Curran,9,9,33.0,328,9,36.44,9.93,22.0,0,0,2021
247,Kyle Jamieson,9,9,28.0,269,9,29.88,9.6,18.66,0,0,2021
248,Rahul Tewatia,14,13,37.0,340,8,42.5,9.18,27.75,0,0,2021
249,Siddarth Kaul,8,8,30.0,247,7,35.28,8.23,25.71,0,0,2021
250,Nathan Coulter-Nile,5,5,20.0,127,7,18.14,6.35,17.14,1,0,2021
251,Ravichandran Ashwin,13,13,44.0,331,7,47.28,7.41,38.28,0,0,2021
252,Shahbaz Ahmed,11,6,14.0,92,7,13.14,6.57,12.0,0,0,2021
253,Amit Mishra,4,4,14.0,109,6,18.16,7.78,14.0,1,0,2021
254,Bhuvneshwar Kumar,11,11,42.0,335,6,55.83,7.97,42.0,0,0,2021
255,Moeen Ali,15,10,25.0,161,6,26.83,6.35,25.33,0,0,2021
256,Lungi Ngidi ,3,3,12.0,125,5,25.0,10.41,14.4,0,0,2021
257,Chris Woakes,3,3,11.0,82,5,16.4,7.45,13.2,0,0,2021
258,Krunal Pandya,13,12,33.0,265,5,53.0,7.98,39.8,0,0,2021
259,Jimmy Neesham,3,3,9.0,66,5,13.2,7.33,10.8,0,0,2021
260,Harpreet Brar,7,7,23.0,139,5,27.8,6.04,27.6,0,0,2021
261,Kieron Pollard,14,9,13.0,95,5,19.0,7.21,15.8,0,0,2021
262,Khaleel Ahmed,7,7,27.0,219,5,43.8,8.11,32.4,0,0,2021
263,Abhishek Sharma,8,6,10.0,64,4,16.0,6.4,15.0,0,0,2021
264,Lalit Yadav,7,5,14.0,101,4,25.25,7.21,21.0,0,0,2021
265,Jaydev Unadkat,6,6,22.0,168,4,42.0,7.63,33.0,0,0,2021
266,Tom Curran,3,3,11.0,104,4,26.0,9.17,17.0,0,0,2021
267,Chris Jordan,4,4,12.0,96,4,24.0,8.0,18.0,0,0,2021
268,Kartik Tyagi,4,4,14.0,124,4,31.0,8.85,21.0,0,0,2021
269,Moises Henriques,5,5,10.0,45,4,11.25,4.5,15.0,0,0,2021
270,Dan Christian,9,9,16.0,155,4,38.75,9.3,25.0,0,0,2021
271,Riley Meredith,5,5,17.0,169,4,42.25,9.94,25.5,0,0,2021
272,Shakib Al Hasan,8,8,26.0,187,4,46.75,7.19,39.0,0,0,2021
273,Washington Sundar,6,6,16.0,118,3,39.33,7.37,32.0,0,0,2021
274,Venkatesh Iyer,10,4,8.0,69,3,23.0,8.11,17.0,0,0,2021
275,Sandeep Sharma,7,7,23.0,203,3,67.66,8.63,47.0,0,0,2021
276,Adam Milne,4,4,14.0,131,3,43.66,9.35,28.0,0,0,2021
277,Tim Southee,3,3,12.0,95,3,31.66,7.91,24.0,0,0,2021
278,Vijay Shankar,7,5,11.0,100,3,33.33,9.09,22.0,0,0,2021
279,Jhye Richardson,3,3,11.0,117,3,39.0,10.63,22.0,0,0,2021
280,Glenn Maxwell,15,6,16.0,135,3,45.0,8.43,32.0,0,0,2021
281,George Garton,5,5,15.0,135,3,45.0,9.0,30.0,0,0,2021
282,T Natarajan,2,2,8.0,69,2,34.5,8.62,24.0,0,0,2021
283,Jayant Yadav,5,5,17.0,130,2,65.0,7.64,51.0,0,0,2021
284,Imran Tahir,1,1,4.0,16,2,8.0,4.0,12.0,0,0,2021
285,Umran Malik,3,3,12.0,96,2,48.0,8.0,36.0,0,0,2021
286,Marco Jansen,2,2,6.0,45,2,22.5,7.5,18.0,0,0,2021
287,Marcus Stoinis,10,8,11.0,117,2,58.5,10.47,33.5,0,0,2021
288,Mohammad Nabi,3,3,8.0,86,2,43.0,10.75,24.0,0,0,2021
289,Mujeeb Ur Rahman,1,1,4.0,29,2,14.5,7.25,12.0,0,0,2021
290,Deepak Hooda,12,7,16.0,136,2,68.0,8.5,48.0,0,0,2021
291,Fabian Allen,4,3,11.0,90,1,90.0,8.18,66.0,0,0,2021
292,Glenn Phillips,3,2,2.0,20,1,20.0,10.0,12.0,0,0,2021
293,Piyush Chawla,1,1,4.0,38,1,38.0,9.5,24.0,0,0,2021
294,Ishan Porel,1,1,4.0,39,1,39.0,9.75,24.0,0,0,2021
