,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons,Runs_per_Season,Batting_Runs_per_Season_Score,Batting_Avg_Score,Batting_SR_Score,Landmarks,Batting_Landmarks_Score,total_boundaries,Batting_total_boundaries_Score,Batting_Total_rating
477,Rishabh Pant,111,110,17,3284,97,34.8225,2205,147.7225,1,18,296,154,2024,8,410.5,5,5,5,19,5,450,5,25
265,Jos Buttler,107,106,12,3582,95,37.61666666666667,2428,147.28,7,19,355,161,2024,9,398.0,5,5,5,26,5,516,5,25
153,David Warner,177,177,22,6402,93,40.70428571428572,4565,139.24357142857144,4,61,647,231,2024,14,457.2857142857143,5,5,4,65,5,878,5,24
587,Suryakumar Yadav,149,134,23,3594,82,31.505454545454544,2469,142.9618181818182,2,24,385,130,2024,11,326.72727272727275,5,4,4,26,5,515,5,23
190,Faf Du Plessis,45,45,2,1636,96,38.85,1113,147.60666666666665,0,15,156,70,2024,3,545.3333333333334,5,5,5,15,4,226,4,23
558,Shubman Gill,103,100,15,3216,96,37.31714285714286,2370,134.96857142857144,4,20,310,95,2024,7,459.42857142857144,5,5,3,24,5,405,5,23
323,MS Dhoni,264,229,95,5243,84,42.077058823529406,3812,141.40176470588236,0,24,363,252,2024,17,308.4117647058824,4,5,4,24,5,615,5,23
541,Shikhar Dhawan,222,221,29,6769,99,33.978235294117646,5324,124.52470588235295,2,51,768,152,2024,17,398.1764705882353,5,5,2,53,5,920,5,22
492,Ruturaj Gaikwad,52,51,8,2012,92,47.8725,1448,136.4075,2,15,184,77,2024,4,503.0,5,5,3,17,5,261,4,22
398,Nicholas Pooran,76,73,18,1769,77,33.58,1090,155.67166666666665,0,9,113,127,2024,6,294.8333333333333,4,5,5,9,4,240,4,22
638,Virat Kohli,252,244,37,8004,99,38.862941176470585,6065,128.9829411764706,8,55,705,272,2024,17,470.8235294117647,5,5,2,63,5,977,5,22
512,Sanju Samson,168,163,19,4419,92,30.68166666666667,3180,137.8775,3,25,352,206,2024,12,368.25,5,4,3,28,5,558,5,22
555,Shreyas Iyer,116,115,18,3127,96,31.13666666666667,2453,121.86111111111111,0,21,271,113,2024,9,347.44444444444446,5,4,2,21,5,384,5,21
601,Tilak Varma,38,38,9,1156,84,40.190000000000005,790,148.25666666666666,0,6,90,58,2024,3,385.3333333333333,5,5,5,6,3,148,3,21
486,Rohit Sharma,257,252,29,6628,98,30.05235294117647,5054,131.08529411764704,2,43,599,280,2024,17,389.88235294117646,5,4,2,45,5,879,5,21
264,Jonny Bairstow,50,50,4,1589,97,36.221999999999994,1100,144.63400000000001,2,9,166,69,2024,5,317.8,4,5,4,11,4,235,4,21
171,Dinesh Karthik,242,221,45,4554,97,27.273125,3360,136.571875,0,21,446,152,2024,16,284.625,4,3,3,21,5,598,5,20
403,Nitish Rana,107,101,9,2636,87,28.650000000000002,1952,134.56,0,18,234,132,2024,9,292.8888888888889,4,4,3,18,5,366,4,20
653,Yashasvi Jaiswal,53,52,2,1607,68,28.636000000000003,1067,138.322,2,9,198,64,2024,5,321.4,4,4,4,11,4,262,4,20
48,Andre Russell,127,105,20,2484,88,25.596666666666664,1420,152.80416666666665,0,11,170,209,2024,12,207.0,3,3,5,11,4,379,5,20
269,K L Rahul,38,38,4,1410,82,40.906666666666666,1079,128.24,2,10,118,53,2024,3,470.0,5,5,2,12,4,171,3,19
628,Venkatesh Iyer,51,49,7,1326,70,33.192499999999995,967,135.1975,1,11,121,61,2024,4,331.5,5,4,3,12,4,182,3,19
502,Sai Sudharsan,25,25,3,1034,96,45.29,743,136.62333333333333,1,6,95,31,2024,3,344.6666666666667,5,5,3,7,3,126,3,19
422,Phil Salt,21,21,2,653,89,33.4,372,172.95,0,6,74,34,2024,2,326.5,5,4,5,6,3,108,2,19
117,Cameron Green,29,28,11,707,46,41.05,460,151.765,1,2,62,32,2024,2,353.5,5,5,5,3,2,94,2,19
209,Hardik Pandya,137,128,40,2525,91,28.088,1734,143.48999999999998,0,10,189,136,2024,10,252.5,4,3,4,10,4,325,4,19
152,David Miller,129,123,43,2924,94,36.47416666666667,2100,133.3125,1,13,207,134,2024,12,243.66666666666666,3,5,3,14,4,341,4,19
199,Glenn Maxwell,134,129,17,2771,95,21.77333333333333,1768,140.24416666666667,0,18,232,160,2024,12,230.91666666666666,3,2,4,18,5,392,5,19
455,Rajat Patidar,27,24,1,799,55,34.54333333333333,503,148.13,1,7,51,54,2024,3,266.3333333333333,4,5,5,8,3,105,2,19
612,Travis Head,25,25,4,772,75,32.56666666666667,444,155.45333333333335,1,5,76,40,2024,3,257.3333333333333,4,4,5,6,3,116,3,19
27,Ajinkya Rahane,185,171,17,4642,91,26.39875,3761,115.786875,2,30,478,103,2024,16,290.125,4,3,1,32,5,581,5,18
543,Shivam Dube,65,61,11,1502,95,27.233333333333334,1024,140.01,0,9,86,101,2024,6,250.33333333333334,4,3,4,9,4,187,3,18
227,Ishan Kishan,104,99,6,2644,99,27.246666666666666,1946,130.96444444444444,0,16,255,119,2024,9,293.77777777777777,4,3,2,16,4,374,5,18
332,Manish Pandey,171,159,27,3850,94,31.35647058823529,3179,116.35941176470588,1,22,335,110,2024,17,226.47058823529412,3,4,1,23,5,445,5,18
440,Quinton De Kock,30,30,1,901,81,31.590000000000003,629,141.18666666666667,1,7,86,40,2024,3,300.3333333333333,4,4,4,8,3,126,3,18
450,Rahul Tripathi,95,93,11,2236,93,26.96,1605,137.3075,0,12,223,84,2024,8,279.5,4,3,3,12,4,307,4,18
438,Prithvi Shaw,79,79,0,1892,99,23.577142857142857,1283,146.25428571428571,0,14,238,61,2024,7,270.2857142857143,4,2,4,14,4,299,4,18
279,Kane Williamson,78,77,17,2128,89,32.42777777777778,1694,118.97666666666666,0,18,186,64,2024,9,236.44444444444446,3,4,1,18,5,250,4,17
542,Shimron Hetmyer,72,66,26,1244,75,30.108333333333334,812,151.54833333333332,0,4,76,82,2024,6,207.33333333333334,3,4,5,4,2,158,3,17
313,Liam Livingstone,39,39,6,940,94,25.112000000000002,578,147.574,0,6,66,66,2024,5,188.0,3,3,5,6,3,132,3,17
339,Marcus Stoinis,96,88,22,1866,9,27.806666666666665,1314,132.03666666666666,1,9,150,91,2024,9,207.33333333333334,3,3,3,10,4,241,4,17
220,Heinrich Klaasen,35,32,6,993,80,28.3,590,139.8525,1,6,56,64,2024,4,248.25,3,4,4,7,3,120,3,17
402,Nitish Kumar Reddy,13,11,2,303,76,33.67,212,142.92,0,2,15,21,2024,1,303.0,4,5,4,2,2,36,1,16
650,Wriddhiman Saha,170,145,24,2934,93,27.281176470588235,2300,124.75588235294117,1,13,296,87,2024,17,172.58823529411765,2,3,2,14,4,383,5,16
13,Abhishek Sharma,63,61,7,1377,75,25.897142857142857,887,147.08714285714288,0,7,128,73,2024,7,196.71428571428572,3,3,4,7,3,201,3,16
534,Shashank Singh,24,19,7,423,68,30.75,262,155.72500000000002,0,2,33,25,2024,2,211.5,3,4,5,2,2,58,1,15
505,Sam Curran,59,48,13,883,63,24.052,647,151.394,0,5,74,37,2024,5,176.6,2,3,5,5,3,111,2,15
467,Ravindra Jadeja,240,184,76,2959,62,30.63125,2281,130.5075,0,3,215,107,2024,16,184.9375,3,4,2,3,2,322,4,15
348,Mayank Agarwal,127,121,4,2661,99,20.369285714285716,2000,124.90857142857143,1,13,263,98,2024,14,190.07142857142858,3,2,2,14,4,361,4,15
161,Devdutt Padikkal,64,64,2,1559,74,23.358,1266,115.032,1,9,169,42,2024,5,311.8,4,2,1,10,4,211,4,15
296,Krunal Pandya,127,111,38,1647,86,24.275555555555556,1240,132.84555555555556,0,1,144,61,2024,9,183.0,3,3,3,1,1,205,4,14
25,Aiden Markram,44,42,9,995,68,30.955000000000002,767,127.97500000000001,0,5,73,35,2024,4,248.75,3,4,2,5,3,108,2,14
88,Ayush Badoni,42,35,9,634,59,24.436666666666667,473,133.21,0,4,46,24,2024,3,211.33333333333334,3,3,3,4,2,70,2,13
479,Riyan Parag,70,58,10,1173,84,22.938333333333333,868,126.12,0,6,84,60,2024,6,195.5,3,2,2,6,3,144,3,13
160,Deepak Hooda,118,96,16,1465,64,26.044,1131,127.73299999999999,0,8,96,61,2024,10,146.5,2,3,2,8,3,157,3,13
257,Jitesh Sharma,40,36,4,730,49,23.34,483,150.46,0,0,53,45,2024,3,243.33333333333334,3,2,5,0,1,98,2,13
362,Moeen Ali,67,57,6,1162,93,20.565714285714286,821,135.6885714285714,0,6,95,67,2024,7,166.0,2,2,3,6,3,162,3,13
166,Dhruv Jurel,28,22,7,347,56,23.045,229,155.505,0,2,29,16,2024,2,173.5,2,2,5,2,2,45,1,12
475,Rinku Singh,46,40,11,893,67,24.911666666666665,623,124.87666666666667,0,4,67,46,2024,6,148.83333333333334,2,3,2,4,2,113,3,12
474,Rilee Rossouw,22,22,2,473,82,19.06,308,141.3075,0,2,45,25,2024,4,118.25,2,2,4,2,2,70,2,12
582,Sunil Narine,177,110,20,1534,9,11.795384615384616,925,123.79307692307692,1,7,164,97,2024,13,118.0,2,1,2,8,3,261,4,12
631,Vijay Shankar,71,60,16,1115,63,27.3325,859,118.3175,0,6,80,45,2024,8,139.375,2,3,1,6,3,125,3,12
87,Axar Patel,150,113,36,1653,66,21.35363636363636,1263,126.71454545454547,0,3,107,79,2024,11,150.27272727272728,2,2,2,3,2,186,3,11
603,Tim David,38,35,12,659,46,23.5,387,141.59,0,0,38,46,2024,4,164.75,2,2,4,0,1,84,2,11
523,Shahrukh Khan,40,38,10,553,58,19.747500000000002,391,144.45499999999998,0,1,35,37,2024,4,138.25,2,2,4,1,1,72,2,11
444,Rahmanullah Gurbaz,14,13,0,289,81,25.82,216,134.15,0,2,24,19,2024,2,144.5,2,3,3,2,2,43,1,11
417,Pat Cummins,57,41,15,515,66,17.611666666666668,344,140.845,0,3,33,34,2024,6,85.83333333333333,1,1,4,3,2,67,2,10
449,Rahul Tewatia,92,65,25,1013,53,23.91888888888889,752,135.66555555555556,0,1,84,47,2024,9,112.55555555555556,1,2,3,1,1,131,3,10
460,Rashid Khan,121,60,23,545,79,14.85875,337,158.05375,0,1,39,38,2024,8,68.125,1,1,5,1,1,77,2,10
14,Abishek Porel,18,16,2,360,65,20.475,236,132.98,0,2,37,15,2024,2,180.0,2,2,3,2,2,52,1,10
327,Mahipal Lomror,40,35,6,527,8,18.385714285714283,373,153.3942857142857,0,1,33,30,2024,7,75.28571428571429,1,1,5,1,1,63,2,10
4,Abdul Samad,50,40,10,577,4,19.396,395,131.204,0,0,37,36,2024,5,115.4,1,2,3,0,1,73,2,9
149,Daryl Mitchell,15,15,2,351,63,22.705,267,108.8,0,2,28,10,2024,2,175.5,2,2,1,2,2,38,1,8
614,Tristan Stubbs,18,17,6,405,71,22.5,233,107.18,0,3,26,26,2024,3,135.0,2,2,1,3,2,52,1,8
533,Shardul Thakur,95,37,12,307,7,7.958888888888889,221,132.96333333333334,0,1,27,13,2024,9,34.111111111111114,1,1,3,1,1,40,1,7
