,Player,Mat_2016,Inns_2016,NO_2016,Runs_2016,HS_2016,Avg_2016,BF_2016,SR_2016,100_2016,50_2016,4s_2016,6s_2016,Mat_2017,Inns_2017,NO_2017,Runs_2017,HS_2017,Avg_2017,BF_2017,SR_2017,100_2017,50_2017,4s_2017,6s_2017,Mat_2018,Inns_2018,NO_2018,Runs_2018,HS_2018,Avg_2018,BF_2018,SR_2018,100_2018,50_2018,4s_2018,6s_2018,Mat_2019,Inns_2019,NO_2019,Runs_2019,HS_2019,Avg_2019,BF_2019,SR_2019,100_2019,50_2019,4s_2019,6s_2019,Mat_2020,Inns_2020,NO_2020,Runs_2020,HS_2020,Avg_2020,BF_2020,SR_2020,100_2020,50_2020,4s_2020,6s_2020,Mat_2021,Inns_2021,NO_2021,Runs_2021,HS_2021,Avg_2021,BF_2021,SR_2021,100_2021,50_2021,4s_2021,6s_2021,Mat_2022,Inns_2022,NO_2022,Runs_2022,HS_2022,Avg_2022,BF_2022,SR_2022,100_2022,50_2022,4s_2022,6s_2022
133,Adam Zampa,5.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,5.0,5,5.0,7.0,71.42,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Shivil Kaushik,7.0,2.0,1.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Murugan Ashwin,10.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0,1.0,0.0,1.0,1,1.0,2.0,50.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,3.0,1*,3.0,5.0,60.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,4.0,4,4.0,4.0,100.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,15.0,9,7.5,24.0,62.5,0.0,0.0,1.0,0.0,8.0,5.0,2.0,12.0,6,4,14.0,85.71,0.0,0.0,1.0,1.0
136,Rahul Tripathi,,,,,,,,,,,,,14.0,14.0,0.0,391.0,93,27.92,267.0,146.44,0.0,2.0,43.0,17.0,12.0,12.0,3.0,226.0,80*,25.11,167.0,135.32,0.0,1.0,18.0,8.0,8.0,7.0,1.0,141.0,50,23.5,118.0,119.49,0.0,1.0,13.0,2.0,11.0,11.0,1.0,230.0,81,23.0,181.0,127.07,0.0,1.0,21.0,10.0,17.0,16.0,2.0,397.0,74*,28.35,283.0,140.28,0.0,2.0,41.0,11.0,14.0,14.0,3.0,413.0,76,37.55,261.0,158.23,0.0,3.0,40.0,20.0
137,Manoj Tiwary,,,,,,,,,,,,,15.0,13.0,3.0,324.0,60,32.4,236.0,137.28,0.0,2.0,31.0,11.0,5.0,4.0,1.0,47.0,35,15.66,44.0,106.81,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Ben Stokes,,,,,,,,,,,,,12.0,11.0,1.0,316.0,103*,31.6,221.0,142.98,1.0,1.0,22.0,15.0,13.0,13.0,1.0,196.0,45,16.33,161.0,121.73,0.0,0.0,13.0,6.0,9.0,9.0,3.0,123.0,46,20.5,99.0,124.24,0.0,0.0,8.0,4.0,8.0,8.0,1.0,285.0,107*,40.71,200.0,142.5,1.0,1.0,36.0,7.0,1.0,1.0,0.0,0.0,0*,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
139,Mandeep Singh,,,,,,,,,,,,,11.0,10.0,0.0,188.0,52,18.8,177.0,106.21,0.0,1.0,21.0,4.0,14.0,13.0,3.0,252.0,47*,25.2,186.0,135.48,0.0,0.0,16.0,11.0,13.0,12.0,8.0,165.0,33*,41.25,120.0,137.5,0.0,0.0,10.0,4.0,7.0,7.0,1.0,130.0,66*,21.66,109.0,119.26,0.0,1.0,10.0,4.0,1.0,1.0,0.0,15.0,15,15.0,14.0,107.14,0.0,0.0,2.0,0.0,3.0,3.0,0.0,18.0,18,6,23.0,78.26,0.0,0.0,4.0,0.0
140,Corey Anderson,,,,,,,,,,,,,11.0,11.0,4.0,142.0,41*,20.28,123.0,115.44,0.0,0.0,8.0,9.0,3.0,3.0,0.0,17.0,15,5.66,22.0,77.27,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Colin de Grandhomme,,,,,,,,,,,,,12.0,9.0,1.0,126.0,36,15.75,92.0,136.95,0.0,0.0,10.0,6.0,9.0,8.0,3.0,131.0,40,26.2,84.0,155.95,0.0,0.0,4.0,10.0,4.0,4.0,1.0,46.0,37,15.33,49.0,93.87,0.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Vijay Shankar,,,,,,,,,,,,,4.0,4.0,2.0,101.0,63*,50.5,75.0,134.66,0.0,1.0,12.0,1.0,13.0,11.0,7.0,212.0,54*,53.0,148.0,143.24,0.0,1.0,11.0,11.0,15.0,14.0,2.0,244.0,40*,20.33,193.0,126.42,0.0,0.0,11.0,12.0,7.0,5.0,1.0,97.0,52*,24.25,96.0,101.04,0.0,1.0,10.0,1.0,7.0,5.0,0.0,58.0,28,11.6,52.0,111.53,0.0,0.0,1.0,3.0,4.0,4.0,0.0,19.0,13,4.75,35.0,54.28,0.0,0.0,1.0,0.0
143,Dan Christian,,,,,,,,,,,,,13.0,9.0,4.0,79.0,17*,15.8,49.0,161.22,0.0,0.0,5.0,5.0,4.0,3.0,1.0,26.0,13,13.0,33.0,78.78,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,1.0,14.0,9,2.33,24.0,58.33,0.0,0.0,1.0,0.0,,,,,,,,,,,,
144,Pat Cummins,,,,,,,,,,,,,12.0,9.0,4.0,77.0,24,15.4,53.0,145.28,0.0,0.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,11.0,4.0,146.0,53*,20.85,114.0,128.07,0.0,1.0,9.0,8.0,7.0,5.0,2.0,93.0,66*,31.0,56.0,166.07,0.0,1.0,5.0,8.0,5.0,5.0,1.0,63.0,56*,15.75,24.0,262.5,0.0,1.0,5.0,6.0
145,Jason Roy,,,,,,,,,,,,,3.0,3.0,1.0,59.0,31,29.5,40.0,147.5,0.0,0.0,9.0,1.0,5.0,5.0,1.0,120.0,91*,30.0,94.0,127.65,0.0,1.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,150.0,60,30.0,121.0,123.96,0.0,1.0,21.0,1.0,,,,,,,,,,,,
146,Kagiso Rabada,,,,,,,,,,,,,6.0,3.0,0.0,55.0,44,18.33,64.0,85.93,0.0,0.0,5.0,1.0,,,,,,,,,,,,,12.0,4.0,1.0,14.0,9,4.66,15.0,93.33,0.0,0.0,0.0,1.0,17.0,8.0,4.0,56.0,15*,14.0,49.0,114.28,0.0,0.0,4.0,2.0,15.0,3.0,2.0,13.0,9*,13.0,6.0,216.66,0.0,0.0,2.0,0.0,13.0,8.0,3.0,48.0,25,9.6,43.0,111.62,0.0,0.0,5.0,2.0
147,Andrew Tye,,,,,,,,,,,,,6.0,3.0,1.0,53.0,25,26.5,30.0,176.66,0.0,0.0,4.0,3.0,14.0,8.0,2.0,32.0,14,5.33,38.0,84.21,0.0,0.0,2.0,1.0,6.0,1.0,1.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6,6.0,6.0,100.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
148,Chris Woakes,,,,,,,,,,,,,13.0,7.0,3.0,46.0,18,11.5,47.0,97.87,0.0,0.0,4.0,1.0,5.0,4.0,2.0,17.0,11,8.5,19.0,89.47,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,15.0,15*,0.0,11.0,136.36,0.0,0.0,2.0,0.0,,,,,,,,,,,,
149,Sheldon Jackson,,,,,,,,,,,,,4.0,3.0,1.0,38.0,16,19.0,31.0,122.58,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,23.0,8,5.75,26.0,88.46,0.0,0.0,0.0,1.0
150,Ishank Jaggi,,,,,,,,,,,,,2.0,2.0,1.0,33.0,28,33.0,39.0,84.61,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Angelo Mathews,,,,,,,,,,,,,3.0,2.0,0.0,32.0,31,16.0,27.0,118.51,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Sreenath Aravind,,,,,,,,,,,,,10.0,8.0,4.0,32.0,9,8.0,40.0,80.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Marlon Samuels,,,,,,,,,,,,,5.0,4.0,0.0,29.0,27,7.25,31.0,93.54,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Basil Thampi,,,,,,,,,,,,,12.0,5.0,5.0,28.0,13*,0.0,28.0,100.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,3.0,3,3.0,6.0,50.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Aniket Choudhary,,,,,,,,,,,,,5.0,3.0,2.0,25.0,15*,25.0,20.0,125.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Kuldeep Yadav,,,,,,,,,,,,,12.0,2.0,0.0,20.0,16,10.0,22.0,90.9,0.0,0.0,2.0,0.0,16.0,3.0,2.0,12.0,7*,12.0,24.0,50.0,0.0,0.0,1.0,0.0,9.0,4.0,2.0,12.0,10*,6.0,8.0,150.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,13.0,12,13.0,21.0,61.9,0.0,0.0,1.0,0.0,,,,,,,,,,,,,14.0,7.0,6.0,48.0,16*,48,52.0,92.3,0.0,0.0,3.0,2.0
157,Rahul Tewatia,,,,,,,,,,,,,3.0,2.0,1.0,19.0,15*,19.0,11.0,172.72,0.0,0.0,4.0,0.0,8.0,5.0,2.0,50.0,24,16.66,43.0,116.27,0.0,0.0,5.0,1.0,5.0,4.0,3.0,26.0,11*,26.0,22.0,118.18,0.0,0.0,2.0,1.0,14.0,11.0,5.0,255.0,53,42.5,183.0,139.34,0.0,1.0,13.0,17.0,14.0,11.0,1.0,155.0,44,15.5,147.0,105.44,0.0,0.0,11.0,6.0,16.0,12.0,5.0,217.0,43*,31,147.0,147.61,0.0,0.0,22.0,9.0
158,Vishnu Vinod,,,,,,,,,,,,,3.0,3.0,0.0,19.0,9,6.33,26.0,73.07,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Anureet Singh,,,,,,,,,,,,,1.0,1.0,0.0,15.0,15,15.0,12.0,125.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,3*,0.0,4.0,75.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Deepak Chahar,,,,,,,,,,,,,3.0,1.0,0.0,14.0,14,14.0,6.0,233.33,0.0,0.0,0.0,2.0,12.0,4.0,1.0,50.0,39,16.66,29.0,172.41,0.0,0.0,1.0,4.0,17.0,2.0,0.0,7.0,7,3.5,9.0,77.77,0.0,0.0,1.0,0.0,14.0,3.0,2.0,7.0,5*,7.0,12.0,58.33,0.0,0.0,0.0,0.0,15.0,2.0,2.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
161,Samuel Badree,,,,,,,,,,,,,7.0,5.0,0.0,13.0,8,2.6,23.0,56.52,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Yuzvendra Chahal,,,,,,,,,,,,,13.0,6.0,3.0,13.0,4*,4.33,26.0,50.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0*,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,1.0,6.0,4,3.0,16.0,37.5,0.0,0.0,0.0,0.0,15.0,2.0,1.0,1.0,1,1.0,3.0,33.33,0.0,0.0,0.0,0.0,15.0,2.0,2.0,10.0,8*,0.0,27.0,37.03,0.0,0.0,0.0,0.0,17.0,2.0,1.0,5.0,5,5,8.0,62.5,0.0,0.0,0.0,0.0
163,Ankit Bawne,,,,,,,,,,,,,1.0,1.0,1.0,12.0,12*,0.0,12.0,100.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Rashid Khan,,,,,,,,,,,,,14.0,3.0,1.0,11.0,6*,5.5,9.0,122.22,0.0,0.0,0.0,1.0,17.0,7.0,2.0,59.0,34*,11.8,31.0,190.32,0.0,0.0,3.0,6.0,15.0,8.0,3.0,34.0,17*,6.8,23.0,147.82,0.0,0.0,2.0,2.0,16.0,7.0,3.0,35.0,14,8.75,30.0,116.66,0.0,0.0,3.0,2.0,14.0,10.0,2.0,83.0,22,10.37,69.0,120.28,0.0,0.0,9.0,2.0,16.0,8.0,4.0,91.0,40,22.75,44.0,206.81,0.0,0.0,3.0,9.0
165,Washington Sundar,,,,,,,,,,,,,11.0,5.0,4.0,9.0,5*,9.0,12.0,75.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,65.0,35,21.66,38.0,171.05,0.0,0.0,5.0,4.0,3.0,2.0,0.0,1.0,1,0.5,3.0,33.33,0.0,0.0,0.0,0.0,15.0,9.0,3.0,111.0,30,18.5,95.0,116.84,0.0,0.0,10.0,2.0,6.0,4.0,0.0,31.0,10,7.75,47.0,65.95,0.0,0.0,2.0,0.0,9.0,7.0,0.0,101.0,40,14.43,69.0,146.37,0.0,0.0,9.0,3.0
166,Tymal Mills,,,,,,,,,,,,,5.0,3.0,0.0,8.0,6,2.66,11.0,72.72,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Ishant Sharma,,,,,,,,,,,,,6.0,3.0,1.0,8.0,5*,4.0,12.0,66.66,0.0,0.0,1.0,0.0,,,,,,,,,,,,,13.0,3.0,3.0,10.0,10*,0.0,3.0,333.33,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Ashok Dinda,,,,,,,,,,,,,3.0,1.0,0.0,7.0,7,7.0,7.0,100.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Adam Milne,,,,,,,,,,,,,4.0,3.0,1.0,7.0,5,3.5,12.0,58.33,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,16.0,15,8.0,17.0,94.11,0.0,0.0,0.0,1.0,,,,,,,,,,,,
170,Ankit Soni,,,,,,,,,,,,,7.0,3.0,1.0,7.0,7*,3.5,9.0,77.77,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Lasith Malinga,,,,,,,,,,,,,12.0,2.0,2.0,7.0,7*,0.0,3.0,233.33,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Darren Bravo,,,,,,,,,,,,,1.0,1.0,1.0,6.0,6*,0.0,5.0,120.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Trent Boult,,,,,,,,,,,,,6.0,1.0,1.0,5.0,5*,0.0,8.0,62.5,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,7.0,6,7.0,4.0,175.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,1.0,1*,0.0,4.0,25.0,0.0,0.0,0.0,0.0,16.0,8.0,6.0,40.0,17*,20,29.0,137.93,0.0,0.0,2.0,1.0
174,Ankit Rajpoot,,,,,,,,,,,,,5.0,1.0,0.0,4.0,4,4.0,7.0,57.14,0.0,0.0,1.0,0.0,8.0,3.0,0.0,11.0,8,3.66,18.0,61.11,0.0,0.0,1.0,0.0,,,,,,,,,,,,,6.0,2.0,1.0,9.0,7*,9.0,10.0,90.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
175,Varun Aaron,,,,,,,,,,,,,6.0,2.0,1.0,4.0,4,4.0,10.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5.0,1.0,1.0,3.0,3*,0.0,7.0,42.85,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1,1.0,10.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
176,Rahul Chahar,,,,,,,,,,,,,3.0,1.0,1.0,3.0,3*,0.0,2.0,150.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,13.0,4.0,2.0,12.0,10,6.0,11.0,109.09,0.0,0.0,2.0,0.0,15.0,1.0,1.0,2.0,2*,0.0,4.0,50.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,14.0,8,2.8,15.0,93.33,0.0,0.0,1.0,0.0,13.0,8.0,2.0,77.0,25*,12.83,68.0,113.23,0.0,0.0,7.0,4.0
177,Mohammad Nabi,,,,,,,,,,,,,3.0,1.0,0.0,2.0,2,2.0,3.0,66.66,0.0,0.0,0.0,0.0,2.0,2.0,0.0,18.0,14,9.0,12.0,150.0,0.0,0.0,3.0,0.0,8.0,7.0,1.0,115.0,31,19.16,76.0,151.31,0.0,0.0,8.0,7.0,1.0,1.0,1.0,11.0,11*,0.0,8.0,137.5,0.0,0.0,2.0,0.0,3.0,3.0,0.0,34.0,17,11.33,20.0,170.0,0.0,0.0,3.0,2.0,,,,,,,,,,,,
178,Pradeep Sangwan,,,,,,,,,,,,,5.0,3.0,1.0,2.0,1*,1.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0*,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,2.0,2,2,5.0,40.0,0.0,0.0,0.0,0.0
179,Jaydev Unadkat,,,,,,,,,,,,,12.0,2.0,2.0,2.0,2*,0.0,5.0,40.0,0.0,0.0,0.0,0.0,15.0,7.0,3.0,49.0,26,12.25,38.0,128.94,0.0,0.0,6.0,1.0,11.0,4.0,3.0,1.0,1,1.0,3.0,33.33,0.0,0.0,0.0,0.0,7.0,1.0,0.0,9.0,9,9.0,13.0,69.23,0.0,0.0,0.0,0.0,6.0,3.0,1.0,41.0,24,20.5,29.0,141.37,0.0,0.0,3.0,2.0,5.0,5.0,2.0,59.0,19*,19.67,37.0,159.45,0.0,0.0,4.0,3.0
180,Lockie Ferguson,,,,,,,,,,,,,4.0,1.0,1.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,2.0,43.0,24*,0.0,29.0,148.27,0.0,0.0,4.0,1.0,8.0,3.0,3.0,18.0,18*,0.0,11.0,163.63,0.0,0.0,1.0,1.0,13.0,3.0,1.0,5.0,5,2.5,4.0,125.0,0.0,0.0,1.0,0.0
181,Munaf Patel,,,,,,,,,,,,,2.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Siddarth Kaul,,,,,,,,,,,,,10.0,1.0,1.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,1.0,3.0,2,1.0,14.0,21.42,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8.0,2.0,2.0,8.0,7*,0.0,8.0,100.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
183,Shardul Thakur,,,,,,,,,,,,,12.0,3.0,0.0,0.0,0*,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,15.0,15*,0.0,5.0,300.0,0.0,0.0,3.0,0.0,10.0,3.0,1.0,14.0,12*,7.0,7.0,200.0,0.0,0.0,1.0,1.0,9.0,2.0,1.0,12.0,11,12.0,21.0,57.14,0.0,0.0,0.0,0.0,16.0,4.0,2.0,5.0,3*,2.5,5.0,100.0,0.0,0.0,0.0,0.0,14.0,10.0,2.0,120.0,29*,15,87.0,137.93,0.0,0.0,7.0,7.0
184,Evin Lewis,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,0.0,382.0,65,29.38,276.0,138.4,0.0,2.0,32.0,24.0,3.0,3.0,0.0,48.0,32,16.0,52.0,92.3,0.0,0.0,4.0,2.0,,,,,,,,,,,,,5.0,5.0,0.0,151.0,58,30.2,93.0,162.36,0.0,1.0,18.0,7.0,6.0,5.0,2.0,73.0,55*,24.33,56.0,130.35,0.0,1.0,8.0,3.0
185,Prithvi Shaw,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,245.0,65,27.22,160.0,153.12,0.0,2.0,27.0,10.0,16.0,16.0,0.0,353.0,99,22.06,264.0,133.71,0.0,2.0,45.0,9.0,13.0,13.0,0.0,228.0,66,17.53,167.0,136.52,0.0,2.0,27.0,8.0,15.0,15.0,0.0,479.0,82,31.93,301.0,159.13,0.0,4.0,56.0,18.0,10.0,10.0,0.0,283.0,61,28.3,185.0,152.97,0.0,2.0,37.0,10.0
186,Shubman Gill,,,,,,,,,,,,,,,,,,,,,,,,,13.0,11.0,5.0,203.0,57*,33.83,139.0,146.04,0.0,1.0,22.0,5.0,14.0,13.0,4.0,296.0,76,32.88,238.0,124.36,0.0,3.0,21.0,10.0,14.0,14.0,1.0,440.0,70*,33.84,373.0,117.96,0.0,3.0,44.0,9.0,17.0,17.0,0.0,478.0,57,28.11,402.0,118.9,0.0,3.0,50.0,12.0,16.0,16.0,2.0,483.0,96,34.5,365.0,132.32,0.0,4.0,51.0,11.0
187,Alex Hales,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,148.0,45,24.66,118.0,125.42,0.0,0.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
