,Player,Mat_2016,Inns_2016,NO_2016,Runs_2016,HS_2016,Avg_2016,BF_2016,SR_2016,100_2016,50_2016,4s_2016,6s_2016,Mat_2017,Inns_2017,NO_2017,Runs_2017,HS_2017,Avg_2017,BF_2017,SR_2017,100_2017,50_2017,4s_2017,6s_2017,Mat_2018,Inns_2018,NO_2018,Runs_2018,HS_2018,Avg_2018,BF_2018,SR_2018,100_2018,50_2018,4s_2018,6s_2018,Mat_2019,Inns_2019,NO_2019,Runs_2019,HS_2019,Avg_2019,BF_2019,SR_2019,100_2019,50_2019,4s_2019,6s_2019,Mat_2020,Inns_2020,NO_2020,Runs_2020,HS_2020,Avg_2020,BF_2020,SR_2020,100_2020,50_2020,4s_2020,6s_2020,Mat_2021,Inns_2021,NO_2021,Runs_2021,HS_2021,Avg_2021,BF_2021,SR_2021,100_2021,50_2021,4s_2021,6s_2021,Mat_2022,Inns_2022,NO_2022,Runs_2022,HS_2022,Avg_2022,BF_2022,SR_2022,100_2022,50_2022,4s_2022,6s_2022
188,Krishnappa Gowtham,,,,,,,,,,,,,,,,,,,,,,,,,15.0,13.0,4.0,126.0,33*,14.0,64.0,196.87,0.0,0.0,9.0,9.0,7.0,4.0,1.0,18.0,9,6.0,19.0,94.73,0.0,0.0,1.0,1.0,2.0,2.0,1.0,42.0,22*,42.0,27.0,155.55,0.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
189,D'Arcy Short,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,115.0,44,16.42,99.0,116.16,0.0,0.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Moeen Ali,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,0.0,77.0,65,19.25,46.0,167.39,0.0,1.0,4.0,6.0,11.0,10.0,2.0,220.0,66,27.5,133.0,165.41,0.0,2.0,16.0,17.0,3.0,3.0,0.0,12.0,11,4.0,16.0,75.0,0.0,0.0,1.0,0.0,15.0,15.0,1.0,357.0,58,25.5,260.0,137.3,0.0,1.0,31.0,19.0,10.0,10.0,0.0,244.0,93,24.4,177.0,137.85,0.0,1.0,24.0,11.0
191,Abhishek Sharma,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,63.0,46*,63.0,33.0,190.9,0.0,0.0,3.0,5.0,3.0,3.0,1.0,9.0,5*,4.5,9.0,100.0,0.0,0.0,1.0,0.0,8.0,7.0,2.0,71.0,31,14.2,56.0,126.78,0.0,0.0,6.0,3.0,8.0,7.0,1.0,98.0,33,16.33,75.0,130.66,0.0,0.0,7.0,4.0,14.0,14.0,0.0,426.0,75,30.43,320.0,133.12,0.0,2.0,47.0,13.0
192,Harshal Patel,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,60.0,36*,60.0,33.0,181.81,0.0,0.0,1.0,6.0,2.0,2.0,1.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,21.0,16,10.5,24.0,87.5,0.0,0.0,2.0,0.0,15.0,8.0,4.0,59.0,31,14.75,46.0,128.26,0.0,0.0,6.0,2.0,15.0,8.0,3.0,43.0,11,8.6,39.0,110.25,0.0,0.0,4.0,2.0
193,Heinrich Klaasen,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,57.0,32,19.0,47.0,121.27,0.0,0.0,5.0,1.0,3.0,2.0,0.0,9.0,6,4.5,10.0,90.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Shreevats Goswami,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,52.0,35,17.33,40.0,130.0,0.0,0.0,6.0,1.0,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0*,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
195,Rinku Singh,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,29.0,16,7.25,31.0,93.54,0.0,0.0,4.0,0.0,5.0,3.0,1.0,37.0,30,18.5,34.0,108.82,0.0,0.0,1.0,2.0,1.0,1.0,0.0,11.0,11,11.0,11.0,100.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,7.0,7.0,2.0,174.0,42*,34.8,117.0,148.71,0.0,0.0,17.0,7.0
196,Mohammed Siraj,,,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,2.0,25.0,14,12.5,22.0,113.63,0.0,0.0,2.0,1.0,9.0,4.0,3.0,4.0,3*,4.0,14.0,28.57,0.0,0.0,0.0,0.0,9.0,3.0,2.0,17.0,10*,17.0,14.0,121.42,0.0,0.0,2.0,0.0,15.0,4.0,3.0,20.0,12*,20.0,26.0,76.92,0.0,0.0,1.0,1.0,15.0,5.0,3.0,30.0,14*,15,33.0,90.9,0.0,0.0,5.0,0.0
197,Tom Curran,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,1.0,23.0,18,7.66,28.0,82.14,0.0,0.0,3.0,0.0,,,,,,,,,,,,,5.0,4.0,3.0,83.0,54*,83.0,62.0,133.87,0.0,1.0,5.0,3.0,3.0,2.0,1.0,21.0,21,21.0,17.0,123.52,0.0,0.0,2.0,0.0,,,,,,,,,,,,
198,Mayank Markande,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6.0,4.0,21.0,7*,10.5,24.0,87.5,0.0,0.0,2.0,0.0,3.0,2.0,1.0,6.0,6,6.0,5.0,120.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Mahipal Lomror,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,20.0,11,20.0,21.0,95.23,0.0,0.0,1.0,0.0,2.0,1.0,0.0,8.0,8,8.0,3.0,266.66,0.0,0.0,2.0,0.0,3.0,3.0,0.0,59.0,47,19.66,54.0,109.25,0.0,0.0,2.0,3.0,4.0,4.0,1.0,94.0,43,31.33,73.0,128.76,0.0,0.0,3.0,6.0,7.0,5.0,0.0,86.0,42,17.2,57.0,150.87,0.0,0.0,7.0,4.0
200,Jofra Archer,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,3.0,15.0,8,3.0,21.0,71.42,0.0,0.0,2.0,0.0,11.0,5.0,3.0,67.0,27*,33.5,40.0,167.5,0.0,0.0,4.0,4.0,14.0,10.0,4.0,113.0,27*,18.83,63.0,179.36,0.0,0.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
201,Shivam Mavi,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,1.0,13.0,7,4.33,15.0,86.66,0.0,0.0,1.0,0.0,,,,,,,,,,,,,8.0,3.0,1.0,10.0,9,5.0,14.0,71.42,0.0,0.0,1.0,0.0,9.0,2.0,0.0,25.0,20,12.5,20.0,125.0,0.0,0.0,2.0,2.0,6.0,3.0,1.0,3.0,2,1.5,7.0,42.85,0.0,0.0,0.0,0.0
202,Mujeeb Ur Rahman,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,1.0,10.0,10*,10.0,7.0,142.85,0.0,0.0,2.0,0.0,5.0,3.0,2.0,0.0,0*,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1,1.0,3.0,33.33,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
203,Dhruv Shorey,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,8.0,8,8.0,9.0,88.88,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5,5.0,8.0,62.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Prashant Chopra,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,8.0,8,8.0,6.0,133.33,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Javon Searles,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,8.0,6*,8.0,6.0,133.33,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Billy Stanlake,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,5.0,5*,0.0,2.0,250.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Akila Dananjaya,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,4.0,4*,0.0,5.0,80.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Mark Wood,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1,1.0,3.0,33.33,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Ish Sodhi,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,1.0,1,1.0,6.0,16.66,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,6,6.0,11.0,54.54,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Ben Laughlin,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,1.0,1.0,1*,1.0,4.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Liam Plunkett,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,1.0,1.0,1*,1.0,3.0,33.33,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Mustafizur Rahman,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,1.0,1.0,1,1.0,3.0,33.33,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,5.0,5.0,8.0,8*,0.0,14.0,57.14,0.0,0.0,0.0,1.0,8.0,1.0,1.0,3.0,3*,-,5.0,60.0,0.0,0.0,0.0,0.0
213,Prasidh Krishna,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,2.0,1.0,1*,0.0,5.0,20.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,2*,0.0,4.0,50.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,2.0,6.0,4*,6,12.0,50.0,0.0,0.0,0.0,0.0
214,Ricky Bhui,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0*,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,7,7.0,12.0,58.33,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Jonny Bairstow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,2.0,445.0,114,55.62,283.0,157.24,1.0,2.0,48.0,18.0,11.0,11.0,0.0,345.0,97,31.36,272.0,126.83,0.0,3.0,31.0,13.0,7.0,7.0,1.0,248.0,63*,41.33,175.0,141.71,0.0,2.0,20.0,15.0,11.0,11.0,0.0,253.0,66,23,175.0,144.57,0.0,2.0,34.0,9.0
216,Colin Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,2.0,184.0,47,18.4,154.0,119.48,0.0,0.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Nicholas Pooran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,0.0,168.0,48,28.0,107.0,157.0,0.0,0.0,10.0,14.0,14.0,14.0,4.0,353.0,77,35.3,208.0,169.71,0.0,2.0,23.0,25.0,12.0,11.0,0.0,85.0,32,7.72,76.0,111.84,0.0,0.0,3.0,5.0,14.0,13.0,5.0,306.0,64*,38.25,212.0,144.33,0.0,2.0,16.0,21.0
218,Riyan Parag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,0.0,160.0,50,32.0,126.0,126.98,0.0,1.0,17.0,5.0,12.0,8.0,1.0,86.0,42*,12.28,77.0,111.68,0.0,0.0,6.0,3.0,11.0,10.0,2.0,93.0,25,11.62,83.0,112.04,0.0,0.0,6.0,4.0,17.0,14.0,3.0,183.0,56*,16.64,132.0,138.63,0.0,1.0,11.0,10.0
219,Sam Curran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,4.0,95.0,55*,23.75,55.0,172.72,0.0,1.0,13.0,3.0,14.0,11.0,3.0,186.0,52,23.25,141.0,131.91,0.0,1.0,12.0,12.0,9.0,4.0,1.0,56.0,34,18.66,29.0,193.1,0.0,0.0,5.0,3.0,,,,,,,,,,,,
220,Shimron Hetmyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,90.0,75,18.0,73.0,123.28,0.0,1.0,4.0,7.0,12.0,11.0,3.0,185.0,45,23.12,125.0,148.0,0.0,0.0,11.0,12.0,14.0,13.0,6.0,242.0,53*,34.57,144.0,168.05,0.0,1.0,19.0,12.0,15.0,15.0,8.0,314.0,59*,44.86,204.0,153.92,0.0,1.0,21.0,21.0
221,Sherfane Rutherford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,2.0,73.0,28*,14.6,54.0,135.18,0.0,0.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,33.0,28,16.5,50.0,66.0,0.0,0.0,1.0,1.0
222,Liam Livingstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,71.0,44,23.66,48.0,147.91,0.0,0.0,6.0,5.0,,,,,,,,,,,,,5.0,5.0,0.0,42.0,25,8.4,41.0,102.43,0.0,0.0,3.0,1.0,14.0,14.0,2.0,437.0,70,36.42,240.0,182.08,0.0,4.0,29.0,34.0
223,Shivam Dube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,40.0,24,13.33,33.0,121.21,0.0,0.0,1.0,3.0,11.0,9.0,2.0,129.0,27*,18.42,105.0,122.85,0.0,0.0,5.0,9.0,9.0,9.0,1.0,230.0,64*,28.75,193.0,119.17,0.0,1.0,18.0,10.0,11.0,11.0,1.0,289.0,95*,28.9,185.0,156.21,0.0,2.0,22.0,16.0
224,Mitchell Santner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,32.0,22,32.0,23.0,139.13,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,2.0,22.0,11,11,27.0,81.48,0.0,0.0,3.0,0.0
225,Harpreet Brar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,20.0,20*,0.0,12.0,166.66,0.0,0.0,2.0,1.0,,,,,,,,,,,,,7.0,5.0,5.0,64.0,25*,0.0,58.0,110.34,0.0,0.0,3.0,2.0,5.0,3.0,0.0,22.0,14,7.33,25.0,88.0,0.0,0.0,1.0,2.0
226,Prayas Ray Barman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,19.0,19,19.0,24.0,79.16,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Keemo Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,1.0,18.0,7,3.6,24.0,75.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Prabhsimran Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,16.0,16,16.0,17.0,94.11,0.0,0.0,1.0,1.0,2.0,2.0,0.0,15.0,11,7.5,15.0,100.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,19.0,12,9.5,23.0,82.6,0.0,0.0,1.0,1.0,,,,,,,,,,,,
229,Siddhesh Lad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,15.0,15,15.0,13.0,115.38,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Alzarri Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,15.0,15*,0.0,13.0,115.38,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,2.0,5.0,4*,5,7.0,71.42,0.0,0.0,0.0,0.0
231,Jagadeesha Suchith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,6.0,6,6.0,15.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0,1.0,1.0,14.0,14*,0.0,6.0,233.33,0.0,0.0,2.0,1.0,5.0,2.0,0.0,2.0,2,1,8.0,25.0,0.0,0.0,0.0,0.0
232,Rasikh Salam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,5.0,5*,0.0,4.0,125.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,7.0,7,7,6.0,116.66,0.0,0.0,1.0,0.0
233,Avesh Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,4.0,4*,0.0,3.0,133.33,0.0,0.0,1.0,0.0,,,,,,,,,,,,,16.0,1.0,1.0,5.0,5*,0.0,3.0,166.66,0.0,0.0,1.0,0.0,13.0,4.0,3.0,22.0,12,22,13.0,169.23,0.0,0.0,0.0,3.0
234,Hanuma Vihari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,4.0,2,2.0,8.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Ashton Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,3.0,3*,1.0,10.0,30.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Hardus Viljoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,1.0,3.0,2*,1.5,7.0,42.85,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Navdeep Saini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,1.0,2.0,2,2.0,4.0,50.0,0.0,0.0,0.0,0.0,13.0,3.0,2.0,27.0,12*,27.0,27.0,100.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,2,2.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2,2,2.0,100.0,0.0,0.0,0.0,0.0
238,Harry Gurney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,1.0,1.0,1*,0.0,5.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Joe Denly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Prithvi Raj Yarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Sandeep Lamichhane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Khaleel Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1,1.0,2.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
243,Devdutt Padikkal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,473.0,74,31.53,379.0,124.8,0.0,5.0,51.0,8.0,14.0,14.0,1.0,411.0,101*,31.61,328.0,125.3,1.0,1.0,44.0,14.0,17.0,17.0,0.0,376.0,54,22.12,306.0,122.87,0.0,1.0,40.0,14.0
244,Ruturaj Gaikwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,2.0,204.0,72,51.0,169.0,120.71,0.0,3.0,16.0,6.0,16.0,16.0,2.0,635.0,101*,45.35,466.0,136.26,1.0,4.0,64.0,23.0,14.0,14.0,0.0,368.0,99,26.29,291.0,126.46,0.0,3.0,33.0,14.0
245,Priyam Garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,10.0,1.0,133.0,51*,14.77,111.0,119.81,0.0,1.0,9.0,4.0,5.0,5.0,0.0,72.0,29,14.4,74.0,97.29,0.0,0.0,2.0,3.0,2.0,2.0,0.0,46.0,42,23,33.0,139.39,0.0,0.0,4.0,2.0
246,Abdul Samad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,3.0,111.0,33,22.2,65.0,170.76,0.0,0.0,8.0,6.0,11.0,10.0,1.0,111.0,28,12.33,87.0,127.58,0.0,0.0,4.0,8.0,2.0,2.0,0.0,4.0,4,2,7.0,57.14,0.0,0.0,0.0,0.0
247,Josh Philippe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,78.0,33,19.5,77.0,101.29,0.0,0.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
248,Yashasvi Jaiswal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,40.0,34,13.33,44.0,90.9,0.0,0.0,2.0,2.0,10.0,10.0,0.0,249.0,50,24.9,168.0,148.21,0.0,1.0,32.0,10.0,10.0,10.0,0.0,258.0,68,25.8,194.0,132.98,0.0,2.0,28.0,10.0
249,Narayan Jagadeesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,0.0,33.0,33,16.5,29.0,113.79,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
250,Alex Carey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,32.0,14*,16.0,29.0,110.34,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
251,Kamlesh Nagarkoti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,3.0,22.0,8*,7.33,31.0,70.96,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
