,Player,Mat_2016,Inns_2016,NO_2016,Runs_2016,HS_2016,Avg_2016,BF_2016,SR_2016,100_2016,50_2016,4s_2016,6s_2016,Mat_2017,Inns_2017,NO_2017,Runs_2017,HS_2017,Avg_2017,BF_2017,SR_2017,100_2017,50_2017,4s_2017,6s_2017,Mat_2018,Inns_2018,NO_2018,Runs_2018,HS_2018,Avg_2018,BF_2018,SR_2018,100_2018,50_2018,4s_2018,6s_2018,Mat_2019,Inns_2019,NO_2019,Runs_2019,HS_2019,Avg_2019,BF_2019,SR_2019,100_2019,50_2019,4s_2019,6s_2019,Mat_2020,Inns_2020,NO_2020,Runs_2020,HS_2020,Avg_2020,BF_2020,SR_2020,100_2020,50_2020,4s_2020,6s_2020,Mat_2021,Inns_2021,NO_2021,Runs_2021,HS_2021,Avg_2021,BF_2021,SR_2021,100_2021,50_2021,4s_2021,6s_2021,Mat_2022,Inns_2022,NO_2022,Runs_2022,HS_2022,Avg_2022,BF_2022,SR_2022,100_2022,50_2022,4s_2022,6s_2022
252,Tushar Deshpande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,21.0,20*,21.0,12.0,175.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
253,Jimmy Neesham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,1.0,19.0,10*,9.5,18.0,105.55,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
254,Tom Banton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,18.0,10,9.0,20.0,90.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
255,Isuru Udana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.0,1.0,15.0,10*,5.0,11.0,136.36,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
256,James Pattinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,1.0,15.0,11,15.0,13.0,115.38,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
257,Varun Chakaravarthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.0,1.0,10.0,7*,5.0,15.0,66.66,0.0,0.0,0.0,0.0,17.0,3.0,2.0,2.0,2*,2.0,4.0,50.0,0.0,0.0,0.0,0.0,11.0,4.0,4.0,12.0,10*,-,18.0,66.66,0.0,0.0,2.0,0.0
258,Pravin Dubey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,7.0,7*,0.0,13.0,53.84,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
259,Ravi Bishnoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,3.0,2.0,7.0,6*,7.0,12.0,58.33,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,1,1.0,4.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
260,Anrich Nortje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,5.0,4.0,7.0,3*,7.0,6.0,116.66,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6.0,1.0,1.0,1.0,1*,-,6.0,16.66,0.0,0.0,0.0,0.0
261,Kartik Tyagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,2.0,4.0,2*,4.0,6.0,66.66,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1*,2.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,7,3.5,6.0,116.66,0.0,0.0,1.0,0.0
262,T Natarajan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,3.0,3.0,3*,0.0,5.0,60.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
263,Shahbaz Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,59.0,14,8.42,53.0,111.32,0.0,0.0,4.0,2.0,16.0,11.0,3.0,219.0,45,27.38,181.0,120.99,0.0,0.0,14.0,9.0
264,Daniel Sams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,3*,6.0,6.0,100.0,0.0,0.0,0.0,0.0,11.0,10.0,3.0,38.0,15,5.43,36.0,105.55,0.0,0.0,1.0,3.0
265,Sheldon Cottrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
266,Arshdeep Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.0,0.0,0*,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,2.0,1*,0.0,3.0,66.66,0.0,0.0,0.0,0.0,14.0,6.0,3.0,21.0,10*,7,29.0,72.41,0.0,0.0,3.0,0.0
267,Venkatesh Iyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,1.0,370.0,67,41.11,288.0,128.47,0.0,4.0,37.0,14.0,12.0,12.0,1.0,182.0,50*,16.55,169.0,107.69,0.0,1.0,17.0,7.0
268,K.S Bharat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,2.0,191.0,78*,38.2,156.0,122.43,0.0,1.0,10.0,8.0,,,,,,,,,,,,
269,Shahrukh Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,10.0,3.0,153.0,47,21.85,114.0,134.21,0.0,0.0,9.0,10.0,8.0,8.0,1.0,117.0,26,16.71,108.0,108.33,0.0,0.0,4.0,9.0
270,Aiden Markram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,1.0,146.0,42,29.2,119.0,122.68,0.0,0.0,12.0,4.0,14.0,12.0,4.0,381.0,68*,47.63,274.0,139.05,0.0,3.0,25.0,19.0
271,Rajat Patidar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,71.0,31,17.75,62.0,114.51,0.0,0.0,3.0,3.0,8.0,7.0,1.0,333.0,112*,55.5,218.0,152.75,1.0,2.0,27.0,18.0
272,Lalit Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,3.0,68.0,22*,34.0,73.0,93.15,0.0,0.0,7.0,0.0,12.0,8.0,1.0,161.0,48*,23,146.0,110.27,0.0,0.0,11.0,7.0
273,Kyle Jamieson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,3.0,65.0,16*,16.25,55.0,118.18,0.0,0.0,5.0,3.0,,,,,,,,,,,,
274,Dawid Malan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,26.0,26,26.0,26.0,100.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,
275,Glenn Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,26.0,14*,13.0,33.0,78.78,0.0,0.0,1.0,2.0,,,,,,,,,,,,
276,Ripal Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,25.0,18,25.0,27.0,92.59,0.0,0.0,3.0,0.0,2.0,1.0,0.0,6.0,6,6,3.0,200.0,0.0,0.0,0.0,1.0
277,Nathan Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,18.0,12,18.0,16.0,112.5,0.0,0.0,0.0,1.0,,,,,,,,,,,,
278,Anmolpreet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,16.0,16,16.0,14.0,114.28,0.0,0.0,2.0,1.0,2.0,2.0,0.0,13.0,8,6.5,13.0,100.0,0.0,0.0,1.0,0.0
279,Chetan Sakariya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6.0,1.0,16.0,7,3.2,25.0,64.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,
280,Jhye Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,15.0,15,7.5,24.0,62.5,0.0,0.0,2.0,0.0,,,,,,,,,,,,
281,Virat Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,15.0,11,7.5,26.0,57.69,0.0,0.0,1.0,0.0,,,,,,,,,,,,
282,Fabian Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,6.0,6,6.0,12.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,8,8,7.0,114.28,0.0,0.0,1.0,0.0
283,Tabraiz Shamsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2*,0.0,4.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
284,Tim Seifert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,2.0,2,2.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,24.0,21,12,19.0,126.31,0.0,0.0,4.0,0.0
285,George Garton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.0,2.0,2*,2.0,4.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
286,Tim David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1,1.0,3.0,33.33,0.0,0.0,0.0,0.0,8.0,8.0,3.0,186.0,46,37.2,86.0,216.27,0.0,0.0,12.0,16.0
287,Wanindu Hasaranga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1*,1.0,2.0,50.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,38.0,18,5.43,43.0,88.37,0.0,0.0,4.0,1.0
288,Kuldip Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0*,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
289,Anuj Rawat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,129.0,66,16.13,118.0,109.32,0.0,1.0,10.0,7.0
290,Marco Jansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0*,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,9.0,8*,9,7.0,128.57,0.0,0.0,0.0,1.0
291,K L Rahul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,3.0,616.0,103*,51.33,455.0,135.38,2.0,4.0,45.0,30.0
292,Quinton De Kock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,1.0,508.0,140*,36.29,341.0,148.97,1.0,3.0,47.0,23.0
293,Faf Du Plessis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,1.0,468.0,96,31.2,367.0,127.52,0.0,3.0,49.0,13.0
294,Tilak Varma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,3.0,397.0,61,36.09,303.0,131.02,0.0,2.0,29.0,16.0
295,Devon Conway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,1.0,252.0,87,42,173.0,145.66,0.0,3.0,22.0,12.0
296,Rovman Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,12.0,2.0,250.0,67*,25,167.0,149.7,0.0,1.0,10.0,22.0
297,Jitesh Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,10.0,2.0,234.0,44,29.25,143.0,163.63,0.0,0.0,22.0,12.0
298,Bhanuka Rajapaksa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,206.0,43,22.89,129.0,159.68,0.0,0.0,16.0,13.0
299,Dewald Brevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,161.0,49,23,113.0,142.47,0.0,0.0,14.0,11.0
300,Ayush Badoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,11.0,3.0,161.0,54,20.13,130.0,123.84,0.0,1.0,11.0,7.0
301,Matthew Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,157.0,35,15.7,138.0,113.76,0.0,0.0,23.0,2.0
302,Sai Sudharsan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,145.0,65*,36.25,114.0,127.19,0.0,1.0,14.0,3.0
303,Abhinav Manohar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,1.0,108.0,43,18,75.0,144.0,0.0,0.0,14.0,3.0
304,Shashank Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,1.0,69.0,25*,17.25,47.0,146.8,0.0,0.0,5.0,4.0
305,Suyash S Prabhudessai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,67.0,34,13.4,59.0,113.55,0.0,0.0,7.0,2.0
306,Romario Shepherd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,58.0,26*,29,41.0,141.46,0.0,0.0,2.0,5.0
307,Odean Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,3.0,51.0,25*,17,44.0,115.9,0.0,0.0,1.0,5.0
308,Ramandeep Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,45.0,14*,22.5,40.0,112.5,0.0,0.0,3.0,1.0
309,Dwaine Pretorius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,1.0,44.0,22,11,28.0,157.14,0.0,0.0,3.0,3.0
310,Dushmantha Chameera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,4.0,43.0,17,10.75,28.0,153.57,0.0,0.0,3.0,3.0
311,Hrithik Shokeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,1.0,43.0,25,21.5,48.0,89.58,0.0,0.0,5.0,0.0
312,Jagadeesan Narayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,40.0,39*,40,37.0,108.1,0.0,0.0,3.0,1.0
313,Daryl Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,33.0,17,16.5,44.0,75.0,0.0,0.0,1.0,0.0
314,James Neesham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,31.0,17,15.5,27.0,114.81,0.0,0.0,3.0,0.0
315,Mohsin Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,2.0,23.0,13*,23,16.0,143.75,0.0,0.0,2.0,1.0
316,Rassie van der Dussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,22.0,12*,11,24.0,91.66,0.0,0.0,2.0,0.0
317,B Indrajith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,21.0,15,7,30.0,70.0,0.0,0.0,2.0,0.0
318,Josh Hazlewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,5.0,5.0,18.0,7*,-,26.0,69.23,0.0,0.0,1.0,0.0
319,David Willey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,18.0,18,9,30.0,60.0,0.0,0.0,3.0,0.0
320,Simran Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,14.0,14,14,11.0,127.27,0.0,0.0,2.0,0.0
321,Rajangad Bawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,11.0,11,5.5,14.0,78.57,0.0,0.0,1.0,0.0
322,Obed McCoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,0.0,8.0,8,8,5.0,160.0,0.0,0.0,0.0,1.0
323,Srikar Bharat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,8.0,8,4,7.0,114.28,0.0,0.0,2.0,0.0
324,Sean Abbott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,7.0,7,7,5.0,140.0,0.0,0.0,0.0,1.0
325,Maheesh Theekshana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,1.0,7.0,7*,7,7.0,100.0,0.0,0.0,0.0,1.0
326,Simarjeet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,2.0,7.0,3*,7,8.0,87.5,0.0,0.0,0.0,0.0
327,Mukesh Choudhary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,1.0,6.0,4,6,6.0,100.0,0.0,0.0,1.0,0.0
328,Aman Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,5.0,5,5,3.0,166.66,0.0,0.0,1.0,0.0
329,Vaibhav Arora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,5.0,2*,2.5,13.0,38.46,0.0,0.0,0.0,0.0
330,Prerak Mankad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,4.0,4*,-,1.0,400.0,0.0,0.0,1.0,0.0
331,Karan Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,4.0,4,4,4.0,100.0,0.0,0.0,1.0,0.0
332,Abhijeet Tomar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,4.0,4,4,8.0,50.0,0.0,0.0,1.0,0.0
333,Umran Malik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,4.0,3.0,4.0,3*,4,8.0,50.0,0.0,0.0,0.0,0.0
334,Kumar Kartikeya Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,3.0,3,3,5.0,60.0,0.0,0.0,0.0,0.0
335,Harshit Rana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,2,2,2.0,100.0,0.0,0.0,0.0,0.0
336,Tristan Stubbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,2,1,4.0,50.0,0.0,0.0,0.0,0.0
337,Fazalhaq Farooqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,2.0,2*,-,8.0,25.0,0.0,0.0,0.0,0.0
