,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
0,Virat Kohli,16,16,4,973,113.0,,640,152.03,4,7,83,38
1,David Warner,17,17,3,848,93.0,,560,151.42,0,9,88,31
2,AB de Villiers,16,16,3,687,129.0,,407,168.79,1,6,57,37
3,Gautam Gambhir,15,15,2,501,90.0,,411,121.89,0,5,54,6
4,Shikhar Dhawan,17,17,4,501,82.0,,429,116.78,0,4,51,8
5,Rohit Sharma,14,14,3,489,85.0,,368,132.88,0,5,49,16
6,Ajinkya Rahane,14,14,3,480,74.0,,379,126.64,0,6,54,9
7,Murali Vijay,14,14,1,453,89.0,,364,124.45,0,5,50,10
8,Quinton de Kock,13,13,1,445,108.0,,327,136.08,1,3,52,13
9,Suresh Raina,15,15,1,399,75.0,,312,127.88,0,3,39,10
10,KL Rahul,14,12,3,397,68.0,,271,146.49,0,4,37,16
11,Robin Uthappa,15,15,0,394,72.0,,289,136.33,0,3,45,8
12,Aaron Finch,13,12,2,393,74.0,,299,131.43,0,5,45,11
13,Yusuf Pathan,15,13,8,361,63.0,,248,145.56,0,3,33,13
14,Karun Nair,14,12,2,357,83.0,,297,120.2,0,3,40,6
15,Brendon McCullum,16,16,0,354,60.0,,262,135.11,0,1,38,16
16,Dinesh Karthik,16,15,2,335,53.0,,266,125.93,0,3,38,3
17,Ambati Rayudu,13,12,1,334,65.0,,278,120.14,0,2,28,12
18,Dwayne Smith,12,12,1,324,73.0,,221,146.6,0,3,35,16
19,Sanju Samson,14,14,3,291,60.0,,259,112.35,0,1,20,8
20,MS Dhoni,14,12,5,284,64.0,,210,135.23,0,1,18,14
21,Steve Smith,8,7,1,270,101.0,,176,153.4,1,0,27,8
22,Wriddhiman Saha,12,12,1,270,56.0,,212,127.35,0,2,29,1
23,Jos Buttler,14,14,3,255,41.0,,184,138.58,0,0,23,11
24,Manish Pandey,12,11,3,248,52.0,,183,135.51,0,2,17,9
25,Krunal Pandya,12,9,3,237,86.0,,124,191.12,0,1,22,13
26,Yuvraj Singh,10,10,1,236,44.0,,179,131.84,0,0,22,13
27,Chris Gayle,10,10,0,227,76.0,,150,151.33,0,2,17,21
28,Kieron Pollard,13,12,4,207,51.0,,144,143.75,0,1,11,16
29,Faf du Plessis,6,6,0,206,69.0,,162,127.16,0,2,17,9
30,Rishabh Pant,10,10,2,198,69.0,,152,130.26,0,1,19,6
31,Chris Morris,12,7,4,195,82.0,,109,178.89,0,1,15,12
32,JP Duminy,10,8,3,191,49.0,,156,122.43,0,0,13,3
33,Ravindra Jadeja,15,15,6,191,36.0,,178,107.3,0,0,14,4
34,Andre Russell,12,8,1,188,39.0,,114,164.91,0,0,10,15
35,Suryakumar Yadav,15,11,4,182,60.0,,143,127.27,0,1,18,5
36,Moises Henriques,17,15,3,182,31.0,,158,115.18,0,0,15,6
37,Glenn Maxwell,11,11,2,179,68.0,,124,144.35,0,2,14,8
38,Shane Watson,16,15,2,179,36.0,,134,133.58,0,0,14,12
39,Parthiv Patel,10,10,0,177,81.0,,152,116.44,0,1,23,4
40,Saurabh Tiwary,10,7,0,170,57.0,,141,120.56,0,2,17,4
41,Manan Vohra,7,7,0,161,51.0,,131,122.9,0,1,19,3
42,David Miller,14,13,3,161,31.0,,131,122.9,0,0,11,4
43,Shaun Marsh,6,6,1,159,56.0,,134,118.65,0,1,13,4
44,Hashim Amla,6,6,0,157,96.0,,119,131.93,0,1,20,4
45,Thisara Perera,12,10,3,150,34.0,,93,161.29,0,0,7,11
46,Marcus Stoinis,7,5,1,146,52.0,,108,135.18,0,1,13,4
47,Deepak Hooda,17,15,1,144,34.0,,121,119.0,0,0,9,5
48,Naman Ojha,17,13,3,136,37.0,,138,98.55,0,0,7,5
49,Usman Khawaja,6,6,0,127,30.0,,100,127.0,0,0,14,3
50,Kane Williamson,6,6,0,124,50.0,,122,101.63,0,1,14,0
51,Eoin Morgan,7,6,1,123,51.0,,105,117.14,0,1,8,4
52,Sachin Baby,11,6,1,119,33.0,,79,150.63,0,0,9,5
53,Shakib Al Hasan,10,7,2,114,66.0,,106,107.54,0,1,7,5
54,Gurkeerat Mann Singh,7,6,1,113,51.0,,86,131.39,0,1,11,3
55,Axar Patel,14,10,3,111,36.0,,77,144.15,0,0,4,8
56,Nitish Rana,4,3,0,104,70.0,,75,138.66,0,1,7,8
57,Dwayne Bravo,15,13,5,99,22.0,,82,120.73,0,0,11,1
58,Harbhajan Singh,14,7,4,92,45.0,,84,109.52,0,0,11,2
59,Sam Billings,5,4,0,88,54.0,,64,137.5,0,1,4,4
60,George Bailey,6,5,1,84,34.0,,98,85.71,0,0,9,2
61,Carlos Brathwaite,8,6,0,83,34.0,,38,218.42,0,0,6,8
62,James Faulkner,7,5,2,77,32.0,,59,130.5,0,0,7,0
63,Kevin Pietersen,4,4,2,73,37.0,,61,119.67,0,0,4,3
64,Sarfaraz Khan,5,4,2,66,35.0,,31,212.9,0,0,7,4
65,Ben Cutting,4,4,2,65,39.0,,34,191.17,0,0,4,6
66,Stuart Binny,14,6,3,63,21.0,,39,161.53,0,0,5,4
67,Martin Guptill,3,3,0,57,48.0,,55,103.63,0,0,3,3
68,Pawan Negi,8,6,4,57,19.0,,59,96.61,0,0,2,3
69,Travis Head,3,3,1,54,37.0,,40,135.0,0,0,3,2
70,Bipul Sharma,7,4,2,51,27.0,,25,204.0,0,0,1,5
71,Ashish Reddy,4,3,1,47,32.0,,29,162.06,0,0,2,4
72,Hardik Pandya,11,9,2,44,9.0,,63,69.84,0,0,4,0
73,Bhuvneshwar Kumar,17,8,2,43,21.0,,27,159.25,0,0,6,1
74,Kedar Jadhav,4,3,3,42,25.0,,32,131.25,0,0,2,2
75,Ishan Kishan,5,5,0,42,27.0,,41,102.43,0,0,5,0
76,Ravichandran Ashwin,14,6,4,41,29.0,,38,107.89,0,0,3,1
77,Iqbal Abdulla,8,2,2,37,33.0,,27,137.03,0,0,4,1
78,Karn Sharma,5,3,3,36,26.0,,30,120.0,0,0,3,1
79,Rajat Bhatia,10,6,5,34,21.0,,20,170.0,0,0,1,2
80,Mitchell McClenaghan,14,5,2,34,20.0,,23,147.82,0,0,2,3
81,Mohit Sharma,14,6,2,32,15.0,,26,123.07,0,0,3,1
82,Colin Munro,4,3,0,30,16.0,,30,100.0,0,0,3,0
83,Shreyas Iyer,6,6,0,30,19.0,,43,69.76,0,0,2,1
84,Tim Southee,11,4,1,30,25.0,,19,157.89,0,0,1,2
85,Praveen Kumar,16,7,3,28,15.0,,27,103.7,0,0,4,0
86,Mayank Agarwal,3,3,0,27,10.0,,25,108.0,0,0,3,1
87,Piyush Chawla,12,3,0,27,11.0,,26,103.84,0,0,4,0
88,Chris Lynn,2,2,1,25,15.0,,22,113.63,0,0,0,1
89,Eklavya Dwivedi,4,2,0,24,19.0,,14,171.42,0,0,2,2
90,Rajagopal Sathish,4,3,0,24,10.0,,24,100.0,0,0,1,1
91,Nikhil Naik,2,2,0,23,22.0,,31,74.19,0,0,1,0
92,Dhawal Kulkarni,14,5,3,23,6.0,,15,153.33,0,0,2,0
93,Jason Holder,4,4,0,22,13.0,,19,115.78,0,0,2,1
94,Akshdeep Nath,4,3,0,20,12.0,,27,74.07,0,0,1,0
95,Pradeep Sahu,5,2,1,19,18.0,,13,146.15,0,0,1,1
96,Albie Morkel,2,1,0,16,16.0,,9,177.77,0,0,0,2
97,Rishi Dhawan,2,2,2,14,11.0,,6,233.33,0,0,0,1
98,Farhaan Behardien,3,3,1,14,9.0,,13,107.69,0,0,2,0
99,Vinay Kumar,3,2,1,13,12.0,,12,108.33,0,0,0,1
100,KC Cariappa,5,2,1,13,12.0,,11,118.18,0,0,0,1
101,Kyle Abbott,5,3,2,13,12.0,,8,162.5,0,0,0,1
102,Irfan Pathan,4,3,0,11,7.0,,13,84.61,0,0,0,0
103,Parveez Rasool,4,1,0,10,10.0,,9,111.11,0,0,1,0
104,Nathan Coulter-Nile,4,2,2,9,7.0,,14,64.28,0,0,1,0
105,Umesh Yadav,9,2,1,9,7.0,,5,180.0,0,0,0,1
106,Lendl Simmons,1,1,0,8,8.0,,8,100.0,0,0,0,1
107,Aditya Tare,3,2,0,8,8.0,,15,53.33,0,0,1,0
108,Jasprit Bumrah,14,2,1,8,6.0,,11,72.72,0,0,1,0
109,Sandeep Sharma,14,4,4,8,5.0,,9,88.88,0,0,0,0
110,Mitchell Marsh,3,1,0,7,7.0,,11,63.63,0,0,0,0
111,Pravin Tambe,7,1,1,7,7.0,,19,36.84,0,0,1,0
112,Sunil Narine,11,4,3,7,4.0,,13,53.84,0,0,0,0
113,Peter Handscomb,2,1,0,6,6.0,,12,50.0,0,0,0,0
114,Jayant Yadav,5,2,0,6,5.0,,10,60.0,0,0,0,0
115,Zaheer Khan,12,2,0,6,4.0,,13,46.15,0,0,1,0
116,David Wiese,1,1,1,5,5.0,,4,125.0,0,0,0,0
117,Mitchell Johnson,3,3,1,5,4.0,,14,35.71,0,0,0,0
118,Imran Tahir,4,1,0,5,5.0,,7,71.42,0,0,1,0
119,Amit Mishra,14,2,0,4,3.0,,14,28.57,0,0,0,0
120,Barinder Sran,14,4,4,4,2.0,,4,100.0,0,0,0,0
121,Ankit Sharma,3,1,1,3,3.0,,3,100.0,0,0,0,0
122,Chris Jordan,9,1,0,3,3.0,,4,75.0,0,0,0,0
123,Shreyas Gopal,1,1,0,2,2.0,,16,12.5,0,0,0,0
124,Mohammad Shami,8,2,2,2,2.0,,4,50.0,0,0,0,0
125,Dale Steyn,1,1,0,1,1.0,,2,50.0,0,0,0,0
126,Kane Richardson,4,1,1,1,1.0,,1,100.0,0,0,0,0
127,Shahbaz Nadeem,4,1,1,1,1.0,,5,20.0,0,0,0,0
128,Shadab Jakati,6,1,1,1,1.0,,2,50.0,0,0,0,0
129,Ashish Nehra,8,2,2,1,1.0,,1,100.0,0,0,0,0
130,Morne Morkel,10,2,2,1,1.0,,1,100.0,0,0,0,0
131,Swapnil Singh,1,1,0,0,0.0,,1,0.0,0,0,0,0
132,Unmukt Chand,1,1,0,0,0.0,,4,0.0,0,0,0,0
133,Adam Zampa,5,1,0,0,0.0,,1,0.0,0,0,0,0
134,Shivil Kaushik,7,2,1,0,0.0,,1,0.0,0,0,0,0
135,Murugan Ashwin,10,1,0,0,0.0,,1,0.0,0,0,0,0
0,David Warner,14,14,3,641,126.0,,452,141.81,1,4,63,26
1,Gautam Gambhir,16,16,4,498,76.0,,389,128.02,0,4,61,7
2,Shikhar Dhawan,14,14,1,479,77.0,,376,127.39,0,3,53,9
3,Steve Smith,15,15,3,472,84.0,,387,121.96,0,3,38,12
4,Suresh Raina,14,14,3,442,84.0,,307,143.97,0,3,42,13
5,Hashim Amla,10,10,3,420,104.0,,288,145.83,2,2,40,17
6,Manish Pandey,14,13,5,396,81.0,,308,128.57,0,2,28,12
7,Parthiv Patel,16,16,0,395,70.0,,293,134.81,0,2,49,8
8,Rahul Tripathi,14,14,0,391,93.0,,267,146.44,0,2,43,17
9,Robin Uthappa,14,13,0,388,87.0,,235,165.1,0,5,36,21
10,Sanju Samson,14,14,0,386,102.0,,273,141.39,1,2,32,19
11,Kieron Pollard,17,16,3,385,70.0,,276,139.49,0,3,26,22
12,Ajinkya Rahane,16,16,1,382,60.0,,323,118.26,0,2,35,9
13,Rishabh Pant,14,14,0,366,97.0,,221,165.61,0,2,28,24
14,Dinesh Karthik,14,13,3,361,65.0,,259,139.38,0,2,30,11
15,Shreyas Iyer,12,12,2,338,96.0,,243,139.09,0,2,36,10
16,Nitish Rana,13,12,1,333,62.0,,264,126.13,0,3,24,17
17,Rohit Sharma,17,16,2,333,67.0,,273,121.97,0,3,31,9
18,Manoj Tiwary,15,13,3,324,60.0,,236,137.28,0,2,31,11
19,Brendon McCullum,11,11,0,319,72.0,,217,147.0,0,2,29,18
20,Ben Stokes,12,11,1,316,103.0,,221,142.98,1,1,22,15
21,Glenn Maxwell,14,13,3,310,47.0,,179,173.18,0,0,19,26
22,Virat Kohli,10,10,0,308,64.0,,252,122.22,0,4,23,11
23,Aaron Finch,13,13,1,299,72.0,,180,166.11,0,2,25,19
24,Chris Lynn,7,7,1,295,93.0,,163,180.98,0,3,25,19
25,MS Dhoni,16,15,4,290,61.0,,250,116.0,0,1,15,16
26,Karun Nair,14,13,0,281,64.0,,226,124.33,0,1,39,6
27,Ishan Kishan,11,10,0,277,61.0,,206,134.46,0,1,29,13
28,Moises Henriques,12,11,5,277,55.0,,203,136.45,0,3,28,4
29,Jos Buttler,10,10,0,272,77.0,,177,153.67,0,1,27,15
30,Kedar Jadhav,13,13,1,267,69.0,,186,143.54,0,1,25,10
31,Shaun Marsh,9,8,0,264,84.0,,194,136.08,0,2,36,5
32,Kane Williamson,7,7,1,256,89.0,,169,151.47,0,2,20,10
33,Yuvraj Singh,12,11,2,252,70.0,,177,142.37,0,2,30,8
34,Hardik Pandya,17,16,9,250,35.0,,160,156.25,0,0,11,20
35,Krunal Pandya,13,11,4,243,47.0,,179,135.75,0,0,24,7
36,Dwayne Smith,12,12,1,239,74.0,,156,153.2,0,2,32,8
37,Wriddhiman Saha,14,11,1,234,93.0,,187,125.13,0,1,20,8
38,Manan Vohra,11,9,0,229,95.0,,159,144.02,0,1,23,9
39,Axar Patel,14,13,5,227,44.0,,162,140.12,0,0,11,11
40,Sunil Narine,16,14,1,224,54.0,,130,172.3,0,1,34,10
41,AB de Villiers,9,9,1,216,89.0,,163,132.51,0,1,12,16
42,Chris Gayle,9,9,0,200,77.0,,163,122.69,0,1,15,14
43,Mandeep Singh,11,10,0,188,52.0,,177,106.21,0,1,21,4
44,Ravindra Jadeja,12,10,6,158,28.0,,113,139.82,0,0,13,4
45,Chris Morris,9,9,4,154,52.0,,94,163.82,0,1,15,6
46,Travis Head,7,7,2,151,75.0,,108,139.81,0,1,9,6
47,Pawan Negi,12,10,2,144,35.0,,111,129.72,0,0,10,7
48,Yusuf Pathan,15,11,3,143,59.0,,115,124.34,0,1,9,6
49,Corey Anderson,11,11,4,142,41.0,,123,115.44,0,0,8,9
50,Sam Billings,6,6,0,138,55.0,,104,132.69,0,1,19,1
51,Lendl Simmons,7,7,0,137,66.0,,112,122.32,0,2,10,8
52,Martin Guptill,7,7,1,132,50.0,,88,150.0,0,1,17,5
53,Colin de Grandhomme,12,9,1,126,36.0,,92,136.95,0,0,10,6
54,Suryakumar Yadav,10,7,1,105,31.0,,88,119.31,0,0,8,3
55,Vijay Shankar,4,4,2,101,63.0,,75,134.66,0,1,12,1
56,Ambati Rayudu,5,5,0,91,63.0,,78,116.66,0,1,7,3
57,David Miller,5,4,1,83,30.0,,80,103.75,0,0,4,4
58,Dan Christian,13,9,4,79,17.0,,49,161.22,0,0,5,5
59,Naman Ojha,14,5,1,79,34.0,,65,121.53,0,0,2,3
60,Stuart Binny,8,7,2,78,18.0,,76,102.63,0,0,6,3
61,Deepak Hooda,10,6,3,78,19.0,,52,150.0,0,0,5,4
62,Pat Cummins,12,9,4,77,24.0,,53,145.28,0,0,5,4
63,Shane Watson,8,7,1,71,24.0,,78,91.02,0,0,6,1
64,Eoin Morgan,4,4,0,65,26.0,,62,104.83,0,0,6,2
65,Jason Roy,3,3,1,59,31.0,,40,147.5,0,0,9,1
66,Kagiso Rabada,6,3,0,55,44.0,,64,85.93,0,0,5,1
67,James Faulkner,8,6,2,54,21.0,,57,94.73,0,0,4,0
68,Andrew Tye,6,3,1,53,25.0,,30,176.66,0,0,4,3
69,Saurabh Tiwary,1,1,0,52,52.0,,43,120.93,0,1,9,0
70,Ben Cutting,4,3,1,51,20.0,,26,196.15,0,0,5,3
71,Mohit Sharma,14,7,1,51,13.0,,50,102.0,0,0,3,1
72,Karn Sharma,9,6,0,49,19.0,,41,119.51,0,0,5,2
73,Amit Mishra,14,6,5,49,13.0,,52,94.23,0,0,2,2
74,Chris Woakes,13,7,3,46,18.0,,47,97.87,0,0,4,1
75,Sheldon Jackson,4,3,1,38,16.0,,31,122.58,0,0,5,0
76,Mohammad Shami,8,6,2,36,21.0,,24,150.0,0,0,4,2
77,Ishank Jaggi,2,2,1,33,28.0,,39,84.61,0,0,3,0
78,Angelo Mathews,3,2,0,32,31.0,,27,118.51,0,0,2,1
79,Sreenath Aravind,10,8,4,32,9.0,,40,80.0,0,0,2,0
80,Bipul Sharma,7,3,2,31,21.0,,24,129.16,0,0,2,1
81,Marlon Samuels,5,4,0,29,27.0,,31,93.54,0,0,1,2
82,Basil Thampi,12,5,5,28,13.0,,28,100.0,0,0,1,1
83,Mayank Agarwal,3,3,0,26,20.0,,27,96.29,0,0,3,0
84,Ankit Sharma,1,1,0,25,25.0,,15,166.66,0,0,2,1
85,Aniket Choudhary,5,3,2,25,15.0,,20,125.0,0,0,1,1
86,Mitchell Johnson,5,3,3,20,13.0,,17,117.64,0,0,1,1
87,Kuldeep Yadav,12,2,0,20,16.0,,22,90.9,0,0,2,0
88,Rahul Tewatia,3,2,1,19,15.0,,11,172.72,0,0,4,0
89,Vishnu Vinod,3,3,0,19,9.0,,26,73.07,0,0,1,1
90,Aditya Tare,3,3,0,18,18.0,,23,78.26,0,0,3,0
91,Marcus Stoinis,5,3,0,17,9.0,,24,70.83,0,0,1,0
92,Rajat Bhatia,3,2,1,16,16.0,,17,94.11,0,0,0,1
93,Harbhajan Singh,11,7,5,16,7.0,,16,100.0,0,0,0,1
94,Mitchell McClenaghan,14,7,3,16,12.0,,15,106.66,0,0,0,1
95,Jasprit Bumrah,16,2,1,16,16.0,,12,133.33,0,0,0,1
96,Anureet Singh,1,1,0,15,15.0,,12,125.0,0,0,2,0
97,Sachin Baby,3,3,0,15,12.0,,15,100.0,0,0,2,0
98,Deepak Chahar,3,1,0,14,14.0,,6,233.33,0,0,0,2
99,Nathan Coulter-Nile,8,3,0,14,6.0,,12,116.66,0,0,0,2
100,Samuel Badree,7,5,0,13,8.0,,23,56.52,0,0,0,0
101,Yuzvendra Chahal,13,6,3,13,4.0,,26,50.0,0,0,0,0
102,Ankit Bawne,1,1,1,12,12.0,,12,100.0,0,0,1,0
103,Carlos Brathwaite,2,2,0,12,11.0,,15,80.0,0,0,2,0
104,Swapnil Singh,4,2,0,12,10.0,,19,63.15,0,0,0,0
105,Rashid Khan,14,3,1,11,6.0,,9,122.22,0,0,0,1
106,Umesh Yadav,14,4,4,10,4.0,,13,76.92,0,0,0,0
107,Washington Sundar,11,5,4,9,5.0,,12,75.0,0,0,0,0
108,Faf du Plessis,2,1,0,8,8.0,,7,114.28,0,0,1,0
109,Tymal Mills,5,3,0,8,6.0,,11,72.72,0,0,0,1
110,Ishant Sharma,6,3,1,8,5.0,,12,66.66,0,0,1,0
111,Praveen Kumar,6,2,1,8,7.0,,9,88.88,0,0,0,0
112,Ashok Dinda,3,1,0,7,7.0,,7,100.0,0,0,1,0
113,Tim Southee,3,1,0,7,7.0,,3,233.33,0,0,0,1
114,Adam Milne,4,3,1,7,5.0,,12,58.33,0,0,0,0
115,Ankit Soni,7,3,1,7,7.0,,9,77.77,0,0,0,1
116,Lasith Malinga,12,2,2,7,7.0,,3,233.33,0,0,0,1
117,Sandeep Sharma,13,4,4,7,5.0,,6,116.66,0,0,0,0
118,Darren Bravo,1,1,1,6,6.0,,5,120.0,0,0,1,0
119,Iqbal Abdulla,2,1,1,5,5.0,,7,71.42,0,0,0,0
120,Adam Zampa,6,1,0,5,5.0,,7,71.42,0,0,1,0
121,Trent Boult,6,1,1,5,5.0,,8,62.5,0,0,0,0
122,Ankit Rajpoot,5,1,0,4,4.0,,7,57.14,0,0,1,0
123,Varun Aaron,6,2,1,4,4.0,,10,40.0,0,0,0,0
124,Zaheer Khan,11,3,2,4,2.0,,13,30.76,0,0,0,0
125,Bhuvneshwar Kumar,14,2,1,4,4.0,,4,100.0,0,0,0,0
126,Rahul Chahar,3,1,1,3,3.0,,2,150.0,0,0,0,0
127,Irfan Pathan,1,1,0,2,2.0,,3,66.66,0,0,0,0
128,Mohammad Nabi,3,1,0,2,2.0,,3,66.66,0,0,0,0
129,KC Cariappa,4,2,0,2,1.0,,7,28.57,0,0,0,0
130,Pradeep Sangwan,5,3,1,2,1.0,,4,50.0,0,0,0,0
131,Piyush Chawla,6,1,0,2,2.0,,6,33.33,0,0,0,0
132,Shahbaz Nadeem,7,4,1,2,2.0,,9,22.22,0,0,0,0
133,Jaydev Unadkat,12,2,2,2,2.0,,5,40.0,0,0,0,0
134,Shakib Al Hasan,1,1,1,1,1.0,,1,100.0,0,0,0,0
135,Lockie Ferguson,4,1,1,1,1.0,,1,100.0,0,0,0,0
136,Dhawal Kulkarni,6,1,0,1,1.0,,2,50.0,0,0,0,0
137,Akshdeep Nath,1,1,0,0,0.0,,1,0.0,0,0,0,0
138,Chris Jordan,1,1,0,0,0.0,,1,0.0,0,0,0,0
139,Munaf Patel,2,1,0,0,0.0,,1,0.0,0,0,0,0
140,Siddarth Kaul,10,1,1,0,0.0,,2,0.0,0,0,0,0
141,Imran Tahir,12,1,1,0,0.0,,2,0.0,0,0,0,0
142,Shardul Thakur,12,3,0,0,0.0,,3,0.0,0,0,0,0
0,Kane Williamson,17,17,3,735,84.0,,516,142.44,0,8,64,28
1,Rishabh Pant,14,14,1,684,128.0,,394,173.6,1,5,68,37
2,KL Rahul,14,14,2,659,95.0,,416,158.41,0,6,66,32
3,Ambati Rayudu,16,16,2,602,100.0,,402,149.75,1,3,53,34
4,Shane Watson,15,15,1,555,117.0,,359,154.59,2,2,44,35
5,Jos Buttler,13,13,3,548,95.0,,353,155.24,0,5,52,21
6,Virat Kohli,14,14,3,530,92.0,,381,139.1,0,4,52,18
7,Suryakumar Yadav,14,14,0,512,72.0,,384,133.33,0,4,61,16
8,Dinesh Karthik,16,16,6,498,52.0,,337,147.77,0,2,49,16
9,Shikhar Dhawan,16,16,3,497,92.0,,363,136.91,0,4,59,14
10,Chris Lynn,16,16,1,491,74.0,,377,130.23,0,3,56,18
11,AB de Villiers,12,11,2,480,90.0,,275,174.54,0,6,39,30
12,MS Dhoni,16,15,9,455,79.0,,302,150.66,0,3,24,30
13,Suresh Raina,15,15,3,445,75.0,,336,132.44,0,4,46,12
14,Sanju Samson,15,15,1,441,92.0,,320,137.81,0,3,30,19
15,Shreyas Iyer,14,14,3,411,93.0,,310,132.58,0,4,29,21
16,Evin Lewis,13,13,0,382,65.0,,276,138.4,0,2,32,24
17,Ajinkya Rahane,15,14,1,370,65.0,,313,118.21,0,1,39,5
18,Chris Gayle,11,11,2,368,104.0,,252,146.03,1,3,30,27
19,Sunil Narine,16,16,0,357,75.0,,188,189.89,0,2,40,23
20,Robin Uthappa,16,16,0,351,54.0,,265,132.45,0,1,30,21
21,Andre Russell,16,14,3,316,88.0,,171,184.79,0,1,17,31
22,Nitish Rana,15,15,2,304,59.0,,232,131.03,0,1,26,14
23,Karun Nair,13,12,0,301,54.0,,221,136.19,0,2,23,13
24,Rohit Sharma,14,14,2,286,94.0,,215,133.02,0,2,25,12
25,Manish Pandey,15,13,2,284,62.0,,246,115.44,0,3,22,5
26,Ishan Kishan,14,12,0,275,62.0,,184,149.45,0,2,22,17
27,Hardik Pandya,13,13,4,260,50.0,,195,133.33,0,1,20,11
28,Yusuf Pathan,15,13,4,260,45.0,,200,130.0,0,0,22,11
29,Mandeep Singh,14,13,3,252,47.0,,186,135.48,0,0,16,11
30,Prithvi Shaw,9,9,0,245,65.0,,160,153.12,0,2,27,10
31,Shakib Al Hasan,17,13,2,239,35.0,,197,121.31,0,0,26,5
32,Krunal Pandya,14,13,3,228,41.0,,157,145.22,0,0,22,10
33,Rahul Tripathi,12,12,3,226,80.0,,167,135.32,0,1,18,8
34,Vijay Shankar,13,11,7,212,54.0,,148,143.24,0,1,11,11
35,Shubman Gill,13,11,5,203,57.0,,139,146.04,0,1,22,5
36,Quinton de Kock,8,8,0,201,53.0,,162,124.07,0,1,20,8
37,Ben Stokes,13,13,1,196,45.0,,161,121.73,0,0,13,6
38,Glenn Maxwell,12,12,0,169,47.0,,120,140.83,0,0,14,9
39,Faf du Plessis,6,6,1,162,67.0,,129,125.58,0,1,17,6
40,Parthiv Patel,6,6,1,153,53.0,,109,140.36,0,1,20,4
41,Alex Hales,6,6,0,148,45.0,,118,125.42,0,0,13,6
42,Dwayne Bravo,16,10,6,141,68.0,,91,154.94,0,1,8,10
43,Aaron Finch,10,9,1,134,46.0,,100,134.0,0,0,6,8
44,Kieron Pollard,9,8,1,133,50.0,,100,133.0,0,1,10,7
45,Colin de Grandhomme,9,8,3,131,40.0,,84,155.95,0,0,4,10
46,Brendon McCullum,6,6,0,127,43.0,,88,144.31,0,0,16,6
47,Krishnappa Gowtham,15,13,4,126,33.0,,64,196.87,0,0,9,9
48,Wriddhiman Saha,11,10,2,122,35.0,,102,119.6,0,0,17,1
49,Jason Roy,5,5,1,120,91.0,,94,127.65,0,1,9,7
50,Mayank Agarwal,11,11,1,120,30.0,,94,127.65,0,0,9,5
51,D'Arcy Short,7,7,0,115,44.0,,99,116.16,0,0,11,5
52,Sam Billings,10,8,0,108,56.0,,78,138.46,0,1,8,5
53,Ravichandran Ashwin,14,9,1,102,45.0,,71,143.66,0,0,7,5
54,Marcus Stoinis,7,7,3,99,29.0,,76,130.26,0,0,6,4
55,Ben Cutting,9,6,2,96,37.0,,58,165.51,0,0,5,8
56,Ravindra Jadeja,16,10,5,89,27.0,,74,120.27,0,0,3,4
