,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
63,64,Abhishek Sharma,8,6,10.0,91,2,2/4,45.5,9.1,30.0,0,0
64,65,Shahbaz Ahmed,2,2,6.0,44,2,3/7,22.0,7.33,18.0,0,0
65,66,Jimmy Neesham,5,5,15.0,148,2,3/12,74.0,9.86,45.0,0,0
66,67,Mitchell Santner,2,2,7.0,53,2,2/13,26.5,7.57,21.0,0,0
67,68,Dale Steyn,3,3,11.0,133,1,3/11,133.0,11.4,70.0,0,0
68,69,Basil Thampi,1,1,4.0,46,1,3/29,46.0,11.5,24.0,0,0
69,70,Imran Tahir,3,3,11.0,76,1,4/12,76.0,6.9,66.0,0,0
70,71,Jayant Yadav,2,2,7.0,43,1,1/23,43.0,6.14,42.0,0,0
71,72,Andrew Tye,1,1,4.0,50,1,5/17,50.0,12.5,24.0,0,0
72,73,Josh Hazlewood,3,3,10.0,64,1,3/24,64.0,6.4,60.0,0,0
73,74,Mohit Sharma,1,1,4.0,45,1,4/14,45.0,11.25,24.0,0,0
74,75,Krishnappa Gowtham,2,2,8.0,84,1,2/12,84.0,10.5,48.0,0,0
75,76,Moeen Ali,3,3,5.0,42,1,3/7,42.0,8.4,30.0,0,0
76,77,Kuldeep Yadav,5,4,12.0,92,1,4/20,92.0,7.66,72.0,0,0
77,78,Abdul Samad,12,3,7.0,96,1,1/41,96.0,13.71,42.0,0,0
0,1,Harshal Patel,15,15,56.0,459,32,5/27,14.34,8.14,10.56,1,1
1,2,Avesh Khan,16,16,61.0,450,24,3/13,18.75,7.37,15.25,0,0
2,3,Jasprit Bumrah,14,14,55.0,410,21,4/14,19.52,7.45,15.71,0,0
3,4,Shardul Thakur,16,16,60.0,527,21,3/19,25.09,8.8,17.09,0,0
4,5,Mohammad Shami,14,14,52.0,395,19,3/15,20.78,7.5,16.63,0,0
5,6,Rashid Khan,14,14,56.0,375,18,3/19,20.83,6.69,18.66,0,0
6,7,Arshdeep Singh,12,12,41.0,342,18,5/32,19.0,8.27,13.77,0,1
7,8,Varun Chakaravarthy,17,17,68.0,448,18,5/20,24.88,6.58,22.66,0,0
8,9,Yuzvendra Chahal,15,15,53.0,374,18,4/25,20.77,7.05,17.66,0,0
9,10,Jason Holder,8,8,32.0,247,16,4/52,15.43,7.75,11.93,1,0
10,11,Sunil Narine,14,14,56.0,361,16,5/19,22.56,6.44,21.0,1,0
11,12,Chris Morris,11,11,41.0,376,15,4/23,25.06,9.17,16.4,1,0
12,13,Axar Patel,12,12,46.0,306,15,4/21,20.4,6.65,18.4,0,0
13,14,Kagiso Rabada,15,15,56.0,456,15,4/21,30.4,8.14,22.4,0,0
14,15,Chetan Sakariya,14,14,52.0,426,14,3/31,30.42,8.19,22.28,0,0
15,16,Deepak Chahar,15,15,54.0,451,14,4/13,32.21,8.35,23.14,2,0
16,17,Dwayne Bravo,11,11,33.0,263,14,4/22,18.78,7.81,14.42,0,0
17,18,Mustafizur Rahman,14,14,52.0,436,14,3/16,31.14,8.41,22.21,0,0
18,19,Ravindra Jadeja,16,16,49.0,346,13,5/16,26.61,7.06,22.61,0,0
19,20,Lockie Ferguson,8,8,30.0,224,13,3/15,17.23,7.46,13.84,0,0
20,21,Trent Boult,14,14,51.0,406,13,4/18,31.23,7.9,23.69,0,0
21,22,Rahul Chahar,11,11,43.0,318,13,4/27,24.46,7.39,19.84,1,0
22,23,Ravi Bishnoi,9,9,35.0,222,12,3/24,18.5,6.34,17.5,0,0
23,24,Anrich Nortje,8,8,30.0,187,12,3/33,15.58,6.16,15.16,0,0
24,25,Prasidh Krishna,10,10,38.0,351,12,4/30,29.25,9.11,19.25,0,0
25,26,Shivam Mavi,9,9,32.0,233,11,4/21,21.18,7.24,17.54,1,0
26,27,Josh Hazlewood,9,9,35.0,293,11,3/24,26.63,8.37,19.09,0,0
27,28,Mohammed Siraj,15,15,52.0,353,11,4/32,32.09,6.78,28.36,0,0
28,29,Andre Russell,10,8,19.0,188,11,5/15,17.09,9.89,10.36,0,1
29,30,Pat Cummins,7,7,27.0,237,9,4/34,26.33,8.83,17.88,0,0
30,31,Sam Curran,9,9,33.0,328,9,4/11,36.44,9.93,22.0,0,0
31,32,Kyle Jamieson,9,9,28.0,269,9,3/41,29.88,9.6,18.66,0,0
32,33,Rahul Tewatia,14,13,37.0,340,8,3/18,42.5,9.18,27.75,0,0
33,34,Siddarth Kaul,8,8,30.0,247,7,4/29,35.28,8.23,25.71,0,0
34,35,Nathan Coulter-Nile,5,5,20.0,127,7,4/14,18.14,6.35,17.14,1,0
35,36,Ravichandran Ashwin,13,13,44.0,331,7,4/34,47.28,7.41,38.28,0,0
36,37,Shahbaz Ahmed,11,6,14.0,92,7,3/7,13.14,6.57,12.0,0,0
37,38,Amit Mishra,4,4,14.0,109,6,5/17,18.16,7.78,14.0,1,0
38,39,Bhuvneshwar Kumar,11,11,42.0,335,6,5/19,55.83,7.97,42.0,0,0
39,40,Moeen Ali,15,10,25.0,161,6,3/7,26.83,6.35,25.33,0,0
40,41,Lungi Ngidi,3,3,12.0,125,5,4/10,25.0,10.41,14.4,0,0
41,42,Chris Woakes,3,3,11.0,82,5,3/36,16.4,7.45,13.2,0,0
42,43,Krunal Pandya,13,12,33.0,265,5,3/14,53.0,7.98,39.8,0,0
43,44,Jimmy Neesham,3,3,9.0,66,5,3/12,13.2,7.33,10.8,0,0
44,45,Harpreet Brar,7,7,23.0,139,5,3/19,27.8,6.04,27.6,0,0
45,46,Kieron Pollard,14,9,13.0,95,5,4/44,19.0,7.21,15.8,0,0
46,47,Khaleel Ahmed,7,7,27.0,219,5,3/21,43.8,8.11,32.4,0,0
47,48,Abhishek Sharma,8,6,10.0,64,4,2/4,16.0,6.4,15.0,0,0
48,49,Lalit Yadav,7,5,14.0,101,4,2/13,25.25,7.21,21.0,0,0
49,50,Jaydev Unadkat,6,6,22.0,168,4,5/25,42.0,7.63,33.0,0,0
50,51,Tom Curran,3,3,11.0,104,4,3/29,26.0,9.17,17.0,0,0
51,52,Chris Jordan,4,4,12.0,96,4,4/11,24.0,8.0,18.0,0,0
52,53,Kartik Tyagi,4,4,14.0,124,4,2/29,31.0,8.85,21.0,0,0
53,54,Moises Henriques,5,5,10.0,45,4,3/12,11.25,4.5,15.0,0,0
54,55,Dan Christian,9,9,16.0,155,4,2/10,38.75,9.3,25.0,0,0
55,56,Riley Meredith,5,5,17.0,169,4,1/29,42.25,9.94,25.5,0,0
56,57,Shakib Al Hasan,8,8,26.0,187,4,3/17,46.75,7.19,39.0,0,0
57,58,Washington Sundar,6,6,16.0,118,3,3/16,39.33,7.37,32.0,0,0
58,59,Venkatesh Iyer,10,4,8.0,69,3,2/29,23.0,8.11,17.0,0,0
59,60,Sandeep Sharma,7,7,23.0,203,3,4/20,67.66,8.63,47.0,0,0
60,61,Adam Milne,4,4,14.0,131,3,2/21,43.66,9.35,28.0,0,0
61,62,Tim Southee,3,3,12.0,95,3,3/24,31.66,7.91,24.0,0,0
62,63,Vijay Shankar,7,5,11.0,100,3,2/19,33.33,9.09,22.0,0,0
63,64,Jhye Richardson,3,3,11.0,117,3,2/41,39.0,10.63,22.0,0,0
64,65,Glenn Maxwell,15,6,16.0,135,3,2/15,45.0,8.43,32.0,0,0
65,66,George Garton,5,5,15.0,135,3,1/27,45.0,9.0,30.0,0,0
66,67,T Natarajan,2,2,8.0,69,2,2/24,34.5,8.62,24.0,0,0
67,68,Jayant Yadav,5,5,17.0,130,2,1/23,65.0,7.64,51.0,0,0
68,69,Imran Tahir,1,1,4.0,16,2,4/12,8.0,4.0,12.0,0,0
69,70,Umran Malik,3,3,12.0,96,2,1/21,48.0,8.0,36.0,0,0
70,71,Marco Jansen,2,2,6.0,45,2,2/28,22.5,7.5,18.0,0,0
71,72,Marcus Stoinis,10,8,11.0,117,2,4/15,58.5,10.47,33.5,0,0
72,73,Mohammad Nabi,3,3,8.0,86,2,4/11,43.0,10.75,24.0,0,0
73,74,Mujeeb Ur Rahman,1,1,4.0,29,2,3/27,14.5,7.25,12.0,0,0
74,75,Deepak Hooda,12,7,16.0,136,2,2/16,68.0,8.5,48.0,0,0
75,76,Fabian Allen,4,3,11.0,90,1,1/22,90.0,8.18,66.0,0,0
76,77,Glenn Phillips,3,2,2.0,20,1,1/17,20.0,10.0,12.0,0,0
77,78,Piyush Chawla,1,1,4.0,38,1,4/17,38.0,9.5,24.0,0,0
78,79,Ishan Porel,1,1,4.0,39,1,1/39,39.0,9.75,24.0,0,0
79,80,Daniel Sams,2,2,6.0,39,1,1/24,39.0,6.5,36.0,0,0
80,81,Ishant Sharma,3,3,12.0,97,1,5/12,97.0,8.08,72.0,0,0
81,82,Kane Richardson,1,1,3.0,29,1,3/13,29.0,9.66,18.0,0,0
82,83,KM Asif,1,1,2.0,18,1,2/43,18.0,8.3,13.0,0,0
83,84,Shahbaz Nadeem,1,1,4.0,36,1,3/16,36.0,9.0,24.0,0,0
84,85,Lukman Meriwala,1,1,3.0,32,1,1/32,32.0,10.66,18.0,0,0
85,86,Mahipal Lomror,4,4,7.0,47,1,1/22,47.0,6.71,42.0,0,0
86,87,Riyan Parag,11,6,6.0,73,1,1/10,73.0,11.83,37.0,0,0
87,88,Murugan Ashwin,3,3,11.0,97,1,3/21,97.0,8.81,66.0,0,0
88,89,Nathan Ellis,3,3,12.0,98,1,1/20,98.0,8.16,72.0,0,0
0,1,Yuzvendra Chahal,17,17,68.0,527,27,40/5,19.51,7.75,15.11,1,1
1,2,Wanindu Hasaranga,16,16,57.0,430,26,18/5,16.53,7.54,13.15,1,1
2,3,Kagiso Rabada,13,13,48.0,406,23,33/4,17.65,8.45,12.52,2,0
3,4,Umran Malik,14,14,49.1,444,22,25/5,20.18,9.03,13.4,1,1
4,5,Kuldeep Yadav,14,14,49.4,419,21,14/4,19.95,8.43,14.19,2,0
5,6,Mohammad Shami,16,16,61.0,488,20,25/3,24.4,8.0,18.3,0,0
6,7,Josh Hazlewood,12,12,46.3,377,20,25/4,18.85,8.1,13.95,1,0
7,8,Rashid Khan,16,16,63.5,421,19,24/4,22.15,6.59,20.15,1,0
8,9,Harshal Patel,15,15,53.3,410,19,34/4,21.57,7.66,16.89,1,0
9,10,Prasidh Krishna,17,17,66.3,551,19,22/3,29.0,8.28,21.0,0,0
10,11,Avesh Khan,13,13,47.4,416,18,24/4,23.11,8.72,15.88,1,0
11,12,T Natarajan,11,11,43.0,406,18,10/3,22.55,9.44,14.33,0,0
12,13,Andre Russell,14,13,28.1,278,17,5/4,16.35,9.86,9.94,1,0
13,14,Umesh Yadav,12,12,48.0,339,16,23/4,21.18,7.06,18.0,1,0
14,15,Trent Boult,16,16,62.0,492,16,18/2,30.75,7.93,23.25,0,0
15,16,Khaleel Ahmed,10,10,39.1,315,16,25/3,19.68,8.04,14.68,0,0
16,17,Dwayne Bravo,10,10,34.2,299,16,20/3,18.68,8.7,12.87,0,0
17,18,Mukesh Choudhary,13,13,45.3,424,16,46/4,26.5,9.31,17.06,1,0
18,19,Jasprit Bumrah,14,14,53.2,383,15,10/5,25.53,7.18,21.33,0,1
19,20,Shardul Thakur,14,14,48.2,473,15,36/4,31.53,9.78,19.33,1,0
20,21,Mohsin Khan,9,9,33.0,197,14,16/4,14.07,5.96,14.14,1,0
21,22,Rahul Chahar,13,13,46.4,360,14,25/3,25.71,7.71,20.0,0,0
22,23,Tim Southee,9,9,35.0,275,14,20/3,19.64,7.85,15.0,0,0
23,24,Jason Holder,12,12,41.3,391,14,31/3,27.92,9.42,17.78,0,0
24,25,Ravi Bishnoi,14,14,54.0,456,13,22/2,35.07,8.44,24.92,0,0
25,26,Daniel Sams,11,11,42.0,370,13,30/4,28.46,8.8,19.38,1,0
26,27,Bhuvneshwar Kumar,14,14,52.1,383,12,22/3,31.91,7.34,26.08,0,0
27,28,Maheesh Theekshana,9,9,35.0,261,12,33/4,21.75,7.45,17.5,1,0
28,29,Ravichandran Ashwin,17,17,67.0,503,12,17/3,41.91,7.5,33.5,0,0
29,30,Lockie Ferguson,13,13,47.4,427,12,28/4,35.58,8.95,23.83,1,0
30,31,Obed McCoy,7,7,25.5,237,11,23/3,21.54,9.17,14.09,0,0
31,32,Yash Dayal,9,9,32.0,296,11,40/3,26.9,9.25,17.45,0,0
32,33,Krunal Pandya,14,12,38.0,265,10,19/3,26.5,6.97,22.8,0,0
33,34,Arshdeep Singh,14,14,50.0,385,10,37/3,38.5,7.7,30.0,0,0
34,35,Sunil Narine,14,14,56.0,312,9,21/2,34.66,5.57,37.33,0,0
35,36,Murugan Ashwin,8,8,29.0,228,9,14/2,25.33,7.86,19.33,0,0
36,37,Dushmantha Chameera,12,12,44.0,384,9,17/2,42.66,8.72,29.33,0,0
37,38,Anrich Nortje,6,6,22.2,217,9,42/3,24.11,9.71,14.88,0,0
38,39,Mohammed Siraj,15,15,51.0,514,9,30/2,57.11,10.07,34.0,0,0
39,40,Moeen Ali,10,10,23.5,158,8,13/3,19.75,6.62,17.87,0,0
40,41,Hardik Pandya,15,10,30.3,222,8,17/3,27.75,7.27,22.87,0,0
41,42,Mustafizur Rahman,8,8,32.0,244,8,18/3,30.5,7.62,24.0,0,0
42,43,Riley Meredith,8,8,28.0,236,8,24/2,29.5,8.42,21.0,0,0
43,44,Kuldeep Sen,7,7,25.1,237,8,20/4,29.62,9.41,18.87,1,0
44,45,Jagadeesha Suchith,5,5,18.0,140,7,12/2,20.0,7.77,15.42,0,0
45,46,Marco Jansen,8,8,32.0,274,7,25/3,39.14,8.56,27.42,0,0
46,47,Alzarri Joseph,9,9,30.0,264,7,34/2,37.71,8.8,25.71,0,0
47,48,Pat Cummins,5,5,19.5,212,7,22/3,30.28,10.68,17.0,0,0
48,49,Glenn Maxwell,13,10,24.0,165,6,22/2,27.5,6.87,24.0,0,0
49,50,Axar Patel,13,13,43.0,321,6,10/2,53.5,7.46,43.0,0,0
50,51,Sai Kishore,5,5,16.0,121,6,7/2,20.16,7.56,16.0,0,0
51,52,Rishi Dhawan,6,6,19.0,156,6,36/2,26.0,8.21,19.0,0,0
52,53,Varun Chakaravarthy,11,11,39.0,332,6,22/1,55.33,8.51,39.0,0,0
53,54,Washington Sundar,9,8,28.0,239,6,21/2,39.83,8.53,28.0,0,0
54,55,Liam Livingstone,14,12,23.0,202,6,27/3,33.66,8.78,23.0,0,0
55,56,Ramandeep Singh,5,3,6.0,54,6,20/3,9.0,9.0,6.0,0,0
56,57,Jaydev Unadkat,5,5,20.0,190,6,32/2,31.66,9.5,20.0,0,0
57,58,Dwaine Pretorius,6,6,21.0,210,6,30/2,35.0,10.0,21.0,0,0
58,59,Tymal Mills,5,5,17.0,190,6,35/3,31.66,11.17,17.0,0,0
59,60,Odean Smith,6,6,15.0,178,6,30/4,29.66,11.86,15.0,1,0
60,61,Ravindra Jadeja,10,10,33.0,248,5,39/3,49.6,7.51,39.6,0,0
61,62,Kumar Kartikeya Singh,4,4,13.0,102,5,22/2,20.4,7.84,15.6,0,0
62,63,Krishnappa Gowtham,4,4,12.0,99,5,30/2,19.8,8.25,14.4,0,0
63,64,Basil Thampi,5,5,16.0,152,5,35/3,30.4,9.5,19.2,0,0
64,65,Shivam Mavi,6,6,22.0,227,5,33/1,45.4,10.31,26.4,0,0
65,66,Akash Deep,5,5,18.5,205,5,45/3,41.0,10.88,22.6,0,0
66,67,Mitchell Santner,6,6,19.0,130,4,15/1,32.5,6.84,28.5,0,0
67,68,Simarjeet Singh,6,6,18.0,138,4,27/2,34.5,7.66,27.0,0,0
68,69,Lalit Yadav,12,8,18.0,150,4,11/2,37.5,8.33,27.0,0,0
69,70,Mitchell Marsh,8,4,12.0,102,4,25/2,25.5,8.5,18.0,0,0
70,71,Kieron Pollard,11,6,14.0,125,4,8/2,31.25,8.92,21.0,0,0
71,72,Harpreet Brar,5,5,16.0,146,4,26/3,36.5,9.12,24.0,0,0
72,73,Shahbaz Ahmed,16,14,35.0,336,4,26/2,84.0,9.6,52.5,0,0
73,74,Marcus Stoinis,11,5,7.0,79,4,23/3,19.75,11.28,10.5,0,0
74,75,Pradeep Sangwan,3,3,9.0,65,3,19/2,21.66,7.22,18.0,0,0
75,76,Chetan Sakariya,3,3,11.0,84,3,23/2,28.0,7.63,22.0,0,0
76,77,Nathan Ellis,2,2,6.0,55,3,40/3,18.33,9.16,12.0,0,0
77,78,Vaibhav Arora,5,5,17.5,164,3,21/2,54.66,9.19,35.66,0,0
78,79,Romario Shepherd,3,3,9.0,98,3,42/2,32.66,10.88,18.0,0,0
79,80,Navdeep Saini,2,2,6.0,72,3,36/2,24.0,12.0,12.0,0,0
80,81,Ayush Badoni,13,2,2.0,11,2,5/1,5.5,5.5,6.0,0,0
81,82,Prashant Solanki,2,2,6.0,38,2,20/2,19.0,6.33,18.0,0,0
82,83,Matheesha Pathirana,2,2,6.5,52,2,24/2,26.0,7.6,20.5,0,0
83,84,Sandeep Sharma,5,5,20.0,153,2,18/1,76.5,7.65,60.0,0,0
84,85,Hrithik Shokeen,5,5,15.0,127,2,47/2,63.5,8.46,45.0,0,0
85,86,Fazalhaq Farooqi,3,3,12.0,110,2,32/2,55.0,9.16,36.0,0,0
86,87,Andrew Tye,3,3,11.0,107,2,40/2,53.5,9.72,33.0,0,0
87,88,Varun Aaron,2,2,5.0,52,2,45/2,26.0,10.4,15.0,0,0
88,89,Chris Jordan,4,4,12.5,135,2,23/2,67.5,10.51,38.5,0,0
89,90,Darshan Nalkande,2,2,5.1,59,2,37/2,29.5,11.41,15.5,0,0
90,91,David Willey,4,4,11.0,72,1,29/1,72.0,6.54,66.0,0,0
91,92,Anukul Roy,2,2,7.0,55,1,28/1,55.0,7.85,42.0,0,0
92,93,Mayank Markande,2,2,7.0,57,1,26/1,57.0,8.14,42.0,0,0
93,94,Tushar Deshpande,2,2,7.0,63,1,40/1,63.0,9.0,42.0,0,0
94,95,Kartik Tyagi,2,2,8.0,79,1,42/1,79.0,9.87,48.0,0,0
95,96,Harshit Rana,2,2,5.0,51,1,24/1,51.0,10.2,30.0,0,0
96,97,Aiden Markram,14,4,6.0,64,1,8/1,64.0,10.66,36.0,0,0
97,98,Deepak Hooda,15,2,4.0,43,1,31/1,43.0,10.75,24.0,0,0
98,99,Shreyas Gopal,1,1,3.0,34,1,34/1,34.0,11.33,18.0,0,0
99,100,Fabian Allen,1,1,4.0,46,1,46/1,46.0,11.5,24.0,0,0
100,101,Sean Abbott,1,1,4.0,47,1,47/1,47.0,11.75,24.0,0,0
101,102,Riyan Parag,17,4,4.0,59,1,12/1,59.0,14.75,24.0,0,0
102,103,Dewald Brevis,7,1,0.3,8,1,8/1,8.0,16.0,3.0,0,0
